Team A,Team B,Score A,Score B,Date,Competition,SourceURL
Playmaker Futbol Academy PRE-ECNL B14,14B GSA,2,6,8/31/2025,Phoenix Rising Cup,
14B GSA,Phoenix United 2015 Elite,4,2,8/30/2025,Phoenix Rising Cup,
PRFC Scottsdale 14B Pre-Academy,14B GSA,0,1,8/30/2025,Phoenix Rising Cup,
14B GSA,Excel Soccer Academy 14 Red,2,5,5/3/2025,Arizona Presidents Cup ,
Brazas 2014 Boys Black Marcos,14B GSA,2,2,4/27/2025,Arizona Presidents Cup ,
14B GSA,14 ECNL #2,5,3,4/26/2025,Arizona Presidents Cup ,
14B GSA,AZ Arsenal Pre-ECNL B14,5,1,4/13/2025,Arizona Presidents Cup ,
14B GSA,Phoenix United 14 Elite,1,1,3/30/2025,Tuzos Challenge,
14B GSA,Chelsea 13B,4,1,3/29/2025,Tuzos Challenge,
CCV STARS 14 Boys Orange PEO,14B GSA,0,3,2/8/2025,Desert Classic,
14B GSA,Sun Warriors 13/14 Boys,2,1,1/4/2025,New Year's Futures Cup,
Legends FC AZ 14B FC,14B GSA,0,0,11/29/2024,Tournaments Powered by Rated Sports ,
14B GSA,PSG 14B Blue,8,0,10/12/2024,Tournaments Powered by Rated Sports ,
Excel Soccer Academy 14 Red,14B GSA,3,0,10/12/2024,Tournaments Powered by Rated Sports ,
14B GSA,Playmaker Futbol Academy 14B Gold,2,0,10/11/2024,Tournaments Powered by Rated Sports ,
Legends FC AZ 14B FC,14B GSA,2,3,9/29/2024,The Derby,
14B GSA,Next Level Soccer Southeast 2014 Boys Red,4,0,9/29/2024,The Derby,
14B GSA,Tuzos Royals 2014,6,0,9/28/2024,The Derby,
Next Level Soccer Northwest 2014 Boys,14B GSA,0,6,9/28/2024,The Derby,
14B GSA,Next Level Soccer Southeast 2014 Boys Red,1,1,9/27/2024,The Derby,
13B Flores,14B GSA,3,1,9/15/2024,Cactus Kick Off,
14B GSA,Scottsdale 13 Sandsharks Select,0,1,9/14/2024,Cactus Kick Off,
Playmaker Futbol Academy 14B Black,14B GSA,2,6,9/13/2024,Cactus Kick Off,
14B GSA,Chelsea 13B,1,2,4/21/2024,Schools Out,
Juventus,14B GSA,0,5,4/20/2024,Schools Out,
14B GSA,Tuzos Royals 2014,4,1,4/19/2024,Schools Out,
Tuzos Royals 2014,14 Pre-MLSN #1,0,3,10/4/2025,ARIZONA ADVANCED LEAGUES,
Tuzos Royals 2014,Southeast 2014 Boys Red,2,1,9/28/2025,The Derby 2025,
Southeast 2015 Boys Red,Tuzos Royals 2014,3,0,9/27/2025,The Derby 2025,
14B GSA,Tuzos Royals 2014,3,1,9/27/2025,The Derby 2025,
Excel Soccer Academy 14B Red,Tuzos Royals 2014,3,0,9/21/2025,ARIZONA ADVANCED LEAGUES,
Tuzos Royals 2014,Southeast 2014 Boys Blue,0,2,9/20/2025,ARIZONA ADVANCED LEAGUES,
Tuzos Royals 2014,Dynamos SC 14B SC,2,1,9/7/2025,Tuzos Challenge,
14B GSA,Tuzos Royals 2014,4,1,9/7/2025,Tuzos Challenge,
Phoenix United 2015 Elite,Tuzos Royals 2014,0,1,9/6/2025,Tuzos Challenge,
Tuzos Royals 2014,14B GSA,1,2,9/6/2025,Tuzos Challenge,
Dynamos SC 14B SC,Tuzos Royals 2014,0,2,8/31/2025,Phoenix Rising Cup,
Tuzos Royals 2014,14 Pre-MLSN #1,2,2,8/30/2025,Phoenix Rising Cup,
Southeast 2014 Boys Black,Tuzos Royals 2014,6,1,8/30/2025,Phoenix Rising Cup,
City SC Central Valley AV-B2014,Tuzos Royals 2014,2,2,8/9/2025,Tournaments Powered by Rated Sports ,
Tuzos Royals 2014,Desert Communities Soccer Club,0,2,8/9/2025,Tournaments Powered by Rated Sports ,
B14 EA,Tuzos Royals 2014,4,0,8/8/2025,Tournaments Powered by Rated Sports ,
Tuzos Royals 2014,Phoenix Premier FC 14B SW,3,0,4/27/2025,Schools Out,
Tuzos Royals 2014,AZ Inferno 14 Boys Black,4,1,4/27/2025,Schools Out,
ESC - Boys Chandler 15/16,Tuzos Royals 2014,0,12,4/26/2025,Schools Out,
Tuzos Royals 2014,LAFC 14 BOYS,8,1,4/26/2025,Schools Out,
Phoenix United 14 Elite,Tuzos Royals 2014,9,0,4/13/2025,Rivalries Cup,
Next Level Soccer Southeast 2014 Boys Red,Tuzos Royals 2014,0,2,4/13/2025,Rivalries Cup,
Tuzos Royals 2014,AZ Arsenal Pre-ECNL B14,3,2,4/12/2025,Rivalries Cup,
Next Level Soccer Southeast 2014 Boys Blue,Tuzos Royals 2014,1,3,4/12/2025,Rivalries Cup,
Tuzos Royals 2014,2014 Tuzos Academy FV,0,0,3/30/2025,Tuzos Challenge,
Tuzos Academy Mesa 2014,Tuzos Royals 2014,2,8,3/29/2025,Tuzos Challenge,
Tuzos Royals 2014,Excel Soccer Academy 14 Red,1,3,3/29/2025,Tuzos Challenge,
Phoenix United 14 Elite,Tuzos Royals 2014,4,0,3/22/2025,Tournaments Powered by Rated Sports ,
2014 Tuzos Academy FV,Tuzos Royals 2014,7,8,3/16/2025,INFERNO CUP,
Tuzos Royals 2014,Next Level Soccer Southeast 2014 Boys Red,3,2,3/15/2025,INFERNO CUP,
Tuzos Royals 2014,PRFC Desert Foothills 14B Pre-Academy,1,2,3/1/2025,Futsal B and G ,
Excel Soccer Academy 14 Red,Tuzos Royals 2014,2,0,2/23/2025,AZFC Select Invitational ,
Playmaker Futbol Academy 14B Gold,Tuzos Royals 2014,1,2,2/23/2025,AZFC Select Invitational ,
Tuzos Royals 2014,Excel Soccer Academy 14 Red,1,1,2/22/2025,AZFC Select Invitational ,
Phoenix Premier FC 14B CG,Tuzos Royals 2014,0,0,2/22/2025,AZFC Select Invitational ,
Tuzos Royals 2014,AZ Arsenal 14 Boys Teal 1,3,1,2/15/2025,Futsal B and G ,
Tuzos Royals 2014,Brazas 2014 Boys Black Marcos,5,0,2/15/2025,Futsal B and G ,
Tuzos Royals 2014,Next Level Soccer Southeast 2014 Boys Blue,3,2,2/8/2025,Desert Classic,
Tuzos Royals 2014,PRFC North Valley 14B PreAcademy,2,3,2/8/2025,Desert Classic,
NOS Santos 14 Boys Blue,Tuzos Royals 2014,2,3,2/8/2025,Futsal B and G ,
Next Level Soccer Southeast 2014 Boys Red,Tuzos Royals 2014,2,3,2/7/2025,Desert Classic,
Tuzos Royals 2014,Phoenix United 2014B West,3,6,2/1/2025,Futsal B and G ,
Tuzos Royals 2014,Madison FC 14 Gold Boys Storm,1,0,1/19/2025,Tournaments Powered by Rated Sports ,
Tuzos Royals 2014,Next Level Soccer Northwest 2014 Boys,3,0,1/19/2025,Tournaments Powered by Rated Sports ,
Tuzos Royals 2014,Madison FC 14 Gold Boys Storm,3,1,1/18/2025,Tournaments Powered by Rated Sports ,
West Valley 2014 Boys Martinez Pre-Elite64,Tuzos Royals 2014,0,3,1/18/2025,Tournaments Powered by Rated Sports ,
AZSC 14B Perez,Tuzos Royals 2014,2,3,1/11/2025,Futsal B and G ,
CCV STARS 14 Boys Orange PEO,Tuzos Royals 2014,1,1,12/14/2024,Holiday Classic,
Tuzos Royals 2014,2014B West,2,2,12/14/2024,Holiday Classic,
Tuzos Royals 2014,Playmaker Futbol Academy 14B Gold,8,1,11/30/2024,Tournaments Powered by Rated Sports ,
Tuzos Royals 2014,AZ Arsenal 14 Boys Teal 1,2,1,11/16/2024,OPEN League: Season 1,
Legends FC AZ 14B Gold,Tuzos Royals 2014,0,6,11/16/2024,OPEN League: Season 1,
Next Level Soccer Southeast 2014 Boys Red,Tuzos Royals 2014,4,3,11/10/2024,Kick for the Cure,
Tuzos Royals 2014,14B Velasco Pre-MLS Next,3,3,11/9/2024,Kick for the Cure,
Tuzos Royals 2014,15B NMarkette,9,0,11/2/2024,OPEN League: Season 1,
Brazas 2014 Boys Black Marcos,Tuzos Royals 2014,5,2,10/5/2024,OPEN League: Season 1,
AZSC 14B Perez,Tuzos Royals 2014,1,4,10/5/2024,OPEN League: Season 1,
14B GSA,Tuzos Royals 2014,6,0,9/28/2024,The Derby,
Tuzos Royals 2014,AZ Arsenal Pre-ECNL B14,2,1,9/28/2024,The Derby,
AZ Arsenal 14 Boys Teal 1,Tuzos Royals 2014,2,2,9/27/2024,The Derby,
PRFC Desert Foothills 14B Pre-Academy,Tuzos Royals 2014,2,4,9/21/2024,OPEN League: Season 1,
Tuzos Royals 2014,B2014,1,1,8/10/2024,Tournaments Powered by Rated Sports ,
Tuzos Royals 2014,Juventus,5,3,4/20/2024,Schools Out,
Excel Soccer Academy 14 Red,Tuzos Royals 2014,2,2,4/19/2024,Arizona Presidents Cup ,
Southeast 2013 Boys Green,2014B West,4,3,9/28/2025,The Derby 2025,
2014B West,AZ Arsenal Pre-ECNL B14,2,6,9/27/2025,The Derby 2025,
State 48 FC Avondale 13 Copper,2014B West,3,0,9/27/2025,The Derby 2025,
2014B West,SCFC 2014,0,0,9/26/2025,The Derby 2025,
Sun Warriors 13/14 Boys,2014B West,1,6,9/14/2025,Cactus Kick Off,
2014B West,14B JDeutsch Pre-MLS Next,2,0,9/14/2025,Cactus Kick Off,
Rey Del Castillo FC Gold,2014B West,2,4,9/13/2025,Cactus Kick Off,
2014B West,FCDA 13B Red NL (AZ),3,3,9/12/2025,Cactus Kick Off,
2014B West,14,7,0,9/7/2025,Flagstaff Soccer United Cup,
2014B West,AZ Arsenal 13 Boys Flagstaff,5,4,9/6/2025,Flagstaff Soccer United Cup,
PRFC North Valley 13B Predator,2014B West,2,4,9/6/2025,Flagstaff Soccer United Cup,
2014B West,PRFC North Valley 13B Predator,1,5,8/31/2025,Phoenix Rising Cup,
2014B West,PRFC WV 13B NL Premier 2 AZ,5,0,8/30/2025,Phoenix Rising Cup,
PSG 13B Blue E64RL,2014B West,0,10,8/30/2025,Phoenix Rising Cup,
CDO 13B Elite,2014B West,1,11,4/27/2025,Schools Out,
Havasu Lions 13B Moran,2014B West,0,7,4/26/2025,Schools Out,
2014B West,Juventus,5,2,4/26/2025,Schools Out,
2014B West,Scottsdale 13 Sandsharks Select,5,1,4/25/2025,Schools Out,
2014B West,Brazas 2014 Boys Black Marcos,3,2,4/19/2025,Futsal B and G ,
AZ Thundercats 2013,2014B West,3,1,4/5/2025,Yavapai,
2014B West,Tuzos Academy Mesa 2014,12,1,3/30/2025,Tuzos Challenge,
2014B West,Excel Soccer Academy 14 Red,3,0,3/30/2025,Tuzos Challenge,
Excel Soccer Academy 14 Red,2014B West,0,3,3/29/2025,Tuzos Challenge,
2014B West,2014 Tuzos Academy FV,6,2,3/29/2025,Tuzos Challenge,
2014B West,Excel Soccer Academy 14 Red,0,3,3/21/2025,TFC Spring Cup,
2014B West,2014 Tuzos Academy FV,4,2,3/16/2025,INFERNO CUP,
14B Velasco Pre-MLS Next,2014B West,5,1,3/8/2025,Ostrich Festival,
NOS Santos 14 Boys Blue,2014B West,2,10,2/22/2025,Futsal B and G ,
AZSC 14B Perez,2014B West,1,6,2/15/2025,Futsal B and G ,
2014B West,AZ Arsenal 14 Boys Teal 1,6,1,2/8/2025,Futsal B and G ,
Tuzos Royals 2014,2014B West,3,6,2/1/2025,Futsal B and G ,
Phoenix Premier FC 14B Black,2014B West,2,3,1/26/2025,AZ Soccer Clash,
2014B West,14,3,6,1/24/2025,AZ Soccer Clash,
PRFC Desert Foothills 14B Pre-Academy,2014B West,2,3,1/18/2025,Futsal B and G ,
Legends FC AZ 14B FC,2014B West,2,1,1/12/2025,CCV Stars Champions Cup,
2014B West,14B Velasco Pre-MLS Next,2,2,1/11/2025,CCV Stars Champions Cup,
2014B West,CCV STARS 14 Boys Orange PEO,1,3,12/15/2024,Holiday Classic,
Tuzos Royals 2014,2014B West,2,2,12/14/2024,Holiday Classic,
14,2014B West,1,4,12/8/2024,Salvation Army Christmas Angel,
NOS Santos 14 Boys Blue,2014B West,1,5,12/7/2024,Salvation Army Christmas Angel,
2014B West,PRFC West Valley 14B Pre-Academy,12,0,12/7/2024,Salvation Army Christmas Angel,
14B Engilman,2014B West,2,6,11/23/2024,OPEN League: Season 1,
2014B West,Next Level Soccer Northwest 2014 Boys,7,0,11/10/2024,Kick for the Cure,
14B OMolina,2014B West,0,7,11/2/2024,OPEN League: Season 1,
2014B West,14B Jimmy,1,0,10/19/2024,OPEN League: Season 1,
PRFC Southeast Valley 14B Pre-Academy,2014B West,5,9,10/12/2024,OPEN League: Season 1,
2014B West,NOS Santos 14 Boys Blue,6,2,10/5/2024,OPEN League: Season 1,
2014B West,Tuzos Academy Mesa 2014,5,2,9/21/2024,OPEN League: Season 1,
2014B West,Playmaker Futbol Academy 14B Gold,4,0,9/14/2024,OPEN League: Season 1,
Phoenix Premier FC 14B Black,2014B West,2,3,9/8/2024,Flagstaff Soccer United Cup,
Next Level Soccer Southeast 2014 Boys Blue,2014B West,4,1,9/7/2024,Flagstaff Soccer United Cup,
2014B West,Playmaker Futbol Academy 14B Gold,5,3,9/7/2024,Flagstaff Soccer United Cup,
2014B West,Tuzos Academy Mesa 2014,5,0,9/1/2024,Phoenix Rising Cup,
14 ECNL #2,2014B West,5,0,9/1/2024,Phoenix Rising Cup,
2014B West,Playmaker Futbol Academy 14B Gold,6,1,8/31/2024,Phoenix Rising Cup,
PRFC Scottsdale 14B Pre-Academy,2014B West,5,8,8/31/2024,Phoenix Rising Cup,
2014 Elite,Southeast 2013 Boys Blue,3,0,9/28/2025,The Derby 2025,
2014 Elite,Northwest 2013 Boys Black,2,0,9/28/2025,The Derby 2025,
Rey Del Castillo FC Black,2014 Elite,1,7,9/27/2025,The Derby 2025,
2014 Elite,FCDA 2013B Red,5,0,9/7/2025,Tuzos Challenge,
2014 Elite,Rey Del Castillo FC Black,5,6,9/7/2025,Tuzos Challenge,
Galacticos FC Sonora,2014 Elite,0,5,9/6/2025,Tuzos Challenge,
2014 Elite,Rey Del Castillo FC Black,2,1,9/6/2025,Tuzos Challenge,
2014 Elite,Tuzos Royals 2014,9,0,4/13/2025,Rivalries Cup,
Next Level Soccer Southeast 2014 Boys Blue,2014 Elite,0,10,4/13/2025,Rivalries Cup,
AZ Arsenal Pre-ECNL B14,2014 Elite,1,8,4/12/2025,Rivalries Cup,
2014 Elite,Next Level Soccer Southeast 2014 Boys Red,7,1,4/12/2025,Rivalries Cup,
14B GSA,2014 Elite,1,1,3/30/2025,Tuzos Challenge,
Chelsea 13B,2014 Elite,1,5,3/29/2025,Tuzos Challenge,
2014 Elite,Legends FC AZ 14B FC,1,0,3/23/2025,Tournaments Powered by Rated Sports ,
2014 Elite,Tuzos Royals 2014,4,0,3/22/2025,Tournaments Powered by Rated Sports ,
Playmaker Futbol Academy 13B Black,2014 Elite,3,1,2/8/2025,Desert Classic,
14,AZ Arsenal Pre-ECNL B14,0,3,9/28/2025,The Derby 2025,
14,State 48 FC Avondale 13 Copper,0,6,9/28/2025,The Derby 2025,
Southeast 2013 Boys Green,14,6,0,9/27/2025,The Derby 2025,
2014B West,14,0,0,9/26/2025,The Derby 2025,
2014B West,14,7,0,9/7/2025,Flagstaff Soccer United Cup,
AZ Arsenal 13 Boys Flagstaff,14,0,0,9/6/2025,Flagstaff Soccer United Cup,
14,PRFC North Valley 13B Predator,1,0,9/6/2025,Flagstaff Soccer United Cup,
AZ Arsenal Pre-ECNL B14,14,3,4,4/13/2025,Rivalries Cup,
Next Level Soccer Southeast 2014 Boys Red,14,1,2,4/12/2025,Rivalries Cup,
14,Next Level Soccer Southeast 2014 Boys Blue,5,3,4/12/2025,Rivalries Cup,
Madison FC 14 Gold Boys Storm,14,3,3,3/9/2025,Ostrich Festival,
14,14B JCFresquez Pre-MLS Next,2,1,3/8/2025,Ostrich Festival,
AZEV B2014 (NAVY),14,8,4,3/1/2025,Futsal B and G ,
14B JCFresquez Pre-MLS Next,14,2,7,2/22/2025,Phoenix Rising FC Tournaments - Max Shacknai Invitational,
Legends FC AZ 14B Gold,14,1,9,2/15/2025,Futsal B and G ,
14,PRFC Southeast Valley 14B Pre-Academy,7,1,2/8/2025,Futsal B and G ,
East Valley NSFC 14 Boys Aguirre,14,1,8,2/1/2025,Futsal B and G ,
14,Next Level Soccer Southeast 2014 Boys Red,4,2,1/26/2025,AZ Soccer Clash,
14,Phoenix Premier FC 14B Black,7,1,1/25/2025,AZ Soccer Clash,
14B Jimmy,14,5,8,1/25/2025,Futsal B and G ,
2014B West,14,3,6,1/24/2025,AZ Soccer Clash,
14,14B Engilman,4,1,1/11/2025,Futsal B and G ,
14B JCFresquez Pre-MLS Next,14,5,3,1/4/2025,New Year's Futures Cup,
14,2014B West,1,4,12/8/2024,Salvation Army Christmas Angel,
PRFC West Valley 14B Pre-Academy,14,0,6,12/7/2024,Salvation Army Christmas Angel,
14,NOS Santos 14 Boys Blue,5,2,12/7/2024,Salvation Army Christmas Angel,
VSC 2014 Boys Green,14,2,10,11/24/2024,Heritage Cup,
14,AZSC 14B Perez,6,3,11/24/2024,Heritage Cup,
14,RSL-AZ Yuma 14 Boys Quinonez,9,2,11/23/2024,Heritage Cup,
Next Level Soccer Southeast 2014 Boys Blue,14,5,8,11/23/2024,Heritage Cup,
AZ Arsenal 15 Boys Teal 1 JZ,14,1,4,11/3/2024,2025 Rush Cup ,
Legends FC AZ 14B Gold,14,2,5,11/3/2024,2025 Rush Cup ,
14,Playmaker Futbol Academy 14B Gold,7,0,11/2/2024,2025 Rush Cup ,
PRFC Desert Foothills 14B Pre-Academy,14,2,3,11/2/2024,2025 Rush Cup ,
PRFC Scottsdale 14B Pre-Academy,14,4,7,10/27/2024,Phoenix Rising FC Tournaments - Fall Classic,
14,Phoenix Premier FC 14B Black,6,5,10/26/2024,OPEN League: Season 1,
PRFC Southeast Valley 14B Predator,14,2,5,10/26/2024,Phoenix Rising FC Tournaments - Fall Classic,
14,PRFC Scottsdale 14B Pre-Academy,5,3,10/25/2024,Phoenix Rising FC Tournaments - Fall Classic,
PRFC Southeast Valley 14B Pre-Academy,14,1,8,10/24/2024,Phoenix Rising FC Tournaments - Fall Classic,
AZEV B2014 (NAVY),14,2,4,10/19/2024,OPEN League: Season 1,
14,AZ Arsenal 14 Boys Teal 1,5,4,10/13/2024,Arsenal Challenge,
14,East Valley NSFC 14 Boys Aguirre,6,1,10/12/2024,Arsenal Challenge,
14,Tuzos Halcones 2014,8,0,9/21/2024,OPEN League: Season 1,
Legends FC AZ 14B Black,14,2,8,9/14/2024,OPEN League: Season 1,
14,Madison FC 14 Blue Boys,9,0,9/1/2024,Phoenix Rising Cup,
14,PSG 14B Blue,6,3,8/31/2024,Phoenix Rising Cup,
U-12 (2014) Boys Pre Academy Blue,Southeast 2014 Boys Red,0,3,10/5/2025,ARIZONA ADVANCED LEAGUES,
Southeast 2014 Boys Blue,Southeast 2014 Boys Red,3,1,10/3/2025,ARIZONA ADVANCED LEAGUES,
Tuzos Royals 2014,Southeast 2014 Boys Red,2,1,9/28/2025,The Derby 2025,
Southeast 2014 Boys Red,Playmaker Futbol Academy PRE-ECNL B14,0,3,9/27/2025,The Derby 2025,
Southeast 2014 Boys Red,Excel Soccer Academy 14B Red,1,5,9/27/2025,The Derby 2025,
Southeast 2014 Boys Red,CCV Stars 14 Boys North Pre-ECNL,2,0,9/21/2025,ARIZONA ADVANCED LEAGUES,
Southeast 2014 Boys Red,Excel Soccer Academy 14B Red,1,4,9/20/2025,ARIZONA ADVANCED LEAGUES,
PRFC Desert Foothills 14B Pre-Academy,Southeast 2014 Boys Red,1,5,9/7/2025,Flagstaff Soccer United Cup,
Southeast 2014 Boys Red,Playmaker Futbol Academy 14B Black,5,1,9/7/2025,Flagstaff Soccer United Cup,
AZEV B2014 (NAVY),Southeast 2014 Boys Red,1,2,9/6/2025,Flagstaff Soccer United Cup,
Southeast 2014 Boys Red,Madison FC 14 Gold Boys,4,3,9/6/2025,Flagstaff Soccer United Cup,
Southeast 2014 Boys Red,AZEV B2014 (NAVY),5,0,4/19/2025,East Valley Spring Invitational,
Southeast 2014 Boys Red,East Valley NSFC 14 Boys Aguirre,5,1,4/16/2025,East Valley Spring Invitational,
AZ Arsenal 14 Boys Teal 1,Southeast 2014 Boys Red,0,2,4/14/2025,East Valley Spring Invitational,
Southeast 2014 Boys Red,Tuzos Royals 2014,0,2,4/13/2025,Rivalries Cup,
Southeast 2014 Boys Red,14,1,2,4/12/2025,Rivalries Cup,
Phoenix United 14 Elite,Southeast 2014 Boys Red,7,1,4/12/2025,Rivalries Cup,
Southeast 2014 Boys Red,AZSC 14B Perez,3,1,3/23/2025,Copper State Challenge,
Southeast 2014 Boys Red,AZSC 14B Perez,3,1,3/23/2025,Copper State Challenge,
Southeast 2014 Boys Red,Phoenix Premier FC 14B Black,2,1,3/22/2025,Copper State Challenge,
Phoenix Premier FC 14B SW,Southeast 2014 Boys Red,0,9,3/21/2025,Copper State Challenge,
Tuzos Royals 2014,Southeast 2014 Boys Red,3,2,3/15/2025,INFERNO CUP,
Legends FC AZ 14B FC,Southeast 2014 Boys Red,2,1,2/8/2025,Desert Classic,
Excel Soccer Academy 14 Red,Southeast 2014 Boys Red,4,1,2/8/2025,Desert Classic,
Southeast 2014 Boys Red,Tuzos Royals 2014,2,3,2/7/2025,Desert Classic,
Southeast 2014 Boys Red,AZ Arsenal Pre-ECNL B14,6,4,1/26/2025,AZ Soccer Clash,
14,Southeast 2014 Boys Red,4,2,1/26/2025,AZ Soccer Clash,
Southeast 2014 Boys Red,Brazas 2014 Boys Black Marcos,1,1,1/25/2025,AZ Soccer Clash,
Southeast 2014 Boys Red,14B Velasco Pre-MLS Next,3,2,1/12/2025,CCV Stars Champions Cup,
Legends FC AZ 14B FC,Southeast 2014 Boys Red,4,2,1/11/2025,CCV Stars Champions Cup,
CCV STARS 14 Boys Orange PEO,Southeast 2014 Boys Red,0,3,1/11/2025,CCV Stars Champions Cup,
Southeast 2014 Boys Red,Legends FC AZ 14B Black,6,0,12/6/2024,The Open,
Southeast 2014 Boys Red,14 ECNL #1,2,3,11/24/2024,Heritage Cup,
PRFC North Valley 14B PreAcademy,Southeast 2014 Boys Red,6,4,11/23/2024,Heritage Cup,
Southeast 2014 Boys Red,14B JCFresquez Pre-MLS Next,2,6,11/22/2024,Heritage Cup,
Southeast 2014 Boys Red,Tuzos Royals 2014,4,3,11/10/2024,Kick for the Cure,
14B Velasco Pre-MLS Next,Southeast 2014 Boys Red,2,3,11/9/2024,Kick for the Cure,
2014B West,Southeast 2014 Boys Red,1,3,10/26/2024,City of Las Vegas Mayor's Cup ,
Southeast 2014 Boys Red,Legends FC AZ 14B Gold,2,0,10/20/2024,The Fiesta Cup ,
14B GSA,Southeast 2014 Boys Red,4,0,9/29/2024,The Derby,
AZ Arsenal Pre-ECNL B14,Southeast 2014 Boys Red,2,1,9/28/2024,The Derby,
Southeast 2014 Boys Red,AZ Arsenal 14 Boys Teal 1,4,2,9/28/2024,The Derby,
14B GSA,Southeast 2014 Boys Red,1,1,9/27/2024,The Derby,
Southeast 2014 Boys Red,Next Level Soccer Southeast 2014 Boys Blue,4,1,9/8/2024,Flagstaff Soccer United Cup,
Southeast 2014 Boys Red,Phoenix Premier FC 14B Black,3,0,9/7/2024,Flagstaff Soccer United Cup,
Southeast 2014 Boys Red,14 ECNL #1,1,6,9/1/2024,Phoenix Rising Cup,
Playmaker Futbol Academy 14B Black,Southeast 2014 Boys Red,1,0,8/31/2024,Phoenix Rising Cup,
Southeast 2014 Boys Red,Phoenix United 2015 Elite,4,3,8/31/2024,Phoenix Rising Cup,
Dynamos SC 14B SC,14B Antunez Pre-MLS Next,6,2,9/28/2025,ARIZONA ADVANCED LEAGUES,
Dynamos SC 14B SC,U-12 (2014) Boys Pre Academy Blue,6,1,9/21/2025,ARIZONA ADVANCED LEAGUES,
