Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Team A Normalized,Team B Normalized,Team A Match,Team A Match Type,Team B Match,Team B Match Type
2025-10-03,FC Elite Arizona 2015 Boys Blue,RSL-AZ North 2015 Boys White,2,0,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_10,,fc elite arizona 2015 boys blue,rsl-az north 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,RSL-AZ North 2015 Boys White,EXACT
2025-10-02,FC Elite Arizona 2015 Boys Blue,FC Sonora 2015 Boys Red,2,1,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_11,,fc elite arizona 2015 boys blue,fc sonora 2015 boys red,FC Elite Arizona 2015 Boys Blue,EXACT,FC Sonora 2015 Boys Red,EXACT
2024-11-01,FC Elite Arizona 2015 Boys Blue,Paris Saint-Germain Academy Phoenix 2015 Boys White,4,0,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_12,,fc elite arizona 2015 boys blue,paris saint-germain academy phoenix 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,Paris Saint-Germain Academy Phoenix 2015 Boys White,EXACT
2025-06-16,FC Elite Arizona 2015 Boys Blue,SC Union Maricopa Academy 2015 Boys White,3,0,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_13,,fc elite arizona 2015 boys blue,sc union maricopa academy 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,SC Union Maricopa Academy 2015 Boys White,EXACT
2025-06-24,FC Elite Arizona 2015 Boys Blue,RSL-AZ North 2015 Boys Red,4,0,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_14,,fc elite arizona 2015 boys blue,rsl-az north 2015 boys red,FC Elite Arizona 2015 Boys Blue,EXACT,RSL-AZ North 2015 Boys Red,EXACT
2025-08-02,FC Elite Arizona 2015 Boys Blue,FC Arizona 2015 Boys Red,0,4,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_15,,fc elite arizona 2015 boys blue,fc arizona 2015 boys red,FC Elite Arizona 2015 Boys Blue,EXACT,FC Arizona 2015 Boys Red,EXACT
2025-09-26,FC Elite Arizona 2015 Boys Blue,FC Arizona 2015 Boys Blue,2,3,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_16,,fc elite arizona 2015 boys blue,fc arizona 2015 boys blue,FC Elite Arizona 2015 Boys Blue,EXACT,FC Arizona 2015 Boys Blue,EXACT
2025-04-03,FC Elite Arizona 2015 Boys Blue,Spartans FC (AZ) 2015 Boys Red,2,4,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_17,,fc elite arizona 2015 boys blue,spartans fc (az) 2015 boys red,FC Elite Arizona 2015 Boys Blue,EXACT,Spartans FC (AZ) 2015 Boys Red,EXACT
2025-01-10,FC Elite Arizona 2015 Boys Blue,Paris Saint-Germain Academy Phoenix 2015 Boys White,4,4,T,T,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_18,,fc elite arizona 2015 boys blue,paris saint-germain academy phoenix 2015 boys white,FC Elite Arizona 2015 Boys Blue,EXACT,Paris Saint-Germain Academy Phoenix 2015 Boys White,EXACT
2025-05-19,FC Elite Arizona 2015 Boys Blue,Arizona Soccer Club 2015 Boys Blue,2,1,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_19,,fc elite arizona 2015 boys blue,arizona soccer club 2015 boys blue,FC Elite Arizona 2015 Boys Blue,EXACT,Arizona Soccer Club 2015 Boys Blue,EXACT
2025-09-18,FC Elite Arizona 2015 Boys Blue,AYSO 350 Alliance 2015 Boys Blue,1,0,W,L,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_20,,fc elite arizona 2015 boys blue,ayso 350 alliance 2015 boys blue,FC Elite Arizona 2015 Boys Blue,EXACT,AYSO 350 Alliance 2015 Boys Blue,EXACT
2025-07-27,FC Elite Arizona 2015 Boys White,Sun Warriors AZFC 2015 Boys Black,3,1,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_21,,fc elite arizona 2015 boys white,sun warriors azfc 2015 boys black,FC Elite Arizona 2015 Boys White,EXACT,Sun Warriors AZFC 2015 Boys Black,EXACT
2025-02-08,FC Elite Arizona 2015 Boys White,SC Union Maricopa Academy 2015 Boys White,2,3,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_22,,fc elite arizona 2015 boys white,sc union maricopa academy 2015 boys white,FC Elite Arizona 2015 Boys White,EXACT,SC Union Maricopa Academy 2015 Boys White,EXACT
2024-12-13,FC Elite Arizona 2015 Boys White,Phoenix United Futbol Club 2015 Boys,2,1,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_23,,fc elite arizona 2015 boys white,phoenix united futbol club 2015 boys,FC Elite Arizona 2015 Boys White,EXACT,Phoenix United Futbol Club 2015 Boys,EXACT
2025-06-25,FC Elite Arizona 2015 Boys White,La Academia FC 2015 Boys Blue,4,4,T,T,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_24,,fc elite arizona 2015 boys white,la academia fc 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,La Academia FC 2015 Boys Blue,EXACT
2025-07-14,FC Elite Arizona 2015 Boys White,Real Arizona FC 2015 Boys Blue,1,3,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_25,,fc elite arizona 2015 boys white,real arizona fc 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,Real Arizona FC 2015 Boys Blue,EXACT
2025-02-22,FC Elite Arizona 2015 Boys White,Canyon Del Oro Soccer Club 2015 Boys Red,3,2,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_26,,fc elite arizona 2015 boys white,canyon del oro soccer club 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,Canyon Del Oro Soccer Club 2015 Boys Red,EXACT
2025-03-01,FC Elite Arizona 2015 Boys White,La Academia FC 2015 Boys Red,0,4,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_27,,fc elite arizona 2015 boys white,la academia fc 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,La Academia FC 2015 Boys Red,EXACT
2025-09-20,FC Elite Arizona 2015 Boys White,Canyon Del Oro Soccer Club 2015 Boys Red,1,0,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_28,,fc elite arizona 2015 boys white,canyon del oro soccer club 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,Canyon Del Oro Soccer Club 2015 Boys Red,EXACT
2024-11-14,FC Elite Arizona 2015 Boys White,SC Union Maricopa Academy 2015 Boys White,2,2,T,T,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_29,,fc elite arizona 2015 boys white,sc union maricopa academy 2015 boys white,FC Elite Arizona 2015 Boys White,EXACT,SC Union Maricopa Academy 2015 Boys White,EXACT
2025-01-26,FC Elite Arizona 2015 Boys White,Real Arizona FC 2015 Boys Red,2,0,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_30,,fc elite arizona 2015 boys white,real arizona fc 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,Real Arizona FC 2015 Boys Red,EXACT
2025-09-15,FC Elite Arizona 2015 Boys White,FBSL 2015 Boys Red,3,2,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_31,,fc elite arizona 2015 boys white,fbsl 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,FBSL 2015 Boys Red,EXACT
2025-07-28,FC Elite Arizona 2015 Boys White,SC Union Maricopa Academy 2015 Boys Red,1,3,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_32,,fc elite arizona 2015 boys white,sc union maricopa academy 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,SC Union Maricopa Academy 2015 Boys Red,EXACT
2025-08-04,FC Elite Arizona 2015 Boys White,Thunderbird FC 2015 Boys White,3,3,T,T,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_33,,fc elite arizona 2015 boys white,thunderbird fc 2015 boys white,FC Elite Arizona 2015 Boys White,EXACT,Thunderbird FC 2015 Boys White,EXACT
2025-06-20,FC Elite Arizona 2015 Boys White,CCV STARS 2015 Boys Blue,2,3,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_34,,fc elite arizona 2015 boys white,ccv stars 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,CCV STARS 2015 Boys Blue,EXACT
2025-10-06,FC Elite Arizona 2015 Boys White,Madison FC 2015 Boys Blue,0,2,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_35,,fc elite arizona 2015 boys white,madison fc 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,Madison FC 2015 Boys Blue,EXACT
2025-03-13,FC Elite Arizona 2015 Boys White,Canyon Del Oro Soccer Club 2015 Boys Blue,2,2,T,T,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_36,,fc elite arizona 2015 boys white,canyon del oro soccer club 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,Canyon Del Oro Soccer Club 2015 Boys Blue,EXACT
2025-10-09,FC Elite Arizona 2015 Boys White,Epic Soccer Club 2015 Boys Red,1,3,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_37,,fc elite arizona 2015 boys white,epic soccer club 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,Epic Soccer Club 2015 Boys Red,EXACT
2024-10-12,FC Elite Arizona 2015 Boys White,SC Union Maricopa Academy 2015 Boys Blue,0,2,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_38,,fc elite arizona 2015 boys white,sc union maricopa academy 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,SC Union Maricopa Academy 2015 Boys Blue,EXACT
2025-02-23,FC Elite Arizona 2015 Boys White,SC Union Maricopa Academy 2015 Boys Blue,0,0,T,T,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_39,,fc elite arizona 2015 boys white,sc union maricopa academy 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,SC Union Maricopa Academy 2015 Boys Blue,EXACT
2024-10-11,FC Elite Arizona 2015 Boys White,Spartak Academy 2015 Boys Blue,0,2,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_40,,fc elite arizona 2015 boys white,spartak academy 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,Spartak Academy 2015 Boys Blue,EXACT
2024-11-16,FC Elite Arizona 2015 Boys White,Canyon Del Oro Soccer Club 2015 Boys Red,0,3,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_41,,fc elite arizona 2015 boys white,canyon del oro soccer club 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,Canyon Del Oro Soccer Club 2015 Boys Red,EXACT
2025-06-18,FC Elite Arizona 2015 Boys White,Madison FC 2015 Boys White,2,1,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_42,,fc elite arizona 2015 boys white,madison fc 2015 boys white,FC Elite Arizona 2015 Boys White,EXACT,Madison FC 2015 Boys White,EXACT
2025-08-29,FC Elite Arizona 2015 Boys White,Madison FC 2015 Boys Blue,3,1,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_43,,fc elite arizona 2015 boys white,madison fc 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,Madison FC 2015 Boys Blue,EXACT
2025-07-08,FC Elite Arizona 2015 Boys White,United Latinos SC 2015 Boys Blue,1,1,T,T,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_44,,fc elite arizona 2015 boys white,united latinos sc 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,United Latinos SC 2015 Boys Blue,EXACT
2025-04-22,FC Elite Arizona 2015 Boys White,Paladin Soccer Club 2015 Boys White,0,2,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_45,,fc elite arizona 2015 boys white,paladin soccer club 2015 boys white,FC Elite Arizona 2015 Boys White,EXACT,Paladin Soccer Club 2015 Boys White,EXACT
2025-04-07,FC Elite Arizona 2015 Boys White,RSL-AZ North 2015 Boys Red,4,4,T,T,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_46,,fc elite arizona 2015 boys white,rsl-az north 2015 boys red,FC Elite Arizona 2015 Boys White,EXACT,RSL-AZ North 2015 Boys Red,EXACT
2025-04-07,FC Elite Arizona 2015 Boys White,Spartans FC (AZ) 2015 Boys Blue,2,4,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_47,,fc elite arizona 2015 boys white,spartans fc (az) 2015 boys blue,FC Elite Arizona 2015 Boys White,EXACT,Spartans FC (AZ) 2015 Boys Blue,EXACT
2025-07-16,FC Elite Arizona 2015 Boys Red,Sun Warriors AZFC 2015 Boys Red,3,1,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_48,,fc elite arizona 2015 boys red,sun warriors azfc 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,Sun Warriors AZFC 2015 Boys Red,EXACT
2025-04-20,FC Elite Arizona 2015 Boys Red,RSL-AZ North 2015 Boys White,0,3,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_49,,fc elite arizona 2015 boys red,rsl-az north 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ North 2015 Boys White,EXACT
2025-01-15,FC Elite Arizona 2015 Boys Red,Epic Soccer Club 2015 Boys Red,3,0,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_50,,fc elite arizona 2015 boys red,epic soccer club 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,Epic Soccer Club 2015 Boys Red,EXACT
2024-10-27,FC Elite Arizona 2015 Boys Red,Spartans FC (AZ) 2015 Boys White,2,4,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_51,,fc elite arizona 2015 boys red,spartans fc (az) 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,Spartans FC (AZ) 2015 Boys White,EXACT
2025-08-20,FC Elite Arizona 2015 Boys Red,RSL-AZ South 2015 Boys White,3,3,T,T,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_52,,fc elite arizona 2015 boys red,rsl-az south 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ South 2015 Boys White,EXACT
2025-10-07,FC Elite Arizona 2015 Boys Red,RSL-AZ Yuma 2015 Boys Red,4,0,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_53,,fc elite arizona 2015 boys red,rsl-az yuma 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ Yuma 2015 Boys Red,EXACT
2025-05-01,FC Elite Arizona 2015 Boys Red,Epic Soccer Club 2015 Boys White,2,4,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_54,,fc elite arizona 2015 boys red,epic soccer club 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,Epic Soccer Club 2015 Boys White,EXACT
2025-06-05,FC Elite Arizona 2015 Boys Red,Vail SC 2015 Boys White,2,4,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_55,,fc elite arizona 2015 boys red,vail sc 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,Vail SC 2015 Boys White,EXACT
2025-02-12,FC Elite Arizona 2015 Boys Red,Dynamos SC 2015 Boys Red,0,2,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_56,,fc elite arizona 2015 boys red,dynamos sc 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,Dynamos SC 2015 Boys Red,EXACT
2025-08-15,FC Elite Arizona 2015 Boys Red,Madison FC 2015 Boys White,1,3,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_57,,fc elite arizona 2015 boys red,madison fc 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,Madison FC 2015 Boys White,EXACT
2025-09-15,FC Elite Arizona 2015 Boys Red,CCV STARS 2015 Boys White,4,1,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_58,,fc elite arizona 2015 boys red,ccv stars 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,CCV STARS 2015 Boys White,EXACT
2025-06-09,FC Elite Arizona 2015 Boys Red,RSL-AZ Yuma 2015 Boys White,1,2,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_59,,fc elite arizona 2015 boys red,rsl-az yuma 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ Yuma 2015 Boys White,EXACT
2025-06-07,FC Elite Arizona 2015 Boys Red,RSL-AZ Yuma 2015 Boys Blue,0,0,T,T,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_60,,fc elite arizona 2015 boys red,rsl-az yuma 2015 boys blue,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ Yuma 2015 Boys Blue,EXACT
2025-03-05,FC Elite Arizona 2015 Boys Red,Phoenix Rush 2015 Boys Blue,4,3,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_61,,fc elite arizona 2015 boys red,phoenix rush 2015 boys blue,FC Elite Arizona 2015 Boys Red,EXACT,Phoenix Rush 2015 Boys Blue,EXACT
2024-12-21,FC Elite Arizona 2015 Boys Red,Real Arizona FC 2015 Boys Red,2,3,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_62,,fc elite arizona 2015 boys red,real arizona fc 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,Real Arizona FC 2015 Boys Red,EXACT
2025-07-12,FC Elite Arizona 2015 Boys Red,Sun Warriors AZFC 2015 Boys Blue,0,3,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_63,,fc elite arizona 2015 boys red,sun warriors azfc 2015 boys blue,FC Elite Arizona 2015 Boys Red,EXACT,Sun Warriors AZFC 2015 Boys Blue,EXACT
2025-01-07,FC Elite Arizona 2015 Boys Red,Phoenix Premier FC 2015 Boys Blue,3,3,T,T,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_64,,fc elite arizona 2015 boys red,phoenix premier fc 2015 boys blue,FC Elite Arizona 2015 Boys Red,EXACT,Phoenix Premier FC 2015 Boys Blue,EXACT
2025-08-19,FC Elite Arizona 2015 Boys Red,RSL-AZ North 2015 Boys Black,2,4,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_65,,fc elite arizona 2015 boys red,rsl-az north 2015 boys black,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ North 2015 Boys Black,EXACT
2025-08-24,FC Elite Arizona 2015 Boys Red,Synergy FC AZ 2015 Boys Red,2,0,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_66,,fc elite arizona 2015 boys red,synergy fc az 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,Synergy FC AZ 2015 Boys Red,EXACT
2025-03-04,FC Elite Arizona 2015 Boys Red,RSL-AZ South 2015 Boys Red,1,0,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_67,,fc elite arizona 2015 boys red,rsl-az south 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ South 2015 Boys Red,EXACT
2025-05-10,FC Elite Arizona 2015 Boys Red,Synergy FC AZ 2015 Boys Black,3,2,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_68,,fc elite arizona 2015 boys red,synergy fc az 2015 boys black,FC Elite Arizona 2015 Boys Red,EXACT,Synergy FC AZ 2015 Boys Black,EXACT
2025-06-08,FC Elite Arizona 2015 Boys Red,Sun Warriors AZFC 2015 Boys Red,2,3,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_69,,fc elite arizona 2015 boys red,sun warriors azfc 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,Sun Warriors AZFC 2015 Boys Red,EXACT
2025-07-25,FC Elite Arizona 2015 Boys Red,AZ Arsenal Soccer Club 2015 Boys Red,3,4,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_70,,fc elite arizona 2015 boys red,az arsenal soccer club 2015 boys red,FC Elite Arizona 2015 Boys Red,EXACT,AZ Arsenal Soccer Club 2015 Boys Red,EXACT
2025-07-07,FC Elite Arizona 2015 Boys Red,RSL-AZ North 2015 Boys White,3,3,T,T,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_71,,fc elite arizona 2015 boys red,rsl-az north 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,RSL-AZ North 2015 Boys White,EXACT
2025-03-25,FC Elite Arizona 2015 Boys Red,Madison FC 2015 Boys White,4,2,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_72,,fc elite arizona 2015 boys red,madison fc 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,Madison FC 2015 Boys White,EXACT
2025-09-13,FC Elite Arizona 2015 Boys Red,Synergy FC AZ 2015 Boys White,1,4,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_73,,fc elite arizona 2015 boys red,synergy fc az 2015 boys white,FC Elite Arizona 2015 Boys Red,EXACT,Synergy FC AZ 2015 Boys White,EXACT
2025-03-18,FC Elite Arizona 2015 Boys Black,La Academia FC 2015 Boys Black,1,4,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_74,,fc elite arizona 2015 boys black,la academia fc 2015 boys black,FC Elite Arizona 2015 Boys Black,EXACT,La Academia FC 2015 Boys Black,EXACT
2025-01-02,FC Elite Arizona 2015 Boys Black,FC Arizona 2015 Boys Blue,4,1,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_75,,fc elite arizona 2015 boys black,fc arizona 2015 boys blue,FC Elite Arizona 2015 Boys Black,EXACT,FC Arizona 2015 Boys Blue,EXACT
2025-05-29,FC Elite Arizona 2015 Boys Black,RSL-AZ North 2015 Boys Red,3,2,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_76,,fc elite arizona 2015 boys black,rsl-az north 2015 boys red,FC Elite Arizona 2015 Boys Black,EXACT,RSL-AZ North 2015 Boys Red,EXACT
2024-11-21,FC Elite Arizona 2015 Boys Black,United Latinos SC 2015 Boys Red,4,4,T,T,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_77,,fc elite arizona 2015 boys black,united latinos sc 2015 boys red,FC Elite Arizona 2015 Boys Black,EXACT,United Latinos SC 2015 Boys Red,EXACT
2025-01-30,FC Elite Arizona 2015 Boys Black,Synergy FC AZ 2015 Boys Black,1,4,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_78,,fc elite arizona 2015 boys black,synergy fc az 2015 boys black,FC Elite Arizona 2015 Boys Black,EXACT,Synergy FC AZ 2015 Boys Black,EXACT
2025-04-10,FC Elite Arizona 2015 Boys Black,Canyon Del Oro Soccer Club 2015 Boys Blue,1,1,T,T,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_79,,fc elite arizona 2015 boys black,canyon del oro soccer club 2015 boys blue,FC Elite Arizona 2015 Boys Black,EXACT,Canyon Del Oro Soccer Club 2015 Boys Blue,EXACT
2025-02-09,FC Elite Arizona 2015 Boys Black,Paladin Soccer Club 2015 Boys White,4,4,T,T,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_80,,fc elite arizona 2015 boys black,paladin soccer club 2015 boys white,FC Elite Arizona 2015 Boys Black,EXACT,Paladin Soccer Club 2015 Boys White,EXACT
2025-01-13,FC Elite Arizona 2015 Boys Black,Dynamos SC 2015 Boys White,1,1,T,T,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_81,,fc elite arizona 2015 boys black,dynamos sc 2015 boys white,FC Elite Arizona 2015 Boys Black,EXACT,Dynamos SC 2015 Boys White,EXACT
