Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
fc elite arizona 2012 boys gold,surprise soccer club 2012 boys gold,FC Elite Arizona 2012 Boys Gold,Surprise Soccer Club 2012 Boys Gold,1,4,League Play,2025-09-14,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,glendale soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Glendale Soccer Club 2012 Boys Blue,3,5,League Play,2024-10-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Tempe Soccer Club 2012 Boys Blue,4,3,League Play,2025-09-13,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,valley united fc 2012 boys black,FC Elite Arizona 2012 Boys Gold,Valley United FC 2012 Boys Black,3,4,League Play,2025-01-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,cave creek soccer club 2012 boys black,FC Elite Arizona 2012 Boys Gold,Cave Creek Soccer Club 2012 Boys Black,5,5,League Play,2025-05-02,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,desert sc 2012 boys black,FC Elite Arizona 2012 Boys Gold,Desert SC 2012 Boys Black,0,0,League Play,2024-12-09,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
desert sc 2012 boys blue,rsl-az west valley 2012 boys red,Desert SC 2012 Boys Blue,RSL-AZ West Valley 2012 Boys Red,3,5,League Play,2024-12-27,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,phoenix premier fc 2012 boys red,Desert SC 2012 Boys Blue,Phoenix Premier FC 2012 Boys Red,1,1,League Play,2025-08-03,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,paradise valley soccer club 2012 boys black,Desert SC 2012 Boys Blue,Paradise Valley Soccer Club 2012 Boys Black,0,2,League Play,2025-07-12,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,az soccer club 2012 boys gold,Desert SC 2012 Boys Blue,AZ Soccer Club 2012 Boys Gold,5,4,League Play,2025-06-04,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,tempe soccer club 2012 boys blue,Desert SC 2012 Boys Blue,Tempe Soccer Club 2012 Boys Blue,1,4,League Play,2024-11-23,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,goodyear soccer club 2012 boys red,Desert SC 2012 Boys Blue,Goodyear Soccer Club 2012 Boys Red,5,0,League Play,2024-12-22,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,phoenix premier fc 2012 boys red,Desert SC 2012 Boys Blue,Phoenix Premier FC 2012 Boys Red,2,5,League Play,2025-10-10,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,mesa soccer club 2012 boys red,Desert SC 2012 Boys Blue,Mesa Soccer Club 2012 Boys Red,2,0,League Play,2025-07-13,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,phoenix premier fc 2012 boys red,Desert SC 2012 Boys Blue,Phoenix Premier FC 2012 Boys Red,5,1,League Play,2025-04-13,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,mesa soccer club 2012 boys red,Desert SC 2012 Boys Blue,Mesa Soccer Club 2012 Boys Red,5,1,League Play,2024-12-30,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,chandler soccer club 2012 boys gold,Desert SC 2012 Boys Blue,Chandler Soccer Club 2012 Boys Gold,2,3,League Play,2024-10-27,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,chandler soccer club 2012 boys red,Desert SC 2012 Boys Blue,Chandler Soccer Club 2012 Boys Red,1,3,League Play,2025-05-24,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,tempe soccer club 2012 boys blue,Desert SC 2012 Boys Blue,Tempe Soccer Club 2012 Boys Blue,3,5,League Play,2025-04-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,desert sc 2012 boys gold,Desert SC 2012 Boys Blue,Desert SC 2012 Boys Gold,4,4,League Play,2025-04-21,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,fountain hills soccer club 2012 boys black,Desert SC 2012 Boys Blue,Fountain Hills Soccer Club 2012 Boys Black,0,2,League Play,2025-08-24,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,fountain hills soccer club 2012 boys white,Desert SC 2012 Boys Blue,Fountain Hills Soccer Club 2012 Boys White,5,0,League Play,2024-12-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,chandler soccer club 2012 boys white,Desert SC 2012 Boys Blue,Chandler Soccer Club 2012 Boys White,5,0,League Play,2025-02-19,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,queen creek soccer club 2012 boys white,Desert SC 2012 Boys Blue,Queen Creek Soccer Club 2012 Boys White,2,4,League Play,2025-06-04,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,avondale soccer club 2012 boys black,Desert SC 2012 Boys Blue,Avondale Soccer Club 2012 Boys Black,1,2,League Play,2025-09-09,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,tempe soccer club 2012 boys blue,Desert SC 2012 Boys Blue,Tempe Soccer Club 2012 Boys Blue,0,0,League Play,2025-05-17,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,surprise soccer club 2012 boys gold,Desert SC 2012 Boys Blue,Surprise Soccer Club 2012 Boys Gold,2,3,League Play,2024-11-02,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,rsl-az north 2012 boys blue,Desert SC 2012 Boys Blue,RSL-AZ North 2012 Boys Blue,5,4,League Play,2025-07-02,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,az arsenal soccer club 2012 boys white,Desert SC 2012 Boys Blue,AZ Arsenal Soccer Club 2012 Boys White,5,5,League Play,2024-10-26,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,queen creek soccer club 2012 boys white,Desert SC 2012 Boys Blue,Queen Creek Soccer Club 2012 Boys White,2,3,League Play,2025-01-23,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,apache junction soccer club 2012 boys gold,Desert SC 2012 Boys Blue,Apache Junction Soccer Club 2012 Boys Gold,0,1,League Play,2024-11-15,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,desert sc 2012 boys black,Desert SC 2012 Boys Blue,Desert SC 2012 Boys Black,2,4,League Play,2025-03-14,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,queen creek soccer club 2012 boys white,Desert SC 2012 Boys Blue,Queen Creek Soccer Club 2012 Boys White,4,5,League Play,2025-06-23,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,rsl-az west valley 2012 boys gold,Desert SC 2012 Boys Blue,RSL-AZ West Valley 2012 Boys Gold,1,3,League Play,2025-06-27,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,desert sc 2012 boys gold,Desert SC 2012 Boys Blue,Desert SC 2012 Boys Gold,2,3,League Play,2024-10-17,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
desert sc 2012 boys blue,apache junction soccer club 2012 boys blue,Desert SC 2012 Boys Blue,Apache Junction Soccer Club 2012 Boys Blue,2,0,League Play,2025-01-07,az_boys_u14,https://rankings.gotsport.com/teams/u14_2
casa grande soccer club 2012 boys blue,rsl-az south 2012 boys white,Casa Grande Soccer Club 2012 Boys Blue,RSL-AZ South 2012 Boys White,2,3,League Play,2025-08-13,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,phoenix premier fc 2012 boys red,Casa Grande Soccer Club 2012 Boys Blue,Phoenix Premier FC 2012 Boys Red,4,3,League Play,2025-03-21,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,mesa soccer club 2012 boys red,Casa Grande Soccer Club 2012 Boys Blue,Mesa Soccer Club 2012 Boys Red,1,0,League Play,2025-08-09,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,queen creek soccer club 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Queen Creek Soccer Club 2012 Boys Black,2,2,League Play,2025-07-17,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,tempe soccer club 2012 boys blue,Casa Grande Soccer Club 2012 Boys Blue,Tempe Soccer Club 2012 Boys Blue,0,4,League Play,2025-03-27,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,gilbert soccer club 2012 boys white,Casa Grande Soccer Club 2012 Boys Blue,Gilbert Soccer Club 2012 Boys White,2,3,League Play,2024-11-08,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,queen creek soccer club 2012 boys white,Casa Grande Soccer Club 2012 Boys Blue,Queen Creek Soccer Club 2012 Boys White,5,5,League Play,2024-12-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,desert sc 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Desert SC 2012 Boys Black,1,2,League Play,2025-09-12,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,az arsenal soccer club 2012 boys red,Casa Grande Soccer Club 2012 Boys Blue,AZ Arsenal Soccer Club 2012 Boys Red,4,2,League Play,2025-08-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,apache junction soccer club 2012 boys gold,Casa Grande Soccer Club 2012 Boys Blue,Apache Junction Soccer Club 2012 Boys Gold,3,2,League Play,2025-04-26,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,buckeye soccer club 2012 boys blue,Casa Grande Soccer Club 2012 Boys Blue,Buckeye Soccer Club 2012 Boys Blue,3,1,League Play,2025-04-22,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,queen creek soccer club 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Queen Creek Soccer Club 2012 Boys Black,0,3,League Play,2025-06-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,chandler soccer club 2012 boys white,Casa Grande Soccer Club 2012 Boys Blue,Chandler Soccer Club 2012 Boys White,5,5,League Play,2024-12-31,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,az soccer club 2012 boys gold,Casa Grande Soccer Club 2012 Boys Blue,AZ Soccer Club 2012 Boys Gold,4,3,League Play,2025-10-01,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,mesa soccer club 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Mesa Soccer Club 2012 Boys Black,1,4,League Play,2025-06-07,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,paradise valley soccer club 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Paradise Valley Soccer Club 2012 Boys Black,1,3,League Play,2025-08-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,apache junction soccer club 2012 boys gold,Casa Grande Soccer Club 2012 Boys Blue,Apache Junction Soccer Club 2012 Boys Gold,2,3,League Play,2024-11-23,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,mesa soccer club 2012 boys white,Casa Grande Soccer Club 2012 Boys Blue,Mesa Soccer Club 2012 Boys White,2,1,League Play,2025-05-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,mesa soccer club 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Mesa Soccer Club 2012 Boys Black,2,5,League Play,2024-10-30,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,chandler soccer club 2012 boys gold,Casa Grande Soccer Club 2012 Boys Blue,Chandler Soccer Club 2012 Boys Gold,2,2,League Play,2025-04-15,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,phoenix premier fc 2012 boys gold,Casa Grande Soccer Club 2012 Boys Blue,Phoenix Premier FC 2012 Boys Gold,2,4,League Play,2025-01-11,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,az arsenal soccer club 2012 boys white,Casa Grande Soccer Club 2012 Boys Blue,AZ Arsenal Soccer Club 2012 Boys White,0,5,League Play,2024-11-14,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,goodyear soccer club 2012 boys blue,Casa Grande Soccer Club 2012 Boys Blue,Goodyear Soccer Club 2012 Boys Blue,0,2,League Play,2025-04-29,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,chandler soccer club 2012 boys white,Casa Grande Soccer Club 2012 Boys Blue,Chandler Soccer Club 2012 Boys White,0,5,League Play,2025-05-04,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,queen creek soccer club 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Queen Creek Soccer Club 2012 Boys Black,5,4,League Play,2025-06-22,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,mesa soccer club 2012 boys red,Casa Grande Soccer Club 2012 Boys Blue,Mesa Soccer Club 2012 Boys Red,4,5,League Play,2024-10-18,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,apache junction soccer club 2012 boys blue,Casa Grande Soccer Club 2012 Boys Blue,Apache Junction Soccer Club 2012 Boys Blue,0,5,League Play,2025-06-03,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,desert sc 2012 boys gold,Casa Grande Soccer Club 2012 Boys Blue,Desert SC 2012 Boys Gold,5,3,League Play,2025-05-08,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,paradise valley soccer club 2012 boys black,Casa Grande Soccer Club 2012 Boys Blue,Paradise Valley Soccer Club 2012 Boys Black,0,2,League Play,2025-04-15,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 boys blue,casa grande soccer club 2012 boys gold,Casa Grande Soccer Club 2012 Boys Blue,Casa Grande Soccer Club 2012 Boys Gold,0,1,League Play,2025-09-23,az_boys_u14,https://rankings.gotsport.com/teams/u14_3
cave creek soccer club 2012 boys black,apache junction soccer club 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Apache Junction Soccer Club 2012 Boys Gold,1,0,League Play,2025-08-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,queen creek soccer club 2012 boys black,Cave Creek Soccer Club 2012 Boys Black,Queen Creek Soccer Club 2012 Boys Black,4,2,League Play,2025-07-06,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,tempe soccer club 2012 boys blue,Cave Creek Soccer Club 2012 Boys Black,Tempe Soccer Club 2012 Boys Blue,4,1,League Play,2025-04-19,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,paradise valley soccer club 2012 boys black,Cave Creek Soccer Club 2012 Boys Black,Paradise Valley Soccer Club 2012 Boys Black,4,0,League Play,2025-02-04,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,mesa soccer club 2012 boys red,Cave Creek Soccer Club 2012 Boys Black,Mesa Soccer Club 2012 Boys Red,1,0,League Play,2025-03-10,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,maricopa soccer club 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Maricopa Soccer Club 2012 Boys Gold,5,0,League Play,2024-10-11,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,phoenix premier fc 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Phoenix Premier FC 2012 Boys Gold,4,5,League Play,2024-10-13,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,fc elite arizona 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,FC Elite Arizona 2012 Boys Gold,4,2,League Play,2025-07-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,apache junction soccer club 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Apache Junction Soccer Club 2012 Boys Gold,5,2,League Play,2024-12-05,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,rsl-az yuma 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,RSL-AZ Yuma 2012 Boys Gold,5,1,League Play,2025-01-24,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,chandler soccer club 2012 boys white,Cave Creek Soccer Club 2012 Boys Black,Chandler Soccer Club 2012 Boys White,4,1,League Play,2025-05-25,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,mesa soccer club 2012 boys black,Cave Creek Soccer Club 2012 Boys Black,Mesa Soccer Club 2012 Boys Black,1,2,League Play,2025-05-09,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,rsl-az north 2012 boys red,Cave Creek Soccer Club 2012 Boys Black,RSL-AZ North 2012 Boys Red,2,4,League Play,2025-09-10,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,avondale soccer club 2012 boys black,Cave Creek Soccer Club 2012 Boys Black,Avondale Soccer Club 2012 Boys Black,0,5,League Play,2025-09-18,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,apache junction soccer club 2012 boys blue,Cave Creek Soccer Club 2012 Boys Black,Apache Junction Soccer Club 2012 Boys Blue,1,1,League Play,2025-04-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,phoenix rising fc 2012 boys blue,Cave Creek Soccer Club 2012 Boys Black,Phoenix Rising FC 2012 Boys Blue,3,2,League Play,2025-04-04,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,rsl-az yuma 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,RSL-AZ Yuma 2012 Boys Gold,0,4,League Play,2024-10-12,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,peoria soccer club 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Peoria Soccer Club 2012 Boys Gold,0,0,League Play,2024-12-21,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,valley united fc 2012 boys black,Cave Creek Soccer Club 2012 Boys Black,Valley United FC 2012 Boys Black,3,4,League Play,2025-04-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,az soccer club 2012 boys red,Cave Creek Soccer Club 2012 Boys Black,AZ Soccer Club 2012 Boys Red,3,3,League Play,2025-09-11,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,desert sc 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Desert SC 2012 Boys Gold,2,3,League Play,2025-03-02,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,chandler soccer club 2012 boys white,Cave Creek Soccer Club 2012 Boys Black,Chandler Soccer Club 2012 Boys White,5,0,League Play,2025-01-29,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,mesa soccer club 2012 boys red,Cave Creek Soccer Club 2012 Boys Black,Mesa Soccer Club 2012 Boys Red,1,5,League Play,2025-01-19,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,az arsenal soccer club 2012 boys blue,Cave Creek Soccer Club 2012 Boys Black,AZ Arsenal Soccer Club 2012 Boys Blue,3,2,League Play,2025-06-09,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,cave creek soccer club 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Cave Creek Soccer Club 2012 Boys Gold,5,1,League Play,2025-02-21,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,desert sc 2012 boys gold,Cave Creek Soccer Club 2012 Boys Black,Desert SC 2012 Boys Gold,4,1,League Play,2025-07-30,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,casa grande soccer club 2012 boys red,Cave Creek Soccer Club 2012 Boys Black,Casa Grande Soccer Club 2012 Boys Red,5,1,League Play,2024-12-14,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,paradise valley soccer club 2012 boys blue,Cave Creek Soccer Club 2012 Boys Black,Paradise Valley Soccer Club 2012 Boys Blue,3,3,League Play,2025-08-19,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 boys black,mesa soccer club 2012 boys black,Cave Creek Soccer Club 2012 Boys Black,Mesa Soccer Club 2012 Boys Black,1,5,League Play,2025-09-04,az_boys_u14,https://rankings.gotsport.com/teams/u14_4
