Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
az arsenal soccer club 2016 boys gold,avondale soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Avondale Soccer Club 2016 Boys White,1,4,League Play,2025-03-31,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,fc elite arizona 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,FC Elite Arizona 2016 Boys Blue,2,3,League Play,2025-03-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,gilbert soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Gilbert Soccer Club 2016 Boys White,0,4,League Play,2025-01-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,paradise valley soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Paradise Valley Soccer Club 2016 Boys Blue,4,0,League Play,2025-09-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,valley united fc 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,Valley United FC 2016 Boys Black,2,3,League Play,2025-04-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,az arsenal soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,AZ Arsenal Soccer Club 2016 Boys Blue,4,0,League Play,2025-02-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,rsl-az yuma 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ Yuma 2016 Boys Gold,2,3,League Play,2025-06-15,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 boys gold,phoenix premier fc 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Phoenix Premier FC 2016 Boys Gold,4,0,League Play,2025-09-21,az_boys_u10,https://rankings.gotsport.com/teams/u10_1
scottsdale soccer club 2016 boys black,az soccer club 2016 boys gold,Scottsdale Soccer Club 2016 Boys Black,AZ Soccer Club 2016 Boys Gold,1,1,League Play,2025-02-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,fc elite arizona 2016 boys black,Scottsdale Soccer Club 2016 Boys Black,FC Elite Arizona 2016 Boys Black,1,1,League Play,2025-08-04,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,az arsenal soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,AZ Arsenal Soccer Club 2016 Boys Blue,2,1,League Play,2025-04-07,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,az arsenal soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,AZ Arsenal Soccer Club 2016 Boys Blue,4,3,League Play,2025-06-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,chandler soccer club 2016 boys gold,Scottsdale Soccer Club 2016 Boys Black,Chandler Soccer Club 2016 Boys Gold,0,4,League Play,2025-05-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Queen Creek Soccer Club 2016 Boys Blue,1,1,League Play,2025-03-15,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,cave creek soccer club 2016 boys white,Scottsdale Soccer Club 2016 Boys Black,Cave Creek Soccer Club 2016 Boys White,0,2,League Play,2025-01-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,phoenix rising fc 2016 boys gold,Scottsdale Soccer Club 2016 Boys Black,Phoenix Rising FC 2016 Boys Gold,0,1,League Play,2025-04-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,fountain hills soccer club 2016 boys white,Scottsdale Soccer Club 2016 Boys Black,Fountain Hills Soccer Club 2016 Boys White,1,2,League Play,2025-04-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,rsl-az west valley 2016 boys black,Scottsdale Soccer Club 2016 Boys Black,RSL-AZ West Valley 2016 Boys Black,0,0,League Play,2025-08-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,goodyear soccer club 2016 boys black,Scottsdale Soccer Club 2016 Boys Black,Goodyear Soccer Club 2016 Boys Black,2,3,League Play,2025-08-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,peoria soccer club 2016 boys gold,Scottsdale Soccer Club 2016 Boys Black,Peoria Soccer Club 2016 Boys Gold,3,4,League Play,2025-07-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Queen Creek Soccer Club 2016 Boys Blue,1,3,League Play,2025-01-25,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,maricopa soccer club 2016 boys white,Scottsdale Soccer Club 2016 Boys Black,Maricopa Soccer Club 2016 Boys White,2,1,League Play,2025-09-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,rsl-az yuma 2016 boys gold,Scottsdale Soccer Club 2016 Boys Black,RSL-AZ Yuma 2016 Boys Gold,3,4,League Play,2025-10-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,fc tucson youth soccer 2016 boys gold,Scottsdale Soccer Club 2016 Boys Black,FC Tucson Youth Soccer 2016 Boys Gold,4,0,League Play,2025-04-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,scottsdale soccer club 2016 boys gold,Scottsdale Soccer Club 2016 Boys Black,Scottsdale Soccer Club 2016 Boys Gold,1,2,League Play,2025-08-31,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,fountain hills soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Fountain Hills Soccer Club 2016 Boys Blue,2,1,League Play,2025-08-21,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,mesa soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Mesa Soccer Club 2016 Boys Blue,4,0,League Play,2025-04-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Queen Creek Soccer Club 2016 Boys Blue,3,2,League Play,2025-02-21,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,chandler soccer club 2016 boys red,Scottsdale Soccer Club 2016 Boys Black,Chandler Soccer Club 2016 Boys Red,2,4,League Play,2025-05-31,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,chandler soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Chandler Soccer Club 2016 Boys Blue,1,4,League Play,2025-04-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,fountain hills soccer club 2016 boys white,Scottsdale Soccer Club 2016 Boys Black,Fountain Hills Soccer Club 2016 Boys White,0,0,League Play,2025-03-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Queen Creek Soccer Club 2016 Boys Blue,2,0,League Play,2025-03-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 boys black,surprise soccer club 2016 boys blue,Scottsdale Soccer Club 2016 Boys Black,Surprise Soccer Club 2016 Boys Blue,2,1,League Play,2025-01-04,az_boys_u10,https://rankings.gotsport.com/teams/u10_2
valley united fc 2016 boys black,queen creek soccer club 2016 boys gold,Valley United FC 2016 Boys Black,Queen Creek Soccer Club 2016 Boys Gold,2,1,League Play,2025-02-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,glendale soccer club 2016 boys white,Valley United FC 2016 Boys Black,Glendale Soccer Club 2016 Boys White,2,4,League Play,2025-05-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,scottsdale soccer club 2016 boys white,Valley United FC 2016 Boys Black,Scottsdale Soccer Club 2016 Boys White,1,4,League Play,2025-04-05,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,chandler soccer club 2016 boys blue,Valley United FC 2016 Boys Black,Chandler Soccer Club 2016 Boys Blue,3,3,League Play,2025-04-29,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,cave creek soccer club 2016 boys white,Valley United FC 2016 Boys Black,Cave Creek Soccer Club 2016 Boys White,3,4,League Play,2025-03-05,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,fountain hills soccer club 2016 boys blue,Valley United FC 2016 Boys Black,Fountain Hills Soccer Club 2016 Boys Blue,3,0,League Play,2025-08-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,gilbert soccer club 2016 boys blue,Valley United FC 2016 Boys Black,Gilbert Soccer Club 2016 Boys Blue,2,4,League Play,2025-06-24,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,rsl-az west valley 2016 boys gold,Valley United FC 2016 Boys Black,RSL-AZ West Valley 2016 Boys Gold,2,1,League Play,2025-05-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,maricopa soccer club 2016 boys red,Valley United FC 2016 Boys Black,Maricopa Soccer Club 2016 Boys Red,1,4,League Play,2025-02-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,peoria soccer club 2016 boys white,Valley United FC 2016 Boys Black,Peoria Soccer Club 2016 Boys White,2,4,League Play,2025-04-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,phoenix rising fc 2016 boys red,Valley United FC 2016 Boys Black,Phoenix Rising FC 2016 Boys Red,2,0,League Play,2025-04-13,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,az arsenal soccer club 2016 boys gold,Valley United FC 2016 Boys Black,AZ Arsenal Soccer Club 2016 Boys Gold,0,0,League Play,2025-02-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,casa grande soccer club 2016 boys black,Valley United FC 2016 Boys Black,Casa Grande Soccer Club 2016 Boys Black,1,4,League Play,2025-04-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,maricopa soccer club 2016 boys gold,Valley United FC 2016 Boys Black,Maricopa Soccer Club 2016 Boys Gold,2,0,League Play,2025-07-11,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,chandler soccer club 2016 boys red,Valley United FC 2016 Boys Black,Chandler Soccer Club 2016 Boys Red,2,0,League Play,2025-06-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,peoria soccer club 2016 boys black,Valley United FC 2016 Boys Black,Peoria Soccer Club 2016 Boys Black,2,1,League Play,2025-03-27,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,goodyear soccer club 2016 boys black,Valley United FC 2016 Boys Black,Goodyear Soccer Club 2016 Boys Black,1,2,League Play,2025-05-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,maricopa soccer club 2016 boys gold,Valley United FC 2016 Boys Black,Maricopa Soccer Club 2016 Boys Gold,3,3,League Play,2025-03-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,phoenix premier fc 2016 boys red,Valley United FC 2016 Boys Black,Phoenix Premier FC 2016 Boys Red,3,4,League Play,2025-08-15,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,rsl-az north 2016 boys black,Valley United FC 2016 Boys Black,RSL-AZ North 2016 Boys Black,0,2,League Play,2025-03-07,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,buckeye soccer club 2016 boys blue,Valley United FC 2016 Boys Black,Buckeye Soccer Club 2016 Boys Blue,3,4,League Play,2025-05-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,avondale soccer club 2016 boys white,Valley United FC 2016 Boys Black,Avondale Soccer Club 2016 Boys White,2,3,League Play,2025-07-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,apache junction soccer club 2016 boys red,Valley United FC 2016 Boys Black,Apache Junction Soccer Club 2016 Boys Red,0,4,League Play,2025-04-22,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,rsl-az north 2016 boys black,Valley United FC 2016 Boys Black,RSL-AZ North 2016 Boys Black,4,3,League Play,2025-08-25,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
valley united fc 2016 boys black,fc elite arizona 2016 boys blue,Valley United FC 2016 Boys Black,FC Elite Arizona 2016 Boys Blue,4,4,League Play,2024-12-22,az_boys_u10,https://rankings.gotsport.com/teams/u10_3
rsl-az yuma 2016 boys gold,casa grande soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,Casa Grande Soccer Club 2016 Boys Gold,4,1,League Play,2025-06-25,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,paradise valley soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,Paradise Valley Soccer Club 2016 Boys Gold,2,0,League Play,2025-07-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,fountain hills soccer club 2016 boys blue,RSL-AZ Yuma 2016 Boys Gold,Fountain Hills Soccer Club 2016 Boys Blue,4,3,League Play,2025-01-22,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,tempe soccer club 2016 boys white,RSL-AZ Yuma 2016 Boys Gold,Tempe Soccer Club 2016 Boys White,0,1,League Play,2025-05-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,maricopa soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,Maricopa Soccer Club 2016 Boys Gold,1,1,League Play,2025-01-04,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,rsl-az north 2016 boys black,RSL-AZ Yuma 2016 Boys Gold,RSL-AZ North 2016 Boys Black,2,3,League Play,2025-03-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,goodyear soccer club 2016 boys black,RSL-AZ Yuma 2016 Boys Gold,Goodyear Soccer Club 2016 Boys Black,0,2,League Play,2025-09-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,queen creek soccer club 2016 boys white,RSL-AZ Yuma 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys White,1,3,League Play,2025-07-16,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,buckeye soccer club 2016 boys black,RSL-AZ Yuma 2016 Boys Gold,Buckeye Soccer Club 2016 Boys Black,2,3,League Play,2025-08-11,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,az soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,AZ Soccer Club 2016 Boys Gold,2,1,League Play,2025-07-24,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,maricopa soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,Maricopa Soccer Club 2016 Boys Gold,3,2,League Play,2025-09-05,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,glendale soccer club 2016 boys white,RSL-AZ Yuma 2016 Boys Gold,Glendale Soccer Club 2016 Boys White,0,1,League Play,2025-04-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,glendale soccer club 2016 boys black,RSL-AZ Yuma 2016 Boys Gold,Glendale Soccer Club 2016 Boys Black,4,1,League Play,2025-08-29,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,buckeye soccer club 2016 boys black,RSL-AZ Yuma 2016 Boys Gold,Buckeye Soccer Club 2016 Boys Black,1,3,League Play,2025-06-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,glendale soccer club 2016 boys blue,RSL-AZ Yuma 2016 Boys Gold,Glendale Soccer Club 2016 Boys Blue,4,0,League Play,2025-05-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,peoria soccer club 2016 boys white,RSL-AZ Yuma 2016 Boys Gold,Peoria Soccer Club 2016 Boys White,3,4,League Play,2025-04-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,az soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,AZ Soccer Club 2016 Boys Gold,0,0,League Play,2025-08-22,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,buckeye soccer club 2016 boys blue,RSL-AZ Yuma 2016 Boys Gold,Buckeye Soccer Club 2016 Boys Blue,3,4,League Play,2025-04-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,paradise valley soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,Paradise Valley Soccer Club 2016 Boys Gold,3,1,League Play,2025-02-04,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,fountain hills soccer club 2016 boys white,RSL-AZ Yuma 2016 Boys Gold,Fountain Hills Soccer Club 2016 Boys White,4,1,League Play,2025-01-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,chandler soccer club 2016 boys blue,RSL-AZ Yuma 2016 Boys Gold,Chandler Soccer Club 2016 Boys Blue,3,2,League Play,2025-08-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,desert sc 2016 boys blue,RSL-AZ Yuma 2016 Boys Gold,Desert SC 2016 Boys Blue,0,1,League Play,2025-06-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,maricopa soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,Maricopa Soccer Club 2016 Boys Gold,0,4,League Play,2025-09-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,az arsenal soccer club 2016 boys gold,RSL-AZ Yuma 2016 Boys Gold,AZ Arsenal Soccer Club 2016 Boys Gold,0,1,League Play,2025-03-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 boys gold,surprise soccer club 2016 boys red,RSL-AZ Yuma 2016 Boys Gold,Surprise Soccer Club 2016 Boys Red,0,1,League Play,2025-03-16,az_boys_u10,https://rankings.gotsport.com/teams/u10_4
casa grande soccer club 2016 boys black,maricopa soccer club 2016 boys gold,Casa Grande Soccer Club 2016 Boys Black,Maricopa Soccer Club 2016 Boys Gold,1,1,League Play,2025-06-12,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,queen creek soccer club 2016 boys blue,Casa Grande Soccer Club 2016 Boys Black,Queen Creek Soccer Club 2016 Boys Blue,2,3,League Play,2025-03-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,buckeye soccer club 2016 boys black,Casa Grande Soccer Club 2016 Boys Black,Buckeye Soccer Club 2016 Boys Black,0,0,League Play,2025-06-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,desert sc 2016 boys white,Casa Grande Soccer Club 2016 Boys Black,Desert SC 2016 Boys White,1,1,League Play,2025-03-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,fc tucson youth soccer 2016 boys gold,Casa Grande Soccer Club 2016 Boys Black,FC Tucson Youth Soccer 2016 Boys Gold,2,2,League Play,2025-02-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,queen creek soccer club 2016 boys gold,Casa Grande Soccer Club 2016 Boys Black,Queen Creek Soccer Club 2016 Boys Gold,3,3,League Play,2025-01-07,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,casa grande soccer club 2016 boys white,Casa Grande Soccer Club 2016 Boys Black,Casa Grande Soccer Club 2016 Boys White,4,1,League Play,2025-04-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,maricopa soccer club 2016 boys gold,Casa Grande Soccer Club 2016 Boys Black,Maricopa Soccer Club 2016 Boys Gold,0,0,League Play,2025-03-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,apache junction soccer club 2016 boys red,Casa Grande Soccer Club 2016 Boys Black,Apache Junction Soccer Club 2016 Boys Red,0,0,League Play,2025-03-21,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,goodyear soccer club 2016 boys black,Casa Grande Soccer Club 2016 Boys Black,Goodyear Soccer Club 2016 Boys Black,4,0,League Play,2025-01-10,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,az soccer club 2016 boys red,Casa Grande Soccer Club 2016 Boys Black,AZ Soccer Club 2016 Boys Red,3,1,League Play,2025-06-22,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,buckeye soccer club 2016 boys blue,Casa Grande Soccer Club 2016 Boys Black,Buckeye Soccer Club 2016 Boys Blue,4,2,League Play,2025-03-16,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,chandler soccer club 2016 boys gold,Casa Grande Soccer Club 2016 Boys Black,Chandler Soccer Club 2016 Boys Gold,1,4,League Play,2025-01-27,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,rsl-az yuma 2016 boys red,Casa Grande Soccer Club 2016 Boys Black,RSL-AZ Yuma 2016 Boys Red,2,1,League Play,2025-02-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,valley united fc 2016 boys white,Casa Grande Soccer Club 2016 Boys Black,Valley United FC 2016 Boys White,1,3,League Play,2025-02-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 boys black,avondale soccer club 2016 boys white,Casa Grande Soccer Club 2016 Boys Black,Avondale Soccer Club 2016 Boys White,2,1,League Play,2025-08-13,az_boys_u10,https://rankings.gotsport.com/teams/u10_5
