Team A,Team B,Score A,Score B,Date,Competition,SourceURL
casa grande soccer club 2012 blue,queen creek soccer club 2012 white,5,5,2024-12-28,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,desert 2012 black,1,2,2025-09-12,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,az arsenal soccer club 2012 red,4,2,2025-08-28,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,apache junction soccer club 2012 gold,3,2,2025-04-26,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,buckeye soccer club 2012 blue,3,1,2025-04-22,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,queen creek soccer club 2012 black,0,3,2025-06-28,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,chandler soccer club 2012 white,5,5,2024-12-31,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,az soccer club 2012 gold,4,3,2025-10-01,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,mesa soccer club 2012 black,1,4,2025-06-07,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,paradise valley soccer club 2012 black,1,3,2025-08-20,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,apache junction soccer club 2012 gold,2,3,2024-11-23,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,mesa soccer club 2012 white,2,1,2025-05-20,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,mesa soccer club 2012 black,2,5,2024-10-30,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,chandler soccer club 2012 gold,2,2,2025-04-15,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,phoenix premier 2012 gold,2,4,2025-01-11,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,az arsenal soccer club 2012 white,0,5,2024-11-14,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,goodyear soccer club 2012 blue,0,2,2025-04-29,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,chandler soccer club 2012 white,0,5,2025-05-04,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,queen creek soccer club 2012 black,5,4,2025-06-22,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,mesa soccer club 2012 red,4,5,2024-10-18,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,apache junction soccer club 2012 blue,0,5,2025-06-03,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,desert 2012 gold,5,3,2025-05-08,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,paradise valley soccer club 2012 black,0,2,2025-04-15,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,casa grande soccer club 2012 gold,0,1,2025-09-23,League Play,https://rankings.gotsport.com/teams/u14_3
cave creek soccer club 2012 black,apache junction soccer club 2012 gold,1,0,2025-08-28,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,queen creek soccer club 2012 black,4,2,2025-07-06,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,tempe soccer club 2012 blue,4,1,2025-04-19,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,paradise valley soccer club 2012 black,4,0,2025-02-04,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,mesa soccer club 2012 red,1,0,2025-03-10,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,maricopa soccer club 2012 gold,5,0,2024-10-11,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,phoenix premier 2012 gold,4,5,2024-10-13,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,elite arizona 2012 gold,4,2,2025-07-20,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,apache junction soccer club 2012 gold,5,2,2024-12-05,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,rsl-az yuma 2012 gold,5,1,2025-01-24,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,chandler soccer club 2012 white,4,1,2025-05-25,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,mesa soccer club 2012 black,1,2,2025-05-09,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,rsl-az north 2012 red,2,4,2025-09-10,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,avondale soccer club 2012 black,0,5,2025-09-18,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,apache junction soccer club 2012 blue,1,1,2025-04-20,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,phoenix rising 2012 blue,3,2,2025-04-04,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,rsl-az yuma 2012 gold,0,4,2024-10-12,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,peoria soccer club 2012 gold,0,0,2024-12-21,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,valley united 2012 black,3,4,2025-04-20,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,az soccer club 2012 red,3,3,2025-09-11,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,desert 2012 gold,2,3,2025-03-02,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,chandler soccer club 2012 white,5,0,2025-01-29,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,mesa soccer club 2012 red,1,5,2025-01-19,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,az arsenal soccer club 2012 blue,3,2,2025-06-09,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,cave creek soccer club 2012 gold,5,1,2025-02-21,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,desert 2012 gold,4,1,2025-07-30,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,casa grande soccer club 2012 red,5,1,2024-12-14,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,paradise valley soccer club 2012 blue,3,3,2025-08-19,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,mesa soccer club 2012 black,1,5,2025-09-04,League Play,https://rankings.gotsport.com/teams/u14_4
cave creek soccer club 2012 black,chandler soccer club 2012 gold,1,2,2024-12-10,League Play,https://rankings.gotsport.com/teams/u14_4
az arsenal soccer club 2012 blue,casa grande soccer club 2012 gold,1,0,2025-09-13,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,queen creek soccer club 2012 gold,1,4,2025-06-22,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,casa grande soccer club 2012 blue,5,3,2024-11-01,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,phoenix premier 2012 red,4,5,2025-08-22,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,casa grande soccer club 2012 blue,0,3,2024-11-16,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,phoenix premier 2012 red,2,1,2025-10-02,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,mesa soccer club 2012 white,2,4,2024-11-29,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,scottsdale soccer club 2012 black,5,0,2025-09-19,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,tucson youth soccer 2012 blue,5,1,2025-06-21,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,peoria soccer club 2012 gold,2,1,2025-08-18,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,desert 2012 black,4,3,2024-11-20,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,az arsenal soccer club 2012 red,4,3,2024-11-17,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,scottsdale soccer club 2012 black,3,2,2025-02-14,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,peoria soccer club 2012 gold,0,4,2025-08-19,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,rsl-az west valley 2012 gold,2,0,2024-11-23,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,paradise valley soccer club 2012 black,1,5,2025-05-23,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,cave creek soccer club 2012 gold,3,2,2025-07-07,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,chandler soccer club 2012 red,0,5,2025-06-28,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,chandler soccer club 2012 white,0,1,2025-02-05,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,gilbert soccer club 2012 blue,0,1,2024-10-15,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,mesa soccer club 2012 white,2,0,2025-08-08,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,desert 2012 gold,4,3,2025-03-13,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,rsl-az south 2012 blue,3,0,2024-12-15,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,scottsdale soccer club 2012 black,5,3,2025-07-23,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,desert 2012 gold,5,3,2024-12-12,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,desert 2012 gold,1,0,2025-01-03,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,glendale soccer club 2012 blue,5,4,2025-09-30,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,desert 2012 black,3,5,2025-08-03,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,az arsenal soccer club 2012 white,2,4,2025-06-04,League Play,https://rankings.gotsport.com/teams/u14_5
az arsenal soccer club 2012 blue,phoenix premier 2012 red,3,5,2025-03-06,League Play,https://rankings.gotsport.com/teams/u14_5
valley united 2012 black,gilbert soccer club 2012 blue,5,1,2025-08-19,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,glendale soccer club 2012 red,1,3,2025-03-24,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,gilbert soccer club 2012 blue,5,4,2024-10-26,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,elite arizona 2012 gold,5,1,2025-07-08,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,chandler soccer club 2012 red,4,1,2024-12-29,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,rsl-az yuma 2012 gold,5,3,2025-01-23,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,phoenix rising 2012 blue,5,2,2025-09-03,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,elite arizona 2012 gold,5,3,2025-08-12,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,gilbert soccer club 2012 white,5,1,2025-09-07,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,surprise soccer club 2012 gold,4,0,2025-03-30,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,queen creek soccer club 2012 white,2,2,2025-02-20,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,casa grande soccer club 2012 blue,4,2,2024-12-29,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,mesa soccer club 2012 red,5,3,2024-10-30,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,cave creek soccer club 2012 black,4,0,2025-03-16,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,peoria soccer club 2012 gold,4,2,2025-03-14,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,tempe soccer club 2012 blue,3,1,2025-01-05,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,maricopa soccer club 2012 red,5,4,2024-11-15,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,fountain hills soccer club 2012 black,0,0,2024-11-14,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,rsl-az south 2012 blue,2,0,2025-07-24,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,chandler soccer club 2012 gold,1,4,2025-07-04,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,mesa soccer club 2012 white,4,3,2025-08-15,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,casa grande soccer club 2012 blue,0,2,2025-04-18,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,apache junction soccer club 2012 blue,0,5,2025-05-12,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,mesa soccer club 2012 red,5,5,2025-06-15,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,az arsenal soccer club 2012 red,4,5,2025-09-02,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,maricopa soccer club 2012 red,5,1,2024-11-19,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,desert 2012 red,2,4,2025-06-29,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,rsl-az west valley 2012 gold,3,2,2025-07-30,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,apache junction soccer club 2012 blue,1,1,2024-12-13,League Play,https://rankings.gotsport.com/teams/u14_6
valley united 2012 black,phoenix premier 2012 red,4,5,2025-05-31,League Play,https://rankings.gotsport.com/teams/u14_6
rsl-az north 2012 red,scottsdale soccer club 2012 black,0,2,2025-06-18,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,mesa soccer club 2012 white,2,0,2025-05-14,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,casa grande soccer club 2012 blue,1,3,2025-02-20,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,az arsenal soccer club 2012 red,0,5,2024-11-16,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,mesa soccer club 2012 white,3,5,2025-02-25,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,rsl-az south 2012 white,3,2,2025-06-13,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,phoenix premier 2012 gold,3,2,2025-09-16,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,apache junction soccer club 2012 gold,4,5,2025-08-31,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,phoenix premier 2012 red,3,4,2025-06-16,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,cave creek soccer club 2012 black,2,2,2024-11-09,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,phoenix rising 2012 blue,3,4,2024-12-11,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,scottsdale soccer club 2012 black,5,4,2025-01-31,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,paradise valley soccer club 2012 black,2,0,2024-11-09,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,fountain hills soccer club 2012 black,2,2,2025-01-11,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,casa grande soccer club 2012 gold,5,4,2025-07-02,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,mesa soccer club 2012 white,5,0,2025-07-13,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,chandler soccer club 2012 white,2,2,2025-08-28,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,rsl-az south 2012 blue,3,1,2025-06-30,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,queen creek soccer club 2012 black,0,1,2025-01-26,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,desert 2012 red,3,2,2025-07-23,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,cave creek soccer club 2012 black,4,1,2025-03-21,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,valley united 2012 black,2,1,2025-04-13,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,surprise soccer club 2012 gold,5,2,2025-07-03,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,desert 2012 red,5,4,2024-12-28,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,cave creek soccer club 2012 gold,2,1,2025-08-06,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,mesa soccer club 2012 gold,2,0,2025-07-29,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,tempe soccer club 2012 blue,3,1,2025-06-15,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,paradise valley soccer club 2012 blue,4,5,2024-11-17,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,buckeye soccer club 2012 blue,4,2,2025-09-01,League Play,https://rankings.gotsport.com/teams/u14_7
rsl-az north 2012 red,tempe soccer club 2012 blue,3,2,2025-03-18,League Play,https://rankings.gotsport.com/teams/u14_7
gilbert soccer club 2012 white,phoenix rising 2012 black,4,4,2025-04-22,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,cave creek soccer club 2012 black,4,5,2025-01-14,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,mesa soccer club 2012 red,5,5,2025-09-26,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,goodyear soccer club 2012 gold,2,1,2025-07-03,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,rsl-az north 2012 red,0,3,2025-08-28,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,phoenix premier 2012 gold,3,2,2024-10-28,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,queen creek soccer club 2012 black,4,4,2025-09-11,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,mesa soccer club 2012 red,5,0,2025-04-28,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,chandler soccer club 2012 white,5,4,2025-05-15,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,casa grande soccer club 2012 blue,5,0,2025-01-17,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,az soccer club 2012 blue,2,1,2025-02-28,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,elite arizona 2012 gold,3,2,2025-03-02,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,tempe soccer club 2012 blue,0,1,2024-12-10,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,phoenix rising 2012 blue,3,1,2025-01-13,League Play,https://rankings.gotsport.com/teams/u14_8
gilbert soccer club 2012 white,az soccer club 2012 red,1,4,2025-05-17,League Play,https://rankings.gotsport.com/teams/u14_8
