Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
fountain hills soccer club 2013 boys blue,fc tucson youth soccer 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys White,5,4,League Play,2024-10-28,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,buckeye soccer club 2013 boys blue,Fountain Hills Soccer Club 2013 Boys Blue,Buckeye Soccer Club 2013 Boys Blue,5,2,League Play,2025-07-22,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,glendale soccer club 2013 boys blue,Fountain Hills Soccer Club 2013 Boys Blue,Glendale Soccer Club 2013 Boys Blue,3,5,League Play,2025-09-06,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,apache junction soccer club 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,Apache Junction Soccer Club 2013 Boys White,1,0,League Play,2025-10-07,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,cave creek soccer club 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,Cave Creek Soccer Club 2013 Boys White,4,0,League Play,2025-05-19,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,scottsdale soccer club 2013 boys blue,Fountain Hills Soccer Club 2013 Boys Blue,Scottsdale Soccer Club 2013 Boys Blue,4,4,League Play,2025-04-03,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,scottsdale soccer club 2013 boys blue,Fountain Hills Soccer Club 2013 Boys Blue,Scottsdale Soccer Club 2013 Boys Blue,5,0,League Play,2025-09-11,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,goodyear soccer club 2013 boys blue,Fountain Hills Soccer Club 2013 Boys Blue,Goodyear Soccer Club 2013 Boys Blue,2,5,League Play,2025-05-30,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,rsl-az north 2013 boys red,Fountain Hills Soccer Club 2013 Boys Blue,RSL-AZ North 2013 Boys Red,0,5,League Play,2025-07-30,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,rsl-az yuma 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,RSL-AZ Yuma 2013 Boys Gold,0,1,League Play,2025-01-09,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,rsl-az south 2013 boys blue,Fountain Hills Soccer Club 2013 Boys Blue,RSL-AZ South 2013 Boys Blue,0,4,League Play,2025-02-26,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,mesa soccer club 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,Mesa Soccer Club 2013 Boys Gold,0,4,League Play,2024-12-03,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,mesa soccer club 2013 boys red,Fountain Hills Soccer Club 2013 Boys Blue,Mesa Soccer Club 2013 Boys Red,5,2,League Play,2024-12-02,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,chandler soccer club 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,Chandler Soccer Club 2013 Boys White,3,2,League Play,2025-05-21,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,chandler soccer club 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,Chandler Soccer Club 2013 Boys Gold,3,0,League Play,2025-03-06,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,buckeye soccer club 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,Buckeye Soccer Club 2013 Boys White,5,3,League Play,2024-12-18,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,fc tucson youth soccer 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys White,3,5,League Play,2025-09-12,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,paradise valley soccer club 2013 boys blue,Fountain Hills Soccer Club 2013 Boys Blue,Paradise Valley Soccer Club 2013 Boys Blue,0,1,League Play,2025-06-11,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,az arsenal soccer club 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,AZ Arsenal Soccer Club 2013 Boys Gold,4,5,League Play,2025-09-15,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,rsl-az west valley 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,RSL-AZ West Valley 2013 Boys Gold,4,2,League Play,2024-10-17,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,glendale soccer club 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,Glendale Soccer Club 2013 Boys Gold,3,5,League Play,2025-09-13,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,goodyear soccer club 2013 boys red,Fountain Hills Soccer Club 2013 Boys Blue,Goodyear Soccer Club 2013 Boys Red,0,3,League Play,2025-03-14,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,queen creek soccer club 2013 boys black,Fountain Hills Soccer Club 2013 Boys Blue,Queen Creek Soccer Club 2013 Boys Black,0,1,League Play,2025-07-28,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,surprise soccer club 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,Surprise Soccer Club 2013 Boys Gold,3,2,League Play,2025-06-30,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,peoria soccer club 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,Peoria Soccer Club 2013 Boys White,0,5,League Play,2025-06-22,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,apache junction soccer club 2013 boys black,Fountain Hills Soccer Club 2013 Boys Blue,Apache Junction Soccer Club 2013 Boys Black,5,5,League Play,2025-05-08,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,paradise valley soccer club 2013 boys gold,Fountain Hills Soccer Club 2013 Boys Blue,Paradise Valley Soccer Club 2013 Boys Gold,1,4,League Play,2024-11-05,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 boys blue,fc tucson youth soccer 2013 boys white,Fountain Hills Soccer Club 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys White,0,2,League Play,2024-12-09,az_boys_u13,https://rankings.gotsport.com/teams/u13_2
fc elite arizona 2013 boys blue,buckeye soccer club 2013 boys blue,FC Elite Arizona 2013 Boys Blue,Buckeye Soccer Club 2013 Boys Blue,1,0,League Play,2025-06-16,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,fc elite arizona 2013 boys red,FC Elite Arizona 2013 Boys Blue,FC Elite Arizona 2013 Boys Red,1,0,League Play,2025-04-29,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,buckeye soccer club 2013 boys white,FC Elite Arizona 2013 Boys Blue,Buckeye Soccer Club 2013 Boys White,2,0,League Play,2025-01-23,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,chandler soccer club 2013 boys white,FC Elite Arizona 2013 Boys Blue,Chandler Soccer Club 2013 Boys White,3,3,League Play,2025-01-03,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,rsl-az north 2013 boys red,FC Elite Arizona 2013 Boys Blue,RSL-AZ North 2013 Boys Red,2,2,League Play,2025-06-14,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,apache junction soccer club 2013 boys white,FC Elite Arizona 2013 Boys Blue,Apache Junction Soccer Club 2013 Boys White,2,4,League Play,2025-06-06,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,goodyear soccer club 2013 boys red,FC Elite Arizona 2013 Boys Blue,Goodyear Soccer Club 2013 Boys Red,5,5,League Play,2024-12-02,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,fc tucson youth soccer 2013 boys white,FC Elite Arizona 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys White,0,3,League Play,2025-08-03,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,az arsenal soccer club 2013 boys black,FC Elite Arizona 2013 Boys Blue,AZ Arsenal Soccer Club 2013 Boys Black,1,0,League Play,2024-11-18,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,gilbert soccer club 2013 boys gold,FC Elite Arizona 2013 Boys Blue,Gilbert Soccer Club 2013 Boys Gold,4,4,League Play,2025-07-07,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,az arsenal soccer club 2013 boys gold,FC Elite Arizona 2013 Boys Blue,AZ Arsenal Soccer Club 2013 Boys Gold,5,1,League Play,2025-06-06,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,gilbert soccer club 2013 boys blue,FC Elite Arizona 2013 Boys Blue,Gilbert Soccer Club 2013 Boys Blue,0,1,League Play,2025-08-05,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,desert sc 2013 boys white,FC Elite Arizona 2013 Boys Blue,Desert SC 2013 Boys White,3,3,League Play,2025-09-18,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,paradise valley soccer club 2013 boys blue,FC Elite Arizona 2013 Boys Blue,Paradise Valley Soccer Club 2013 Boys Blue,5,1,League Play,2025-07-16,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,apache junction soccer club 2013 boys black,FC Elite Arizona 2013 Boys Blue,Apache Junction Soccer Club 2013 Boys Black,4,0,League Play,2025-05-29,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,gilbert soccer club 2013 boys red,FC Elite Arizona 2013 Boys Blue,Gilbert Soccer Club 2013 Boys Red,2,3,League Play,2024-11-13,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,apache junction soccer club 2013 boys white,FC Elite Arizona 2013 Boys Blue,Apache Junction Soccer Club 2013 Boys White,2,0,League Play,2025-04-01,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,fc tucson youth soccer 2013 boys red,FC Elite Arizona 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys Red,2,2,League Play,2025-08-25,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,fc tucson youth soccer 2013 boys white,FC Elite Arizona 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys White,2,0,League Play,2025-02-02,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,paradise valley soccer club 2013 boys gold,FC Elite Arizona 2013 Boys Blue,Paradise Valley Soccer Club 2013 Boys Gold,2,0,League Play,2025-05-05,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,fc tucson youth soccer 2013 boys white,FC Elite Arizona 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys White,5,4,League Play,2025-04-03,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,phoenix rising fc 2013 boys gold,FC Elite Arizona 2013 Boys Blue,Phoenix Rising FC 2013 Boys Gold,5,4,League Play,2025-05-26,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,fc tucson youth soccer 2013 boys black,FC Elite Arizona 2013 Boys Blue,FC Tucson Youth Soccer 2013 Boys Black,1,1,League Play,2025-09-02,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,peoria soccer club 2013 boys blue,FC Elite Arizona 2013 Boys Blue,Peoria Soccer Club 2013 Boys Blue,2,4,League Play,2025-09-12,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,az soccer club 2013 boys gold,FC Elite Arizona 2013 Boys Blue,AZ Soccer Club 2013 Boys Gold,5,1,League Play,2025-08-17,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,desert sc 2013 boys white,FC Elite Arizona 2013 Boys Blue,Desert SC 2013 Boys White,2,2,League Play,2024-11-28,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,chandler soccer club 2013 boys gold,FC Elite Arizona 2013 Boys Blue,Chandler Soccer Club 2013 Boys Gold,0,3,League Play,2025-08-11,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
fc elite arizona 2013 boys blue,buckeye soccer club 2013 boys blue,FC Elite Arizona 2013 Boys Blue,Buckeye Soccer Club 2013 Boys Blue,2,5,League Play,2025-08-22,az_boys_u13,https://rankings.gotsport.com/teams/u13_3
phoenix premier fc 2013 boys white,rsl-az yuma 2013 boys gold,Phoenix Premier FC 2013 Boys White,RSL-AZ Yuma 2013 Boys Gold,4,5,League Play,2024-11-08,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,apache junction soccer club 2013 boys white,Phoenix Premier FC 2013 Boys White,Apache Junction Soccer Club 2013 Boys White,0,4,League Play,2024-11-29,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,casa grande soccer club 2013 boys blue,Phoenix Premier FC 2013 Boys White,Casa Grande Soccer Club 2013 Boys Blue,1,2,League Play,2025-07-31,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,fc tucson youth soccer 2013 boys white,Phoenix Premier FC 2013 Boys White,FC Tucson Youth Soccer 2013 Boys White,2,3,League Play,2025-09-21,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,rsl-az west valley 2013 boys white,Phoenix Premier FC 2013 Boys White,RSL-AZ West Valley 2013 Boys White,3,4,League Play,2025-09-27,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,mesa soccer club 2013 boys black,Phoenix Premier FC 2013 Boys White,Mesa Soccer Club 2013 Boys Black,3,3,League Play,2024-12-31,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,rsl-az west valley 2013 boys white,Phoenix Premier FC 2013 Boys White,RSL-AZ West Valley 2013 Boys White,2,0,League Play,2025-04-24,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,cave creek soccer club 2013 boys gold,Phoenix Premier FC 2013 Boys White,Cave Creek Soccer Club 2013 Boys Gold,1,0,League Play,2024-10-22,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,avondale soccer club 2013 boys gold,Phoenix Premier FC 2013 Boys White,Avondale Soccer Club 2013 Boys Gold,2,3,League Play,2025-08-22,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,chandler soccer club 2013 boys white,Phoenix Premier FC 2013 Boys White,Chandler Soccer Club 2013 Boys White,1,1,League Play,2025-08-03,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,gilbert soccer club 2013 boys white,Phoenix Premier FC 2013 Boys White,Gilbert Soccer Club 2013 Boys White,1,4,League Play,2025-04-30,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,scottsdale soccer club 2013 boys blue,Phoenix Premier FC 2013 Boys White,Scottsdale Soccer Club 2013 Boys Blue,0,1,League Play,2025-01-30,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,fountain hills soccer club 2013 boys blue,Phoenix Premier FC 2013 Boys White,Fountain Hills Soccer Club 2013 Boys Blue,4,0,League Play,2025-09-19,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,phoenix rising fc 2013 boys gold,Phoenix Premier FC 2013 Boys White,Phoenix Rising FC 2013 Boys Gold,2,1,League Play,2025-03-15,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,goodyear soccer club 2013 boys red,Phoenix Premier FC 2013 Boys White,Goodyear Soccer Club 2013 Boys Red,1,3,League Play,2025-08-01,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,fc tucson youth soccer 2013 boys white,Phoenix Premier FC 2013 Boys White,FC Tucson Youth Soccer 2013 Boys White,1,4,League Play,2025-10-03,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,paradise valley soccer club 2013 boys blue,Phoenix Premier FC 2013 Boys White,Paradise Valley Soccer Club 2013 Boys Blue,4,5,League Play,2024-12-20,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,casa grande soccer club 2013 boys white,Phoenix Premier FC 2013 Boys White,Casa Grande Soccer Club 2013 Boys White,5,2,League Play,2025-07-30,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,rsl-az west valley 2013 boys white,Phoenix Premier FC 2013 Boys White,RSL-AZ West Valley 2013 Boys White,2,2,League Play,2025-05-29,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,cave creek soccer club 2013 boys blue,Phoenix Premier FC 2013 Boys White,Cave Creek Soccer Club 2013 Boys Blue,2,0,League Play,2025-02-28,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,scottsdale soccer club 2013 boys white,Phoenix Premier FC 2013 Boys White,Scottsdale Soccer Club 2013 Boys White,1,2,League Play,2024-12-19,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,az soccer club 2013 boys black,Phoenix Premier FC 2013 Boys White,AZ Soccer Club 2013 Boys Black,3,2,League Play,2025-09-09,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,goodyear soccer club 2013 boys black,Phoenix Premier FC 2013 Boys White,Goodyear Soccer Club 2013 Boys Black,2,3,League Play,2024-10-15,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,apache junction soccer club 2013 boys black,Phoenix Premier FC 2013 Boys White,Apache Junction Soccer Club 2013 Boys Black,4,1,League Play,2025-02-20,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,peoria soccer club 2013 boys white,Phoenix Premier FC 2013 Boys White,Peoria Soccer Club 2013 Boys White,5,5,League Play,2025-06-25,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,fc elite arizona 2013 boys blue,Phoenix Premier FC 2013 Boys White,FC Elite Arizona 2013 Boys Blue,4,1,League Play,2025-08-07,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,apache junction soccer club 2013 boys white,Phoenix Premier FC 2013 Boys White,Apache Junction Soccer Club 2013 Boys White,5,2,League Play,2024-12-21,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
phoenix premier fc 2013 boys white,glendale soccer club 2013 boys gold,Phoenix Premier FC 2013 Boys White,Glendale Soccer Club 2013 Boys Gold,2,3,League Play,2025-02-17,az_boys_u13,https://rankings.gotsport.com/teams/u13_4
mesa soccer club 2013 boys white,cave creek soccer club 2013 boys blue,Mesa Soccer Club 2013 Boys White,Cave Creek Soccer Club 2013 Boys Blue,2,5,League Play,2025-09-16,az_boys_u13,https://rankings.gotsport.com/teams/u13_5
mesa soccer club 2013 boys white,cave creek soccer club 2013 boys white,Mesa Soccer Club 2013 Boys White,Cave Creek Soccer Club 2013 Boys White,4,5,League Play,2024-10-16,az_boys_u13,https://rankings.gotsport.com/teams/u13_5
mesa soccer club 2013 boys white,goodyear soccer club 2013 boys blue,Mesa Soccer Club 2013 Boys White,Goodyear Soccer Club 2013 Boys Blue,5,2,League Play,2025-06-27,az_boys_u13,https://rankings.gotsport.com/teams/u13_5
mesa soccer club 2013 boys white,cave creek soccer club 2013 boys blue,Mesa Soccer Club 2013 Boys White,Cave Creek Soccer Club 2013 Boys Blue,3,3,League Play,2025-04-01,az_boys_u13,https://rankings.gotsport.com/teams/u13_5
