Team A,Team B,Score A,Score B,Date
scottsdale soccer club 2016 boys black,cave creek soccer club 2016 boys white,0,2,2025-01-17
scottsdale soccer club 2016 boys black,phoenix rising fc 2016 boys gold,0,1,2025-04-20
scottsdale soccer club 2016 boys black,fountain hills soccer club 2016 boys white,1,2,2025-04-28
scottsdale soccer club 2016 boys black,rsl-az west valley 2016 boys black,0,0,2025-08-19
scottsdale soccer club 2016 boys black,goodyear soccer club 2016 boys black,2,3,2025-08-26
scottsdale soccer club 2016 boys black,peoria soccer club 2016 boys gold,3,4,2025-07-20
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,1,3,2025-01-25
scottsdale soccer club 2016 boys black,maricopa soccer club 2016 boys white,2,1,2025-09-26
scottsdale soccer club 2016 boys black,rsl-az yuma 2016 boys gold,3,4,2025-10-02
scottsdale soccer club 2016 boys black,fc tucson youth soccer 2016 boys gold,4,0,2025-04-14
scottsdale soccer club 2016 boys black,scottsdale soccer club 2016 boys gold,1,2,2025-08-31
scottsdale soccer club 2016 boys black,fountain hills soccer club 2016 boys blue,2,1,2025-08-21
scottsdale soccer club 2016 boys black,mesa soccer club 2016 boys blue,4,0,2025-04-08
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,3,2,2025-02-21
scottsdale soccer club 2016 boys black,chandler soccer club 2016 boys red,2,4,2025-05-31
scottsdale soccer club 2016 boys black,chandler soccer club 2016 boys blue,1,4,2025-04-28
scottsdale soccer club 2016 boys black,fountain hills soccer club 2016 boys white,0,0,2025-03-14
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,2,0,2025-03-06
scottsdale soccer club 2016 boys black,surprise soccer club 2016 boys blue,2,1,2025-01-04
valley united fc 2016 boys black,queen creek soccer club 2016 boys gold,2,1,2025-02-08
valley united fc 2016 boys black,glendale soccer club 2016 boys white,2,4,2025-05-28
valley united fc 2016 boys black,scottsdale soccer club 2016 boys white,1,4,2025-04-05
valley united fc 2016 boys black,chandler soccer club 2016 boys blue,3,3,2025-04-29
valley united fc 2016 boys black,cave creek soccer club 2016 boys white,3,4,2025-03-05
valley united fc 2016 boys black,fountain hills soccer club 2016 boys blue,3,0,2025-08-03
valley united fc 2016 boys black,gilbert soccer club 2016 boys blue,2,4,2025-06-24
valley united fc 2016 boys black,rsl-az west valley 2016 boys gold,2,1,2025-05-14
valley united fc 2016 boys black,maricopa soccer club 2016 boys red,1,4,2025-02-09
valley united fc 2016 boys black,peoria soccer club 2016 boys white,2,4,2025-04-06
valley united fc 2016 boys black,phoenix rising fc 2016 boys red,2,0,2025-04-13
valley united fc 2016 boys black,az arsenal soccer club 2016 boys gold,0,0,2025-02-01
valley united fc 2016 boys black,casa grande soccer club 2016 boys black,1,4,2025-04-09
valley united fc 2016 boys black,maricopa soccer club 2016 boys gold,2,0,2025-07-11
valley united fc 2016 boys black,chandler soccer club 2016 boys red,2,0,2025-06-30
valley united fc 2016 boys black,peoria soccer club 2016 boys black,2,1,2025-03-27
valley united fc 2016 boys black,goodyear soccer club 2016 boys black,1,2,2025-05-17
valley united fc 2016 boys black,maricopa soccer club 2016 boys gold,3,3,2025-03-14
valley united fc 2016 boys black,phoenix premier fc 2016 boys red,3,4,2025-08-15
valley united fc 2016 boys black,rsl-az north 2016 boys black,0,2,2025-03-07
valley united fc 2016 boys black,buckeye soccer club 2016 boys blue,3,4,2025-05-06
valley united fc 2016 boys black,avondale soccer club 2016 boys white,2,3,2025-07-01
valley united fc 2016 boys black,apache junction soccer club 2016 boys red,0,4,2025-04-22
valley united fc 2016 boys black,rsl-az north 2016 boys black,4,3,2025-08-25
valley united fc 2016 boys black,fc elite arizona 2016 boys blue,4,4,2024-12-22
rsl-az yuma 2016 boys gold,casa grande soccer club 2016 boys gold,4,1,2025-06-25
rsl-az yuma 2016 boys gold,paradise valley soccer club 2016 boys gold,2,0,2025-07-30
rsl-az yuma 2016 boys gold,fountain hills soccer club 2016 boys blue,4,3,2025-01-22
rsl-az yuma 2016 boys gold,tempe soccer club 2016 boys white,0,1,2025-05-06
rsl-az yuma 2016 boys gold,maricopa soccer club 2016 boys gold,1,1,2025-01-04
rsl-az yuma 2016 boys gold,rsl-az north 2016 boys black,2,3,2025-03-06
rsl-az yuma 2016 boys gold,goodyear soccer club 2016 boys black,0,2,2025-09-03
rsl-az yuma 2016 boys gold,queen creek soccer club 2016 boys white,1,3,2025-07-16
rsl-az yuma 2016 boys gold,buckeye soccer club 2016 boys black,2,3,2025-08-11
rsl-az yuma 2016 boys gold,az soccer club 2016 boys gold,2,1,2025-07-24
rsl-az yuma 2016 boys gold,maricopa soccer club 2016 boys gold,3,2,2025-09-05
rsl-az yuma 2016 boys gold,glendale soccer club 2016 boys white,0,1,2025-04-08
rsl-az yuma 2016 boys gold,glendale soccer club 2016 boys black,4,1,2025-08-29
rsl-az yuma 2016 boys gold,buckeye soccer club 2016 boys black,1,3,2025-06-26
rsl-az yuma 2016 boys gold,glendale soccer club 2016 boys blue,4,0,2025-05-28
rsl-az yuma 2016 boys gold,peoria soccer club 2016 boys white,3,4,2025-04-03
rsl-az yuma 2016 boys gold,az soccer club 2016 boys gold,0,0,2025-08-22
rsl-az yuma 2016 boys gold,buckeye soccer club 2016 boys blue,3,4,2025-04-18
rsl-az yuma 2016 boys gold,paradise valley soccer club 2016 boys gold,3,1,2025-02-04
rsl-az yuma 2016 boys gold,fountain hills soccer club 2016 boys white,4,1,2025-01-20
rsl-az yuma 2016 boys gold,chandler soccer club 2016 boys blue,3,2,2025-08-23
rsl-az yuma 2016 boys gold,desert sc 2016 boys blue,0,1,2025-06-01
rsl-az yuma 2016 boys gold,maricopa soccer club 2016 boys gold,0,4,2025-09-01
rsl-az yuma 2016 boys gold,az arsenal soccer club 2016 boys gold,0,1,2025-03-08
rsl-az yuma 2016 boys gold,surprise soccer club 2016 boys red,0,1,2025-03-16
casa grande soccer club 2016 boys black,maricopa soccer club 2016 boys gold,1,1,2025-06-12
casa grande soccer club 2016 boys black,queen creek soccer club 2016 boys blue,2,3,2025-03-09
casa grande soccer club 2016 boys black,buckeye soccer club 2016 boys black,0,0,2025-06-09
casa grande soccer club 2016 boys black,desert sc 2016 boys white,1,1,2025-03-19
casa grande soccer club 2016 boys black,fc tucson youth soccer 2016 boys gold,2,2,2025-02-23
casa grande soccer club 2016 boys black,queen creek soccer club 2016 boys gold,3,3,2025-01-07
casa grande soccer club 2016 boys black,casa grande soccer club 2016 boys white,4,1,2025-04-17
casa grande soccer club 2016 boys black,maricopa soccer club 2016 boys gold,0,0,2025-03-30
casa grande soccer club 2016 boys black,apache junction soccer club 2016 boys red,0,0,2025-03-21
casa grande soccer club 2016 boys black,goodyear soccer club 2016 boys black,4,0,2025-01-10
casa grande soccer club 2016 boys black,az soccer club 2016 boys red,3,1,2025-06-22
casa grande soccer club 2016 boys black,buckeye soccer club 2016 boys blue,4,2,2025-03-16
casa grande soccer club 2016 boys black,chandler soccer club 2016 boys gold,1,4,2025-01-27
casa grande soccer club 2016 boys black,rsl-az yuma 2016 boys red,2,1,2025-02-23
casa grande soccer club 2016 boys black,valley united fc 2016 boys white,1,3,2025-02-06
casa grande soccer club 2016 boys black,avondale soccer club 2016 boys white,2,1,2025-08-13
casa grande soccer club 2016 boys black,queen creek soccer club 2016 boys gold,0,2,2025-05-11
casa grande soccer club 2016 boys black,scottsdale soccer club 2016 boys white,2,3,2025-02-09
casa grande soccer club 2016 boys black,tempe soccer club 2016 boys black,0,3,2025-01-08
casa grande soccer club 2016 boys black,desert sc 2016 boys white,0,1,2025-06-24
casa grande soccer club 2016 boys black,rsl-az west valley 2016 boys gold,4,4,2025-06-29
casa grande soccer club 2016 boys black,fountain hills soccer club 2016 boys blue,1,3,2025-07-02
casa grande soccer club 2016 boys black,az arsenal soccer club 2016 boys gold,0,2,2025-08-16
casa grande soccer club 2016 boys black,queen creek soccer club 2016 boys blue,1,3,2025-08-21
casa grande soccer club 2016 boys black,az arsenal soccer club 2016 boys gold,2,1,2025-05-04
desert sc 2016 boys white,cave creek soccer club 2016 boys white,4,1,2025-03-31
desert sc 2016 boys white,glendale soccer club 2016 boys black,0,2,2025-02-28
desert sc 2016 boys white,surprise soccer club 2016 boys red,2,0,2025-04-01
desert sc 2016 boys white,chandler soccer club 2016 boys gold,1,4,2024-12-22
desert sc 2016 boys white,fc tucson youth soccer 2016 boys gold,3,1,2025-01-11
desert sc 2016 boys white,fc tucson youth soccer 2016 boys gold,1,0,2025-06-10
desert sc 2016 boys white,peoria soccer club 2016 boys gold,3,0,2025-09-28
desert sc 2016 boys white,chandler soccer club 2016 boys blue,3,4,2025-04-14
desert sc 2016 boys white,tempe soccer club 2016 boys white,4,2,2025-04-19
desert sc 2016 boys white,cave creek soccer club 2016 boys white,2,4,2024-12-23
desert sc 2016 boys white,scottsdale soccer club 2016 boys gold,4,1,2025-01-03
desert sc 2016 boys white,az arsenal soccer club 2016 boys blue,3,2,2025-09-19
desert sc 2016 boys white,gilbert soccer club 2016 boys gold,3,2,2025-07-12
desert sc 2016 boys white,queen creek soccer club 2016 boys white,4,3,2025-01-10
desert sc 2016 boys white,paradise valley soccer club 2016 boys blue,1,2,2025-04-19
desert sc 2016 boys white,glendale soccer club 2016 boys black,0,4,2025-05-13
desert sc 2016 boys white,scottsdale soccer club 2016 boys gold,2,1,2025-08-07
desert sc 2016 boys white,scottsdale soccer club 2016 boys white,2,3,2025-08-26
desert sc 2016 boys white,az soccer club 2016 boys white,3,3,2025-02-21
desert sc 2016 boys white,rsl-az south 2016 boys gold,3,4,2025-07-24
desert sc 2016 boys white,rsl-az north 2016 boys black,0,2,2025-07-18
desert sc 2016 boys white,maricopa soccer club 2016 boys red,1,0,2025-06-18
desert sc 2016 boys white,fc tucson youth soccer 2016 boys gold,4,0,2025-09-19
desert sc 2016 boys white,rsl-az yuma 2016 boys gold,2,3,2025-04-26
desert sc 2016 boys white,casa grande soccer club 2016 boys red,2,1,2025-06-23
rsl-az west valley 2016 boys black,az soccer club 2016 boys red,0,4,2025-06-18
rsl-az west valley 2016 boys black,avondale soccer club 2016 boys red,2,4,2025-02-20
rsl-az west valley 2016 boys black,phoenix premier fc 2016 boys gold,0,0,2025-03-28
rsl-az west valley 2016 boys black,rsl-az west valley 2016 boys gold,2,4,2025-02-08
rsl-az west valley 2016 boys black,maricopa soccer club 2016 boys white,1,1,2025-03-01
rsl-az west valley 2016 boys black,avondale soccer club 2016 boys white,3,0,2025-06-01
rsl-az west valley 2016 boys black,az arsenal soccer club 2016 boys blue,0,4,2025-09-06
rsl-az west valley 2016 boys black,desert sc 2016 boys white,1,3,2025-08-15
rsl-az west valley 2016 boys black,queen creek soccer club 2016 boys gold,0,4,2025-03-26
rsl-az west valley 2016 boys black,az soccer club 2016 boys red,2,0,2025-07-21
rsl-az west valley 2016 boys black,chandler soccer club 2016 boys blue,0,1,2025-07-20
rsl-az west valley 2016 boys black,goodyear soccer club 2016 boys gold,4,4,2025-01-16
rsl-az west valley 2016 boys black,goodyear soccer club 2016 boys black,1,0,2025-09-21
rsl-az west valley 2016 boys black,paradise valley soccer club 2016 boys gold,1,0,2025-01-03
rsl-az west valley 2016 boys black,gilbert soccer club 2016 boys blue,4,1,2025-08-03
rsl-az west valley 2016 boys black,peoria soccer club 2016 boys black,4,4,2025-09-23
rsl-az west valley 2016 boys black,chandler soccer club 2016 boys blue,2,2,2025-04-19
rsl-az west valley 2016 boys black,cave creek soccer club 2016 boys white,4,2,2025-04-28
rsl-az west valley 2016 boys black,peoria soccer club 2016 boys gold,4,2,2025-04-16
rsl-az west valley 2016 boys black,fc tucson youth soccer 2016 boys red,2,0,2025-02-06
rsl-az west valley 2016 boys black,rsl-az south 2016 boys blue,2,3,2025-01-12
rsl-az west valley 2016 boys black,peoria soccer club 2016 boys black,0,3,2025-08-13
rsl-az west valley 2016 boys black,casa grande soccer club 2016 boys white,2,3,2025-03-29
rsl-az west valley 2016 boys black,scottsdale soccer club 2016 boys black,4,3,2025-02-28
rsl-az west valley 2016 boys black,rsl-az north 2016 boys white,2,0,2025-02-26
buckeye soccer club 2016 boys black,chandler soccer club 2016 boys gold,2,2,2025-05-22
buckeye soccer club 2016 boys black,cave creek soccer club 2016 boys black,1,0,2025-09-10
buckeye soccer club 2016 boys black,fountain hills soccer club 2016 boys red,1,3,2025-08-17
buckeye soccer club 2016 boys black,az arsenal soccer club 2016 boys blue,0,1,2025-01-07
buckeye soccer club 2016 boys black,fountain hills soccer club 2016 boys blue,3,1,2025-09-24
buckeye soccer club 2016 boys black,chandler soccer club 2016 boys blue,2,1,2025-03-23
buckeye soccer club 2016 boys black,desert sc 2016 boys blue,4,1,2024-12-18
buckeye soccer club 2016 boys black,gilbert soccer club 2016 boys gold,3,4,2025-03-07
buckeye soccer club 2016 boys black,queen creek soccer club 2016 boys blue,4,0,2025-09-07
buckeye soccer club 2016 boys black,maricopa soccer club 2016 boys white,2,4,2025-04-16
buckeye soccer club 2016 boys black,fountain hills soccer club 2016 boys white,3,0,2025-08-13
buckeye soccer club 2016 boys black,casa grande soccer club 2016 boys gold,2,2,2025-02-02
buckeye soccer club 2016 boys black,casa grande soccer club 2016 boys red,2,2,2024-12-27
buckeye soccer club 2016 boys black,desert sc 2016 boys white,3,3,2025-10-08
buckeye soccer club 2016 boys black,az arsenal soccer club 2016 boys gold,0,2,2025-01-24
buckeye soccer club 2016 boys black,casa grande soccer club 2016 boys red,1,0,2025-05-22
buckeye soccer club 2016 boys black,apache junction soccer club 2016 boys red,1,2,2025-09-22
buckeye soccer club 2016 boys black,paradise valley soccer club 2016 boys white,4,1,2025-09-03
buckeye soccer club 2016 boys black,rsl-az north 2016 boys white,1,1,2025-03-05
buckeye soccer club 2016 boys black,rsl-az north 2016 boys blue,3,3,2025-03-15
buckeye soccer club 2016 boys black,queen creek soccer club 2016 boys gold,0,2,2024-12-25
buckeye soccer club 2016 boys black,goodyear soccer club 2016 boys gold,1,4,2025-04-01
buckeye soccer club 2016 boys black,queen creek soccer club 2016 boys blue,1,0,2025-04-24
buckeye soccer club 2016 boys black,rsl-az north 2016 boys black,3,2,2025-06-02
buckeye soccer club 2016 boys black,tempe soccer club 2016 boys white,3,0,2025-08-24
rsl-az north 2016 boys white,scottsdale soccer club 2016 boys gold,0,1,2025-02-13
rsl-az north 2016 boys white,desert sc 2016 boys white,3,1,2025-01-24
rsl-az north 2016 boys white,buckeye soccer club 2016 boys blue,1,2,2025-09-10
rsl-az north 2016 boys white,buckeye soccer club 2016 boys black,4,2,2025-05-07
rsl-az north 2016 boys white,chandler soccer club 2016 boys gold,2,1,2025-06-10
rsl-az north 2016 boys white,rsl-az west valley 2016 boys white,2,3,2025-07-27
rsl-az north 2016 boys white,az arsenal soccer club 2016 boys blue,4,4,2024-12-26
rsl-az north 2016 boys white,mesa soccer club 2016 boys blue,0,3,2025-03-18
rsl-az north 2016 boys white,chandler soccer club 2016 boys blue,3,2,2025-04-03
rsl-az north 2016 boys white,rsl-az west valley 2016 boys red,1,1,2025-09-18
rsl-az north 2016 boys white,chandler soccer club 2016 boys blue,3,3,2025-02-26
rsl-az north 2016 boys white,goodyear soccer club 2016 boys gold,4,1,2025-03-03
rsl-az north 2016 boys white,gilbert soccer club 2016 boys white,0,1,2025-07-04
rsl-az north 2016 boys white,phoenix premier fc 2016 boys red,1,1,2025-01-05
rsl-az north 2016 boys white,cave creek soccer club 2016 boys white,3,4,2025-09-27
rsl-az north 2016 boys white,apache junction soccer club 2016 boys red,2,3,2025-01-23
rsl-az north 2016 boys white,tempe soccer club 2016 boys white,3,3,2025-02-14
rsl-az north 2016 boys white,rsl-az west valley 2016 boys red,3,2,2025-01-28
rsl-az north 2016 boys white,peoria soccer club 2016 boys white,2,0,2025-01-11
rsl-az north 2016 boys white,scottsdale soccer club 2016 boys blue,1,2,2025-07-06
rsl-az north 2016 boys white,buckeye soccer club 2016 boys black,4,1,2025-06-07
rsl-az north 2016 boys white,gilbert soccer club 2016 boys white,0,4,2025-10-01
rsl-az north 2016 boys white,maricopa soccer club 2016 boys white,1,4,2025-02-10
rsl-az north 2016 boys white,fountain hills soccer club 2016 boys red,4,1,2025-07-29
rsl-az north 2016 boys white,queen creek soccer club 2016 boys gold,3,4,2025-03-21
avondale soccer club 2016 boys red,az soccer club 2016 boys black,2,0,2025-09-12
avondale soccer club 2016 boys red,fc elite arizona 2016 boys black,4,2,2025-04-26
avondale soccer club 2016 boys red,paradise valley soccer club 2016 boys gold,1,2,2025-01-02
avondale soccer club 2016 boys red,rsl-az west valley 2016 boys gold,4,4,2024-12-16
avondale soccer club 2016 boys red,maricopa soccer club 2016 boys white,1,1,2025-02-07
avondale soccer club 2016 boys red,scottsdale soccer club 2016 boys gold,4,1,2025-07-29
avondale soccer club 2016 boys red,desert sc 2016 boys white,0,3,2025-06-11
avondale soccer club 2016 boys red,surprise soccer club 2016 boys red,0,0,2025-05-15
avondale soccer club 2016 boys red,glendale soccer club 2016 boys black,0,1,2025-01-21
avondale soccer club 2016 boys red,scottsdale soccer club 2016 boys gold,1,2,2025-08-13
avondale soccer club 2016 boys red,scottsdale soccer club 2016 boys white,4,3,2025-08-18
avondale soccer club 2016 boys red,rsl-az north 2016 boys white,1,3,2025-03-19
avondale soccer club 2016 boys red,tempe soccer club 2016 boys black,0,4,2024-12-19
avondale soccer club 2016 boys red,fountain hills soccer club 2016 boys white,0,0,2024-12-19
avondale soccer club 2016 boys red,surprise soccer club 2016 boys blue,4,3,2025-04-16
avondale soccer club 2016 boys red,fc tucson youth soccer 2016 boys gold,0,0,2025-02-19
avondale soccer club 2016 boys red,desert sc 2016 boys blue,1,4,2025-03-04
avondale soccer club 2016 boys red,fountain hills soccer club 2016 boys white,0,3,2025-03-02
avondale soccer club 2016 boys red,buckeye soccer club 2016 boys gold,4,4,2025-06-09
avondale soccer club 2016 boys red,rsl-az yuma 2016 boys gold,3,4,2025-06-03
avondale soccer club 2016 boys red,chandler soccer club 2016 boys blue,4,3,2025-02-19
avondale soccer club 2016 boys red,chandler soccer club 2016 boys gold,0,2,2025-01-18
avondale soccer club 2016 boys red,apache junction soccer club 2016 boys red,4,2,2025-03-11
avondale soccer club 2016 boys red,peoria soccer club 2016 boys white,0,1,2025-05-02
avondale soccer club 2016 boys red,rsl-az west valley 2016 boys red,2,1,2025-08-29
az arsenal soccer club 2016 boys blue,queen creek soccer club 2016 boys blue,4,4,2025-07-19
az arsenal soccer club 2016 boys blue,fountain hills soccer club 2016 boys white,0,2,2024-12-18
az arsenal soccer club 2016 boys blue,paradise valley soccer club 2016 boys blue,0,0,2025-06-11
az arsenal soccer club 2016 boys blue,fountain hills soccer club 2016 boys blue,0,1,2025-08-17
az arsenal soccer club 2016 boys blue,az arsenal soccer club 2016 boys gold,3,1,2025-08-29
az arsenal soccer club 2016 boys blue,rsl-az yuma 2016 boys gold,1,3,2025-02-07
az arsenal soccer club 2016 boys blue,queen creek soccer club 2016 boys blue,2,4,2025-02-23
az arsenal soccer club 2016 boys blue,az soccer club 2016 boys white,4,0,2025-05-27
az arsenal soccer club 2016 boys blue,buckeye soccer club 2016 boys gold,0,4,2025-03-22
az arsenal soccer club 2016 boys blue,rsl-az yuma 2016 boys gold,4,3,2025-02-27
az arsenal soccer club 2016 boys blue,queen creek soccer club 2016 boys gold,0,3,2025-06-01
az arsenal soccer club 2016 boys blue,chandler soccer club 2016 boys gold,3,1,2025-01-18
az arsenal soccer club 2016 boys blue,peoria soccer club 2016 boys black,1,1,2025-05-10
az arsenal soccer club 2016 boys blue,desert sc 2016 boys white,0,3,2025-09-27
az arsenal soccer club 2016 boys blue,queen creek soccer club 2016 boys gold,2,2,2025-06-28
az arsenal soccer club 2016 boys blue,rsl-az west valley 2016 boys white,1,2,2025-01-15
az arsenal soccer club 2016 boys blue,fountain hills soccer club 2016 boys white,2,3,2025-09-01
az arsenal soccer club 2016 boys blue,az soccer club 2016 boys red,1,4,2025-02-12
az arsenal soccer club 2016 boys blue,mesa soccer club 2016 boys blue,2,2,2025-09-07
az arsenal soccer club 2016 boys blue,rsl-az yuma 2016 boys gold,1,4,2025-04-15
az arsenal soccer club 2016 boys blue,glendale soccer club 2016 boys black,0,4,2025-01-28
az arsenal soccer club 2016 boys blue,phoenix rising fc 2016 boys red,4,1,2025-04-29
az arsenal soccer club 2016 boys blue,surprise soccer club 2016 boys red,2,1,2025-02-02
az arsenal soccer club 2016 boys blue,mesa soccer club 2016 boys blue,3,0,2025-06-02
az arsenal soccer club 2016 boys blue,casa grande soccer club 2016 boys blue,1,4,2024-12-20
rsl-az north 2016 boys blue,surprise soccer club 2016 boys blue,0,2,2025-06-15
rsl-az north 2016 boys blue,scottsdale soccer club 2016 boys white,1,2,2025-10-08
rsl-az north 2016 boys blue,rsl-az south 2016 boys blue,1,1,2025-03-08
rsl-az north 2016 boys blue,chandler soccer club 2016 boys red,2,3,2025-05-14
rsl-az north 2016 boys blue,paradise valley soccer club 2016 boys gold,1,1,2025-06-29
rsl-az north 2016 boys blue,az soccer club 2016 boys red,3,4,2025-08-21
rsl-az north 2016 boys blue,az arsenal soccer club 2016 boys gold,0,2,2025-03-11
rsl-az north 2016 boys blue,casa grande soccer club 2016 boys black,3,2,2025-08-12
rsl-az north 2016 boys blue,surprise soccer club 2016 boys red,3,0,2025-08-13
rsl-az north 2016 boys blue,queen creek soccer club 2016 boys gold,4,1,2025-09-16
rsl-az north 2016 boys blue,casa grande soccer club 2016 boys black,3,3,2025-07-25
rsl-az north 2016 boys blue,az soccer club 2016 boys white,0,4,2025-04-10
rsl-az north 2016 boys blue,paradise valley soccer club 2016 boys blue,2,3,2025-05-16
rsl-az north 2016 boys blue,peoria soccer club 2016 boys gold,2,4,2025-08-23
rsl-az north 2016 boys blue,fc elite arizona 2016 boys blue,4,3,2025-01-10
rsl-az north 2016 boys blue,cave creek soccer club 2016 boys black,2,4,2025-06-05
rsl-az north 2016 boys blue,queen creek soccer club 2016 boys white,4,0,2025-08-09
rsl-az north 2016 boys blue,az arsenal soccer club 2016 boys gold,4,2,2025-09-25
rsl-az north 2016 boys blue,queen creek soccer club 2016 boys gold,4,1,2025-06-06
rsl-az north 2016 boys blue,surprise soccer club 2016 boys blue,0,2,2025-03-24
rsl-az north 2016 boys blue,gilbert soccer club 2016 boys red,0,4,2025-04-21
rsl-az north 2016 boys blue,scottsdale soccer club 2016 boys white,2,3,2025-08-27
rsl-az north 2016 boys blue,fc elite arizona 2016 boys blue,2,1,2025-10-09
rsl-az north 2016 boys blue,avondale soccer club 2016 boys red,3,1,2025-10-09
rsl-az north 2016 boys blue,az soccer club 2016 boys black,0,1,2025-07-14
az soccer club 2016 boys gold,paradise valley soccer club 2016 boys gold,3,2,2025-10-10
az soccer club 2016 boys gold,az soccer club 2016 boys red,4,0,2025-01-16
az soccer club 2016 boys gold,rsl-az west valley 2016 boys white,2,1,2025-05-10
az soccer club 2016 boys gold,rsl-az yuma 2016 boys gold,2,0,2025-04-25
az soccer club 2016 boys gold,queen creek soccer club 2016 boys blue,4,1,2025-02-24
az soccer club 2016 boys gold,mesa soccer club 2016 boys blue,1,2,2025-09-05
az soccer club 2016 boys gold,casa grande soccer club 2016 boys black,2,0,2025-05-22
az soccer club 2016 boys gold,rsl-az yuma 2016 boys gold,2,4,2025-07-21
az soccer club 2016 boys gold,desert sc 2016 boys white,4,0,2025-09-03
az soccer club 2016 boys gold,gilbert soccer club 2016 boys white,3,0,2025-05-25
az soccer club 2016 boys gold,phoenix premier fc 2016 boys red,3,3,2025-08-03
az soccer club 2016 boys gold,paradise valley soccer club 2016 boys blue,0,3,2025-07-30
az soccer club 2016 boys gold,phoenix rising fc 2016 boys gold,4,3,2025-05-25
az soccer club 2016 boys gold,mesa soccer club 2016 boys gold,0,3,2025-07-07
az soccer club 2016 boys gold,peoria soccer club 2016 boys gold,2,4,2025-06-18
az soccer club 2016 boys gold,rsl-az north 2016 boys black,4,4,2025-01-06
az soccer club 2016 boys gold,mesa soccer club 2016 boys blue,2,1,2025-05-10
az soccer club 2016 boys gold,queen creek soccer club 2016 boys white,0,4,2025-02-18
az soccer club 2016 boys gold,fc tucson youth soccer 2016 boys gold,1,0,2025-05-21
az soccer club 2016 boys gold,surprise soccer club 2016 boys blue,2,2,2025-05-18
az soccer club 2016 boys gold,maricopa soccer club 2016 boys red,1,1,2025-01-18
az soccer club 2016 boys gold,casa grande soccer club 2016 boys black,1,1,2025-09-09
az soccer club 2016 boys gold,glendale soccer club 2016 boys blue,0,1,2025-06-21
az soccer club 2016 boys gold,casa grande soccer club 2016 boys blue,0,4,2025-07-25
az soccer club 2016 boys gold,phoenix rising fc 2016 boys red,0,4,2025-07-25
surprise soccer club 2016 boys red,peoria soccer club 2016 boys gold,3,0,2025-05-27
surprise soccer club 2016 boys red,az soccer club 2016 boys red,4,1,2025-04-30
surprise soccer club 2016 boys red,valley united fc 2016 boys white,4,1,2025-02-07
