Rank,TeamName,TeamCanonical,Club,Points,TeamURL,Division,ScrapeDate
22,Cave Creek Soccer Club 2012 Boys Black,cave creek soccer club 2012 boys black,Cave Creek Soccer Club,16711,https://rankings.gotsport.com/teams/u14_22,az_boys_u14,2025-10-10T20:46:14.830305
23,Maricopa Soccer Club 2012 Boys Black,maricopa soccer club 2012 boys black,Maricopa Soccer Club,15550,https://rankings.gotsport.com/teams/u14_23,az_boys_u14,2025-10-10T20:46:14.830325
24,AZ Soccer Club 2012 Boys Blue,az soccer club 2012 boys blue,AZ Soccer Club,14095,https://rankings.gotsport.com/teams/u14_24,az_boys_u14,2025-10-10T20:46:14.830343
25,Queen Creek Soccer Club 2012 Boys Gold,queen creek soccer club 2012 boys gold,Queen Creek Soccer Club,29899,https://rankings.gotsport.com/teams/u14_25,az_boys_u14,2025-10-10T20:46:14.830360
26,Casa Grande Soccer Club 2012 Boys Red,casa grande soccer club 2012 boys red,Casa Grande Soccer Club,16877,https://rankings.gotsport.com/teams/u14_26,az_boys_u14,2025-10-10T20:46:14.830377
27,Phoenix Premier FC 2012 Boys Red,phoenix premier fc 2012 boys red,Phoenix Premier FC,16153,https://rankings.gotsport.com/teams/u14_27,az_boys_u14,2025-10-10T20:46:14.830405
28,Maricopa Soccer Club 2012 Boys Red,maricopa soccer club 2012 boys red,Maricopa Soccer Club,21448,https://rankings.gotsport.com/teams/u14_28,az_boys_u14,2025-10-10T20:46:14.830422
29,Casa Grande Soccer Club 2012 Boys Blue,casa grande soccer club 2012 boys blue,Casa Grande Soccer Club,23376,https://rankings.gotsport.com/teams/u14_29,az_boys_u14,2025-10-10T20:46:14.830448
30,Paradise Valley Soccer Club 2012 Boys Blue,paradise valley soccer club 2012 boys blue,Paradise Valley Soccer Club,27648,https://rankings.gotsport.com/teams/u14_30,az_boys_u14,2025-10-10T20:46:14.830466
31,Paradise Valley Soccer Club 2012 Boys Black,paradise valley soccer club 2012 boys black,Paradise Valley Soccer Club,27632,https://rankings.gotsport.com/teams/u14_31,az_boys_u14,2025-10-10T20:46:14.830484
32,Goodyear Soccer Club 2012 Boys Blue,goodyear soccer club 2012 boys blue,Goodyear Soccer Club,28098,https://rankings.gotsport.com/teams/u14_32,az_boys_u14,2025-10-10T20:46:14.830502
33,Apache Junction Soccer Club 2012 Boys Blue,apache junction soccer club 2012 boys blue,Apache Junction Soccer Club,10113,https://rankings.gotsport.com/teams/u14_33,az_boys_u14,2025-10-10T20:46:14.830521
34,Tempe Soccer Club 2012 Boys Blue,tempe soccer club 2012 boys blue,Tempe Soccer Club,24788,https://rankings.gotsport.com/teams/u14_34,az_boys_u14,2025-10-10T20:46:14.830538
35,Chandler Soccer Club 2012 Boys White,chandler soccer club 2012 boys white,Chandler Soccer Club,25559,https://rankings.gotsport.com/teams/u14_35,az_boys_u14,2025-10-10T20:46:14.830556
36,Phoenix Rising FC 2012 Boys Blue,phoenix rising fc 2012 boys blue,Phoenix Rising FC,2559,https://rankings.gotsport.com/teams/u14_36,az_boys_u14,2025-10-10T20:46:14.830573
37,Apache Junction Soccer Club 2012 Boys Gold,apache junction soccer club 2012 boys gold,Apache Junction Soccer Club,14267,https://rankings.gotsport.com/teams/u14_37,az_boys_u14,2025-10-10T20:46:14.830591
38,FC Elite Arizona 2012 Boys Gold,fc elite arizona 2012 boys gold,FC Elite Arizona,22419,https://rankings.gotsport.com/teams/u14_38,az_boys_u14,2025-10-10T20:46:14.830608
39,Tempe Soccer Club 2012 Boys Black,tempe soccer club 2012 boys black,Tempe Soccer Club,9567,https://rankings.gotsport.com/teams/u14_39,az_boys_u14,2025-10-10T20:46:14.830625
40,AZ Arsenal Soccer Club 2012 Boys Red,az arsenal soccer club 2012 boys red,AZ Arsenal Soccer Club,24538,https://rankings.gotsport.com/teams/u14_40,az_boys_u14,2025-10-10T20:46:14.830642
41,Desert SC 2012 Boys Gold,desert sc 2012 boys gold,Desert SC,20137,https://rankings.gotsport.com/teams/u14_41,az_boys_u14,2025-10-10T20:46:14.830659
42,Mesa Soccer Club 2012 Boys Red,mesa soccer club 2012 boys red,Mesa Soccer Club,24811,https://rankings.gotsport.com/teams/u14_42,az_boys_u14,2025-10-10T20:46:14.830676
43,Fountain Hills Soccer Club 2012 Boys Blue,fountain hills soccer club 2012 boys blue,Fountain Hills Soccer Club,16082,https://rankings.gotsport.com/teams/u14_43,az_boys_u14,2025-10-10T20:46:14.830694
44,RSL-AZ Yuma 2012 Boys Gold,rsl-az yuma 2012 boys gold,RSL-AZ Yuma,21261,https://rankings.gotsport.com/teams/u14_44,az_boys_u14,2025-10-10T20:46:14.830711
45,FC Tucson Youth Soccer 2012 Boys Blue,fc tucson youth soccer 2012 boys blue,FC Tucson Youth Soccer,8512,https://rankings.gotsport.com/teams/u14_45,az_boys_u14,2025-10-10T20:46:14.830728
46,Fountain Hills Soccer Club 2012 Boys White,fountain hills soccer club 2012 boys white,Fountain Hills Soccer Club,893,https://rankings.gotsport.com/teams/u14_46,az_boys_u14,2025-10-10T20:46:14.830746
47,Goodyear Soccer Club 2012 Boys Red,goodyear soccer club 2012 boys red,Goodyear Soccer Club,17003,https://rankings.gotsport.com/teams/u14_47,az_boys_u14,2025-10-10T20:46:14.830763
48,Tempe Soccer Club 2012 Boys Blue,tempe soccer club 2012 boys blue,Tempe Soccer Club,21333,https://rankings.gotsport.com/teams/u14_48,az_boys_u14,2025-10-10T20:46:14.830780
49,Casa Grande Soccer Club 2012 Boys Gold,casa grande soccer club 2012 boys gold,Casa Grande Soccer Club,27322,https://rankings.gotsport.com/teams/u14_49,az_boys_u14,2025-10-10T20:46:14.830797
50,Apache Junction Soccer Club 2012 Boys Blue,apache junction soccer club 2012 boys blue,Apache Junction Soccer Club,29083,https://rankings.gotsport.com/teams/u14_50,az_boys_u14,2025-10-10T20:46:14.830814
51,Phoenix Premier FC 2012 Boys Red,phoenix premier fc 2012 boys red,Phoenix Premier FC,19721,https://rankings.gotsport.com/teams/u14_51,az_boys_u14,2025-10-10T20:46:14.830831
52,Desert SC 2012 Boys Black,desert sc 2012 boys black,Desert SC,23381,https://rankings.gotsport.com/teams/u14_52,az_boys_u14,2025-10-10T20:46:14.830854
53,Queen Creek Soccer Club 2012 Boys Black,queen creek soccer club 2012 boys black,Queen Creek Soccer Club,28113,https://rankings.gotsport.com/teams/u14_53,az_boys_u14,2025-10-10T20:46:14.830874
54,Mesa Soccer Club 2012 Boys Gold,mesa soccer club 2012 boys gold,Mesa Soccer Club,19098,https://rankings.gotsport.com/teams/u14_54,az_boys_u14,2025-10-10T20:46:14.830892
55,FC Tucson Youth Soccer 2012 Boys Blue,fc tucson youth soccer 2012 boys blue,FC Tucson Youth Soccer,26678,https://rankings.gotsport.com/teams/u14_55,az_boys_u14,2025-10-10T20:46:14.830910
56,Goodyear Soccer Club 2012 Boys Gold,goodyear soccer club 2012 boys gold,Goodyear Soccer Club,21077,https://rankings.gotsport.com/teams/u14_56,az_boys_u14,2025-10-10T20:46:14.830927
57,Surprise Soccer Club 2012 Boys Gold,surprise soccer club 2012 boys gold,Surprise Soccer Club,24920,https://rankings.gotsport.com/teams/u14_57,az_boys_u14,2025-10-10T20:46:14.830945
58,Queen Creek Soccer Club 2012 Boys Black,queen creek soccer club 2012 boys black,Queen Creek Soccer Club,3819,https://rankings.gotsport.com/teams/u14_58,az_boys_u14,2025-10-10T20:46:14.830961
59,Chandler Soccer Club 2012 Boys Red,chandler soccer club 2012 boys red,Chandler Soccer Club,2847,https://rankings.gotsport.com/teams/u14_59,az_boys_u14,2025-10-10T20:46:14.830978
60,Cave Creek Soccer Club 2012 Boys Black,cave creek soccer club 2012 boys black,Cave Creek Soccer Club,16644,https://rankings.gotsport.com/teams/u14_60,az_boys_u14,2025-10-10T20:46:14.830996
61,Fountain Hills Soccer Club 2012 Boys Black,fountain hills soccer club 2012 boys black,Fountain Hills Soccer Club,10538,https://rankings.gotsport.com/teams/u14_61,az_boys_u14,2025-10-10T20:46:14.831013
62,Glendale Soccer Club 2012 Boys Blue,glendale soccer club 2012 boys blue,Glendale Soccer Club,18156,https://rankings.gotsport.com/teams/u14_62,az_boys_u14,2025-10-10T20:46:14.831035
63,Glendale Soccer Club 2012 Boys Red,glendale soccer club 2012 boys red,Glendale Soccer Club,24144,https://rankings.gotsport.com/teams/u14_63,az_boys_u14,2025-10-10T20:46:14.831052
64,Avondale Soccer Club 2012 Boys Black,avondale soccer club 2012 boys black,Avondale Soccer Club,29712,https://rankings.gotsport.com/teams/u14_64,az_boys_u14,2025-10-10T20:46:14.831069
65,Peoria Soccer Club 2012 Boys Gold,peoria soccer club 2012 boys gold,Peoria Soccer Club,29292,https://rankings.gotsport.com/teams/u14_65,az_boys_u14,2025-10-10T20:46:14.831086
66,AZ Arsenal Soccer Club 2012 Boys White,az arsenal soccer club 2012 boys white,AZ Arsenal Soccer Club,21395,https://rankings.gotsport.com/teams/u14_66,az_boys_u14,2025-10-10T20:46:14.831104
67,Maricopa Soccer Club 2012 Boys Gold,maricopa soccer club 2012 boys gold,Maricopa Soccer Club,5567,https://rankings.gotsport.com/teams/u14_67,az_boys_u14,2025-10-10T20:46:14.831120
68,Tempe Soccer Club 2012 Boys Blue,tempe soccer club 2012 boys blue,Tempe Soccer Club,26635,https://rankings.gotsport.com/teams/u14_68,az_boys_u14,2025-10-10T20:46:14.831137
69,RSL-AZ South 2012 Boys White,rsl-az south 2012 boys white,RSL-AZ South,4048,https://rankings.gotsport.com/teams/u14_69,az_boys_u14,2025-10-10T20:46:14.831155
70,Chandler Soccer Club 2012 Boys Red,chandler soccer club 2012 boys red,Chandler Soccer Club,15956,https://rankings.gotsport.com/teams/u14_70,az_boys_u14,2025-10-10T20:46:14.831172
71,Desert SC 2012 Boys Gold,desert sc 2012 boys gold,Desert SC,23947,https://rankings.gotsport.com/teams/u14_71,az_boys_u14,2025-10-10T20:46:14.831189
72,Phoenix Rising FC 2012 Boys Black,phoenix rising fc 2012 boys black,Phoenix Rising FC,2140,https://rankings.gotsport.com/teams/u14_72,az_boys_u14,2025-10-10T20:46:14.831206
73,Chandler Soccer Club 2012 Boys White,chandler soccer club 2012 boys white,Chandler Soccer Club,19370,https://rankings.gotsport.com/teams/u14_73,az_boys_u14,2025-10-10T20:46:14.831223
74,Phoenix Premier FC 2012 Boys Gold,phoenix premier fc 2012 boys gold,Phoenix Premier FC,9530,https://rankings.gotsport.com/teams/u14_74,az_boys_u14,2025-10-10T20:46:14.831242
75,Queen Creek Soccer Club 2012 Boys White,queen creek soccer club 2012 boys white,Queen Creek Soccer Club,23993,https://rankings.gotsport.com/teams/u14_75,az_boys_u14,2025-10-10T20:46:14.831259
76,Mesa Soccer Club 2012 Boys Black,mesa soccer club 2012 boys black,Mesa Soccer Club,8750,https://rankings.gotsport.com/teams/u14_76,az_boys_u14,2025-10-10T20:46:14.831284
77,Tempe Soccer Club 2012 Boys White,tempe soccer club 2012 boys white,Tempe Soccer Club,5879,https://rankings.gotsport.com/teams/u14_77,az_boys_u14,2025-10-10T20:46:14.831301
78,Scottsdale Soccer Club 2012 Boys Black,scottsdale soccer club 2012 boys black,Scottsdale Soccer Club,16474,https://rankings.gotsport.com/teams/u14_78,az_boys_u14,2025-10-10T20:46:14.831319
79,Phoenix Premier FC 2012 Boys Red,phoenix premier fc 2012 boys red,Phoenix Premier FC,4098,https://rankings.gotsport.com/teams/u14_79,az_boys_u14,2025-10-10T20:46:14.831336
80,Valley United FC 2012 Boys Red,valley united fc 2012 boys red,Valley United FC,17822,https://rankings.gotsport.com/teams/u14_80,az_boys_u14,2025-10-10T20:46:14.831354
81,Chandler Soccer Club 2012 Boys Gold,chandler soccer club 2012 boys gold,Chandler Soccer Club,4516,https://rankings.gotsport.com/teams/u14_81,az_boys_u14,2025-10-10T20:46:14.831371
82,AZ Arsenal Soccer Club 2012 Boys Red,az arsenal soccer club 2012 boys red,AZ Arsenal Soccer Club,16802,https://rankings.gotsport.com/teams/u14_82,az_boys_u14,2025-10-10T20:46:14.831388
83,FC Tucson Youth Soccer 2012 Boys White,fc tucson youth soccer 2012 boys white,FC Tucson Youth Soccer,16992,https://rankings.gotsport.com/teams/u14_83,az_boys_u14,2025-10-10T20:46:14.831405
84,Tempe Soccer Club 2012 Boys Blue,tempe soccer club 2012 boys blue,Tempe Soccer Club,4577,https://rankings.gotsport.com/teams/u14_84,az_boys_u14,2025-10-10T20:46:14.831422
85,Desert SC 2012 Boys Blue,desert sc 2012 boys blue,Desert SC,17817,https://rankings.gotsport.com/teams/u14_85,az_boys_u14,2025-10-10T20:46:14.831440
86,AZ Soccer Club 2012 Boys Gold,az soccer club 2012 boys gold,AZ Soccer Club,23206,https://rankings.gotsport.com/teams/u14_86,az_boys_u14,2025-10-10T20:46:14.831458
87,FC Tucson Youth Soccer 2012 Boys Red,fc tucson youth soccer 2012 boys red,FC Tucson Youth Soccer,20542,https://rankings.gotsport.com/teams/u14_87,az_boys_u14,2025-10-10T20:46:14.831475
88,RSL-AZ West Valley 2012 Boys Gold,rsl-az west valley 2012 boys gold,RSL-AZ West Valley,14507,https://rankings.gotsport.com/teams/u14_88,az_boys_u14,2025-10-10T20:46:14.831492
89,Buckeye Soccer Club 2012 Boys Blue,buckeye soccer club 2012 boys blue,Buckeye Soccer Club,18521,https://rankings.gotsport.com/teams/u14_89,az_boys_u14,2025-10-10T20:46:14.831510
90,Tempe Soccer Club 2012 Boys Blue,tempe soccer club 2012 boys blue,Tempe Soccer Club,29027,https://rankings.gotsport.com/teams/u14_90,az_boys_u14,2025-10-10T20:46:14.831527
91,Casa Grande Soccer Club 2012 Boys Gold,casa grande soccer club 2012 boys gold,Casa Grande Soccer Club,16278,https://rankings.gotsport.com/teams/u14_91,az_boys_u14,2025-10-10T20:46:14.831544
92,AZ Soccer Club 2012 Boys Red,az soccer club 2012 boys red,AZ Soccer Club,10590,https://rankings.gotsport.com/teams/u14_92,az_boys_u14,2025-10-10T20:46:14.831562
93,Gilbert Soccer Club 2012 Boys Blue,gilbert soccer club 2012 boys blue,Gilbert Soccer Club,27334,https://rankings.gotsport.com/teams/u14_93,az_boys_u14,2025-10-10T20:46:14.831579
94,Apache Junction Soccer Club 2012 Boys Gold,apache junction soccer club 2012 boys gold,Apache Junction Soccer Club,17135,https://rankings.gotsport.com/teams/u14_94,az_boys_u14,2025-10-10T20:46:14.831597
95,Peoria Soccer Club 2012 Boys Gold,peoria soccer club 2012 boys gold,Peoria Soccer Club,29760,https://rankings.gotsport.com/teams/u14_95,az_boys_u14,2025-10-10T20:46:14.831614
96,Paradise Valley Soccer Club 2012 Boys Black,paradise valley soccer club 2012 boys black,Paradise Valley Soccer Club,3105,https://rankings.gotsport.com/teams/u14_96,az_boys_u14,2025-10-10T20:46:14.831631
97,Buckeye Soccer Club 2012 Boys Blue,buckeye soccer club 2012 boys blue,Buckeye Soccer Club,17661,https://rankings.gotsport.com/teams/u14_97,az_boys_u14,2025-10-10T20:46:14.831648
98,Chandler Soccer Club 2012 Boys Gold,chandler soccer club 2012 boys gold,Chandler Soccer Club,17745,https://rankings.gotsport.com/teams/u14_98,az_boys_u14,2025-10-10T20:46:14.831665
99,Fountain Hills Soccer Club 2012 Boys Black,fountain hills soccer club 2012 boys black,Fountain Hills Soccer Club,9157,https://rankings.gotsport.com/teams/u14_99,az_boys_u14,2025-10-10T20:46:14.831690
100,Cave Creek Soccer Club 2012 Boys Gold,cave creek soccer club 2012 boys gold,Cave Creek Soccer Club,27821,https://rankings.gotsport.com/teams/u14_100,az_boys_u14,2025-10-10T20:46:14.831711
