Rank,TeamName,TeamCanonical,Club,Points,TeamURL,Division,ScrapeDate
14,Surprise Soccer Club 2016 Boys Red,surprise soccer club 2016 boys red,Surprise Soccer Club,11572,https://rankings.gotsport.com/teams/u10_14,az_boys_u10,2025-10-10T20:38:08.679437
15,FC Elite Arizona 2016 Boys Black,fc elite arizona 2016 boys black,FC Elite Arizona,11722,https://rankings.gotsport.com/teams/u10_15,az_boys_u10,2025-10-10T20:38:08.679455
16,Avondale Soccer Club 2016 Boys White,avondale soccer club 2016 boys white,Avondale Soccer Club,18344,https://rankings.gotsport.com/teams/u10_16,az_boys_u10,2025-10-10T20:38:08.679472
17,Maricopa Soccer Club 2016 Boys Black,maricopa soccer club 2016 boys black,Maricopa Soccer Club,14637,https://rankings.gotsport.com/teams/u10_17,az_boys_u10,2025-10-10T20:38:08.679488
18,FC Elite Arizona 2016 Boys Blue,fc elite arizona 2016 boys blue,FC Elite Arizona,8885,https://rankings.gotsport.com/teams/u10_18,az_boys_u10,2025-10-10T20:38:08.679505
19,AZ Soccer Club 2016 Boys Red,az soccer club 2016 boys red,AZ Soccer Club,12747,https://rankings.gotsport.com/teams/u10_19,az_boys_u10,2025-10-10T20:38:08.679522
20,Peoria Soccer Club 2016 Boys Black,peoria soccer club 2016 boys black,Peoria Soccer Club,14399,https://rankings.gotsport.com/teams/u10_20,az_boys_u10,2025-10-10T20:38:08.679539
21,Mesa Soccer Club 2016 Boys Blue,mesa soccer club 2016 boys blue,Mesa Soccer Club,19241,https://rankings.gotsport.com/teams/u10_21,az_boys_u10,2025-10-10T20:38:08.679555
22,Scottsdale Soccer Club 2016 Boys White,scottsdale soccer club 2016 boys white,Scottsdale Soccer Club,11452,https://rankings.gotsport.com/teams/u10_22,az_boys_u10,2025-10-10T20:38:08.679573
23,AZ Soccer Club 2016 Boys Black,az soccer club 2016 boys black,AZ Soccer Club,8834,https://rankings.gotsport.com/teams/u10_23,az_boys_u10,2025-10-10T20:38:08.679591
24,Peoria Soccer Club 2016 Boys Gold,peoria soccer club 2016 boys gold,Peoria Soccer Club,4758,https://rankings.gotsport.com/teams/u10_24,az_boys_u10,2025-10-10T20:38:08.679608
25,Maricopa Soccer Club 2016 Boys Gold,maricopa soccer club 2016 boys gold,Maricopa Soccer Club,2818,https://rankings.gotsport.com/teams/u10_25,az_boys_u10,2025-10-10T20:38:08.679625
26,Chandler Soccer Club 2016 Boys Gold,chandler soccer club 2016 boys gold,Chandler Soccer Club,11875,https://rankings.gotsport.com/teams/u10_26,az_boys_u10,2025-10-10T20:38:08.679642
27,FC Tucson Youth Soccer 2016 Boys Gold,fc tucson youth soccer 2016 boys gold,FC Tucson Youth Soccer,17703,https://rankings.gotsport.com/teams/u10_27,az_boys_u10,2025-10-10T20:38:08.679659
28,Queen Creek Soccer Club 2016 Boys Blue,queen creek soccer club 2016 boys blue,Queen Creek Soccer Club,152,https://rankings.gotsport.com/teams/u10_28,az_boys_u10,2025-10-10T20:38:08.679676
29,Maricopa Soccer Club 2016 Boys Red,maricopa soccer club 2016 boys red,Maricopa Soccer Club,10672,https://rankings.gotsport.com/teams/u10_29,az_boys_u10,2025-10-10T20:38:08.679693
30,RSL-AZ West Valley 2016 Boys Red,rsl-az west valley 2016 boys red,RSL-AZ West Valley,24072,https://rankings.gotsport.com/teams/u10_30,az_boys_u10,2025-10-10T20:38:08.679710
31,Peoria Soccer Club 2016 Boys White,peoria soccer club 2016 boys white,Peoria Soccer Club,8884,https://rankings.gotsport.com/teams/u10_31,az_boys_u10,2025-10-10T20:38:08.679727
32,AZ Arsenal Soccer Club 2016 Boys Gold,az arsenal soccer club 2016 boys gold,AZ Arsenal Soccer Club,24235,https://rankings.gotsport.com/teams/u10_32,az_boys_u10,2025-10-10T20:38:08.679754
33,RSL-AZ West Valley 2016 Boys White,rsl-az west valley 2016 boys white,RSL-AZ West Valley,16008,https://rankings.gotsport.com/teams/u10_33,az_boys_u10,2025-10-10T20:38:08.679772
34,Chandler Soccer Club 2016 Boys Red,chandler soccer club 2016 boys red,Chandler Soccer Club,11248,https://rankings.gotsport.com/teams/u10_34,az_boys_u10,2025-10-10T20:38:08.679789
35,Queen Creek Soccer Club 2016 Boys White,queen creek soccer club 2016 boys white,Queen Creek Soccer Club,24574,https://rankings.gotsport.com/teams/u10_35,az_boys_u10,2025-10-10T20:38:08.679807
36,Buckeye Soccer Club 2016 Boys Blue,buckeye soccer club 2016 boys blue,Buckeye Soccer Club,2148,https://rankings.gotsport.com/teams/u10_36,az_boys_u10,2025-10-10T20:38:08.679824
37,Maricopa Soccer Club 2016 Boys White,maricopa soccer club 2016 boys white,Maricopa Soccer Club,20748,https://rankings.gotsport.com/teams/u10_37,az_boys_u10,2025-10-10T20:38:08.679841
38,Glendale Soccer Club 2016 Boys White,glendale soccer club 2016 boys white,Glendale Soccer Club,8927,https://rankings.gotsport.com/teams/u10_38,az_boys_u10,2025-10-10T20:38:08.679858
39,Queen Creek Soccer Club 2016 Boys Blue,queen creek soccer club 2016 boys blue,Queen Creek Soccer Club,20280,https://rankings.gotsport.com/teams/u10_39,az_boys_u10,2025-10-10T20:38:08.679875
40,RSL-AZ Yuma 2016 Boys Red,rsl-az yuma 2016 boys red,RSL-AZ Yuma,6207,https://rankings.gotsport.com/teams/u10_40,az_boys_u10,2025-10-10T20:38:08.679892
41,Casa Grande Soccer Club 2016 Boys White,casa grande soccer club 2016 boys white,Casa Grande Soccer Club,8330,https://rankings.gotsport.com/teams/u10_41,az_boys_u10,2025-10-10T20:38:08.679909
42,Casa Grande Soccer Club 2016 Boys Gold,casa grande soccer club 2016 boys gold,Casa Grande Soccer Club,11516,https://rankings.gotsport.com/teams/u10_42,az_boys_u10,2025-10-10T20:38:08.679926
43,Phoenix Rising FC 2016 Boys Gold,phoenix rising fc 2016 boys gold,Phoenix Rising FC,7055,https://rankings.gotsport.com/teams/u10_43,az_boys_u10,2025-10-10T20:38:08.679944
44,Phoenix Premier FC 2016 Boys Black,phoenix premier fc 2016 boys black,Phoenix Premier FC,23105,https://rankings.gotsport.com/teams/u10_44,az_boys_u10,2025-10-10T20:38:08.679960
45,Gilbert Soccer Club 2016 Boys Black,gilbert soccer club 2016 boys black,Gilbert Soccer Club,10407,https://rankings.gotsport.com/teams/u10_45,az_boys_u10,2025-10-10T20:38:08.679979
46,RSL-AZ North 2016 Boys White,rsl-az north 2016 boys white,RSL-AZ North,9748,https://rankings.gotsport.com/teams/u10_46,az_boys_u10,2025-10-10T20:38:08.679995
47,Apache Junction Soccer Club 2016 Boys Red,apache junction soccer club 2016 boys red,Apache Junction Soccer Club,19110,https://rankings.gotsport.com/teams/u10_47,az_boys_u10,2025-10-10T20:38:08.680013
48,Desert SC 2016 Boys Blue,desert sc 2016 boys blue,Desert SC,22662,https://rankings.gotsport.com/teams/u10_48,az_boys_u10,2025-10-10T20:38:08.680094
49,RSL-AZ Yuma 2016 Boys Gold,rsl-az yuma 2016 boys gold,RSL-AZ Yuma,7750,https://rankings.gotsport.com/teams/u10_49,az_boys_u10,2025-10-10T20:38:08.680112
50,Paradise Valley Soccer Club 2016 Boys Blue,paradise valley soccer club 2016 boys blue,Paradise Valley Soccer Club,10680,https://rankings.gotsport.com/teams/u10_50,az_boys_u10,2025-10-10T20:38:08.680129
51,AZ Soccer Club 2016 Boys Red,az soccer club 2016 boys red,AZ Soccer Club,23949,https://rankings.gotsport.com/teams/u10_51,az_boys_u10,2025-10-10T20:38:08.680146
52,Buckeye Soccer Club 2016 Boys Black,buckeye soccer club 2016 boys black,Buckeye Soccer Club,20243,https://rankings.gotsport.com/teams/u10_52,az_boys_u10,2025-10-10T20:38:08.680163
53,Cave Creek Soccer Club 2016 Boys White,cave creek soccer club 2016 boys white,Cave Creek Soccer Club,952,https://rankings.gotsport.com/teams/u10_53,az_boys_u10,2025-10-10T20:38:08.680179
54,FC Tucson Youth Soccer 2016 Boys Gold,fc tucson youth soccer 2016 boys gold,FC Tucson Youth Soccer,8692,https://rankings.gotsport.com/teams/u10_54,az_boys_u10,2025-10-10T20:38:08.680197
55,Phoenix Rising FC 2016 Boys Red,phoenix rising fc 2016 boys red,Phoenix Rising FC,7464,https://rankings.gotsport.com/teams/u10_55,az_boys_u10,2025-10-10T20:38:08.680221
56,AZ Arsenal Soccer Club 2016 Boys Gold,az arsenal soccer club 2016 boys gold,AZ Arsenal Soccer Club,8180,https://rankings.gotsport.com/teams/u10_56,az_boys_u10,2025-10-10T20:38:08.680266
57,Chandler Soccer Club 2016 Boys Blue,chandler soccer club 2016 boys blue,Chandler Soccer Club,5105,https://rankings.gotsport.com/teams/u10_57,az_boys_u10,2025-10-10T20:38:08.680285
58,Glendale Soccer Club 2016 Boys Black,glendale soccer club 2016 boys black,Glendale Soccer Club,8065,https://rankings.gotsport.com/teams/u10_58,az_boys_u10,2025-10-10T20:38:08.680302
59,Peoria Soccer Club 2016 Boys Gold,peoria soccer club 2016 boys gold,Peoria Soccer Club,16354,https://rankings.gotsport.com/teams/u10_59,az_boys_u10,2025-10-10T20:38:08.680322
60,Queen Creek Soccer Club 2016 Boys Gold,queen creek soccer club 2016 boys gold,Queen Creek Soccer Club,14137,https://rankings.gotsport.com/teams/u10_60,az_boys_u10,2025-10-10T20:38:08.680339
61,Tempe Soccer Club 2016 Boys White,tempe soccer club 2016 boys white,Tempe Soccer Club,5405,https://rankings.gotsport.com/teams/u10_61,az_boys_u10,2025-10-10T20:38:08.680358
62,RSL-AZ South 2016 Boys Gold,rsl-az south 2016 boys gold,RSL-AZ South,6322,https://rankings.gotsport.com/teams/u10_62,az_boys_u10,2025-10-10T20:38:08.680376
63,Scottsdale Soccer Club 2016 Boys Gold,scottsdale soccer club 2016 boys gold,Scottsdale Soccer Club,9054,https://rankings.gotsport.com/teams/u10_63,az_boys_u10,2025-10-10T20:38:08.680393
64,Mesa Soccer Club 2016 Boys Gold,mesa soccer club 2016 boys gold,Mesa Soccer Club,2690,https://rankings.gotsport.com/teams/u10_64,az_boys_u10,2025-10-10T20:38:08.680410
65,RSL-AZ West Valley 2016 Boys Red,rsl-az west valley 2016 boys red,RSL-AZ West Valley,24728,https://rankings.gotsport.com/teams/u10_65,az_boys_u10,2025-10-10T20:38:08.680493
66,Fountain Hills Soccer Club 2016 Boys Red,fountain hills soccer club 2016 boys red,Fountain Hills Soccer Club,12153,https://rankings.gotsport.com/teams/u10_66,az_boys_u10,2025-10-10T20:38:08.680518
67,Fountain Hills Soccer Club 2016 Boys Blue,fountain hills soccer club 2016 boys blue,Fountain Hills Soccer Club,21584,https://rankings.gotsport.com/teams/u10_67,az_boys_u10,2025-10-10T20:38:08.680535
68,Paradise Valley Soccer Club 2016 Boys Gold,paradise valley soccer club 2016 boys gold,Paradise Valley Soccer Club,18764,https://rankings.gotsport.com/teams/u10_68,az_boys_u10,2025-10-10T20:38:08.680552
69,RSL-AZ Yuma 2016 Boys Gold,rsl-az yuma 2016 boys gold,RSL-AZ Yuma,11092,https://rankings.gotsport.com/teams/u10_69,az_boys_u10,2025-10-10T20:38:08.680569
70,Cave Creek Soccer Club 2016 Boys White,cave creek soccer club 2016 boys white,Cave Creek Soccer Club,3076,https://rankings.gotsport.com/teams/u10_70,az_boys_u10,2025-10-10T20:38:08.680586
71,RSL-AZ West Valley 2016 Boys Gold,rsl-az west valley 2016 boys gold,RSL-AZ West Valley,15944,https://rankings.gotsport.com/teams/u10_71,az_boys_u10,2025-10-10T20:38:08.680603
72,FC Tucson Youth Soccer 2016 Boys Red,fc tucson youth soccer 2016 boys red,FC Tucson Youth Soccer,24699,https://rankings.gotsport.com/teams/u10_72,az_boys_u10,2025-10-10T20:38:08.680620
73,Casa Grande Soccer Club 2016 Boys Red,casa grande soccer club 2016 boys red,Casa Grande Soccer Club,22824,https://rankings.gotsport.com/teams/u10_73,az_boys_u10,2025-10-10T20:38:08.680636
74,Fountain Hills Soccer Club 2016 Boys White,fountain hills soccer club 2016 boys white,Fountain Hills Soccer Club,10353,https://rankings.gotsport.com/teams/u10_74,az_boys_u10,2025-10-10T20:38:08.680653
75,RSL-AZ North 2016 Boys Black,rsl-az north 2016 boys black,RSL-AZ North,5601,https://rankings.gotsport.com/teams/u10_75,az_boys_u10,2025-10-10T20:38:08.680669
76,Gilbert Soccer Club 2016 Boys White,gilbert soccer club 2016 boys white,Gilbert Soccer Club,21237,https://rankings.gotsport.com/teams/u10_76,az_boys_u10,2025-10-10T20:38:08.680690
77,Queen Creek Soccer Club 2016 Boys Blue,queen creek soccer club 2016 boys blue,Queen Creek Soccer Club,5179,https://rankings.gotsport.com/teams/u10_77,az_boys_u10,2025-10-10T20:38:08.680706
78,Chandler Soccer Club 2016 Boys Gold,chandler soccer club 2016 boys gold,Chandler Soccer Club,24768,https://rankings.gotsport.com/teams/u10_78,az_boys_u10,2025-10-10T20:38:08.680723
79,Desert SC 2016 Boys White,desert sc 2016 boys white,Desert SC,24689,https://rankings.gotsport.com/teams/u10_79,az_boys_u10,2025-10-10T20:38:08.680740
80,Paradise Valley Soccer Club 2016 Boys Blue,paradise valley soccer club 2016 boys blue,Paradise Valley Soccer Club,1478,https://rankings.gotsport.com/teams/u10_80,az_boys_u10,2025-10-10T20:38:08.680756
81,FC Tucson Youth Soccer 2016 Boys White,fc tucson youth soccer 2016 boys white,FC Tucson Youth Soccer,11694,https://rankings.gotsport.com/teams/u10_81,az_boys_u10,2025-10-10T20:38:08.680773
82,Glendale Soccer Club 2016 Boys Black,glendale soccer club 2016 boys black,Glendale Soccer Club,18178,https://rankings.gotsport.com/teams/u10_82,az_boys_u10,2025-10-10T20:38:08.680790
83,FC Tucson Youth Soccer 2016 Boys Red,fc tucson youth soccer 2016 boys red,FC Tucson Youth Soccer,24779,https://rankings.gotsport.com/teams/u10_83,az_boys_u10,2025-10-10T20:38:08.680807
84,Buckeye Soccer Club 2016 Boys Gold,buckeye soccer club 2016 boys gold,Buckeye Soccer Club,13278,https://rankings.gotsport.com/teams/u10_84,az_boys_u10,2025-10-10T20:38:08.680824
85,Gilbert Soccer Club 2016 Boys Gold,gilbert soccer club 2016 boys gold,Gilbert Soccer Club,429,https://rankings.gotsport.com/teams/u10_85,az_boys_u10,2025-10-10T20:38:08.680840
86,Surprise Soccer Club 2016 Boys Blue,surprise soccer club 2016 boys blue,Surprise Soccer Club,11515,https://rankings.gotsport.com/teams/u10_86,az_boys_u10,2025-10-10T20:38:08.680856
87,Gilbert Soccer Club 2016 Boys Blue,gilbert soccer club 2016 boys blue,Gilbert Soccer Club,17622,https://rankings.gotsport.com/teams/u10_87,az_boys_u10,2025-10-10T20:38:08.680872
88,RSL-AZ North 2016 Boys Black,rsl-az north 2016 boys black,RSL-AZ North,12758,https://rankings.gotsport.com/teams/u10_88,az_boys_u10,2025-10-10T20:38:08.680889
89,Glendale Soccer Club 2016 Boys Blue,glendale soccer club 2016 boys blue,Glendale Soccer Club,14201,https://rankings.gotsport.com/teams/u10_89,az_boys_u10,2025-10-10T20:38:08.680905
90,Phoenix Premier FC 2016 Boys Red,phoenix premier fc 2016 boys red,Phoenix Premier FC,12082,https://rankings.gotsport.com/teams/u10_90,az_boys_u10,2025-10-10T20:38:08.680924
91,Scottsdale Soccer Club 2016 Boys Blue,scottsdale soccer club 2016 boys blue,Scottsdale Soccer Club,6490,https://rankings.gotsport.com/teams/u10_91,az_boys_u10,2025-10-10T20:38:08.680941
92,FC Tucson Youth Soccer 2016 Boys Gold,fc tucson youth soccer 2016 boys gold,FC Tucson Youth Soccer,165,https://rankings.gotsport.com/teams/u10_92,az_boys_u10,2025-10-10T20:38:08.680958
93,AZ Arsenal Soccer Club 2016 Boys Blue,az arsenal soccer club 2016 boys blue,AZ Arsenal Soccer Club,17728,https://rankings.gotsport.com/teams/u10_93,az_boys_u10,2025-10-10T20:38:08.680974
94,Valley United FC 2016 Boys White,valley united fc 2016 boys white,Valley United FC,19353,https://rankings.gotsport.com/teams/u10_94,az_boys_u10,2025-10-10T20:38:08.680991
95,Casa Grande Soccer Club 2016 Boys Blue,casa grande soccer club 2016 boys blue,Casa Grande Soccer Club,5898,https://rankings.gotsport.com/teams/u10_95,az_boys_u10,2025-10-10T20:38:08.681007
96,RSL-AZ South 2016 Boys Blue,rsl-az south 2016 boys blue,RSL-AZ South,5321,https://rankings.gotsport.com/teams/u10_96,az_boys_u10,2025-10-10T20:38:08.681024
97,Goodyear Soccer Club 2016 Boys Gold,goodyear soccer club 2016 boys gold,Goodyear Soccer Club,14953,https://rankings.gotsport.com/teams/u10_97,az_boys_u10,2025-10-10T20:38:08.681040
98,Cave Creek Soccer Club 2016 Boys Black,cave creek soccer club 2016 boys black,Cave Creek Soccer Club,4207,https://rankings.gotsport.com/teams/u10_98,az_boys_u10,2025-10-10T20:38:08.681056
99,Fountain Hills Soccer Club 2016 Boys White,fountain hills soccer club 2016 boys white,Fountain Hills Soccer Club,8397,https://rankings.gotsport.com/teams/u10_99,az_boys_u10,2025-10-10T20:38:08.681072
100,Goodyear Soccer Club 2016 Boys Black,goodyear soccer club 2016 boys black,Goodyear Soccer Club,7132,https://rankings.gotsport.com/teams/u10_100,az_boys_u10,2025-10-10T20:38:08.681090
101,RSL-AZ Yuma 2016 Boys Gold,rsl-az yuma 2016 boys gold,RSL-AZ Yuma,5423,https://rankings.gotsport.com/teams/u10_101,az_boys_u10,2025-10-10T20:38:08.681107
102,Phoenix Premier FC 2016 Boys Gold,phoenix premier fc 2016 boys gold,Phoenix Premier FC,20328,https://rankings.gotsport.com/teams/u10_102,az_boys_u10,2025-10-10T20:38:08.681123
103,Chandler Soccer Club 2016 Boys Blue,chandler soccer club 2016 boys blue,Chandler Soccer Club,18268,https://rankings.gotsport.com/teams/u10_103,az_boys_u10,2025-10-10T20:38:08.681141
104,Apache Junction Soccer Club 2016 Boys Red,apache junction soccer club 2016 boys red,Apache Junction Soccer Club,17051,https://rankings.gotsport.com/teams/u10_104,az_boys_u10,2025-10-10T20:38:08.681157
105,Casa Grande Soccer Club 2016 Boys Black,casa grande soccer club 2016 boys black,Casa Grande Soccer Club,8421,https://rankings.gotsport.com/teams/u10_105,az_boys_u10,2025-10-10T20:38:08.681174
106,Buckeye Soccer Club 2016 Boys Blue,buckeye soccer club 2016 boys blue,Buckeye Soccer Club,11968,https://rankings.gotsport.com/teams/u10_106,az_boys_u10,2025-10-10T20:38:08.681190
107,Casa Grande Soccer Club 2016 Boys Gold,casa grande soccer club 2016 boys gold,Casa Grande Soccer Club,15559,https://rankings.gotsport.com/teams/u10_107,az_boys_u10,2025-10-10T20:38:08.681206
108,Maricopa Soccer Club 2016 Boys Gold,maricopa soccer club 2016 boys gold,Maricopa Soccer Club,14365,https://rankings.gotsport.com/teams/u10_108,az_boys_u10,2025-10-10T20:38:08.681222
109,Queen Creek Soccer Club 2016 Boys Gold,queen creek soccer club 2016 boys gold,Queen Creek Soccer Club,982,https://rankings.gotsport.com/teams/u10_109,az_boys_u10,2025-10-10T20:38:08.681238
110,Gilbert Soccer Club 2016 Boys Blue,gilbert soccer club 2016 boys blue,Gilbert Soccer Club,11849,https://rankings.gotsport.com/teams/u10_110,az_boys_u10,2025-10-10T20:38:08.681255
111,FC Tucson Youth Soccer 2016 Boys Gold,fc tucson youth soccer 2016 boys gold,FC Tucson Youth Soccer,21560,https://rankings.gotsport.com/teams/u10_111,az_boys_u10,2025-10-10T20:38:08.681272
112,Queen Creek Soccer Club 2016 Boys Blue,queen creek soccer club 2016 boys blue,Queen Creek Soccer Club,15669,https://rankings.gotsport.com/teams/u10_112,az_boys_u10,2025-10-10T20:38:08.681288
113,Fountain Hills Soccer Club 2016 Boys Blue,fountain hills soccer club 2016 boys blue,Fountain Hills Soccer Club,10282,https://rankings.gotsport.com/teams/u10_113,az_boys_u10,2025-10-10T20:38:08.681306
114,Tempe Soccer Club 2016 Boys Black,tempe soccer club 2016 boys black,Tempe Soccer Club,19946,https://rankings.gotsport.com/teams/u10_114,az_boys_u10,2025-10-10T20:38:08.681323
115,AZ Soccer Club 2016 Boys White,az soccer club 2016 boys white,AZ Soccer Club,1088,https://rankings.gotsport.com/teams/u10_115,az_boys_u10,2025-10-10T20:38:08.681340
116,Chandler Soccer Club 2016 Boys Blue,chandler soccer club 2016 boys blue,Chandler Soccer Club,13516,https://rankings.gotsport.com/teams/u10_116,az_boys_u10,2025-10-10T20:38:08.681357
117,Gilbert Soccer Club 2016 Boys Red,gilbert soccer club 2016 boys red,Gilbert Soccer Club,12168,https://rankings.gotsport.com/teams/u10_117,az_boys_u10,2025-10-10T20:38:08.681373
118,Peoria Soccer Club 2016 Boys Black,peoria soccer club 2016 boys black,Peoria Soccer Club,21820,https://rankings.gotsport.com/teams/u10_118,az_boys_u10,2025-10-10T20:38:08.681390
119,Paradise Valley Soccer Club 2016 Boys White,paradise valley soccer club 2016 boys white,Paradise Valley Soccer Club,22697,https://rankings.gotsport.com/teams/u10_119,az_boys_u10,2025-10-10T20:38:08.681406
120,Mesa Soccer Club 2016 Boys Blue,mesa soccer club 2016 boys blue,Mesa Soccer Club,2039,https://rankings.gotsport.com/teams/u10_120,az_boys_u10,2025-10-10T20:38:08.681423
