Team A,Team B,Score A,Score B,Date,Competition,SourceURL
desert 2016 white,maricopa soccer club 2016 red,1,0,2025-06-18,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,tucson youth soccer 2016 gold,4,0,2025-09-19,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,rsl-az yuma 2016 gold,2,3,2025-04-26,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,casa grande soccer club 2016 red,2,1,2025-06-23,League Play,https://rankings.gotsport.com/teams/u10_6
rsl-az west valley 2016 black,az soccer club 2016 red,0,4,2025-06-18,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,avondale soccer club 2016 red,2,4,2025-02-20,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,phoenix premier 2016 gold,0,0,2025-03-28,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,rsl-az west valley 2016 gold,2,4,2025-02-08,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,maricopa soccer club 2016 white,1,1,2025-03-01,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,avondale soccer club 2016 white,3,0,2025-06-01,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,az arsenal soccer club 2016 blue,0,4,2025-09-06,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,desert 2016 white,1,3,2025-08-15,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,queen creek soccer club 2016 gold,0,4,2025-03-26,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,az soccer club 2016 red,2,0,2025-07-21,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,chandler soccer club 2016 blue,0,1,2025-07-20,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,goodyear soccer club 2016 gold,4,4,2025-01-16,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,goodyear soccer club 2016 black,1,0,2025-09-21,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,paradise valley soccer club 2016 gold,1,0,2025-01-03,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,gilbert soccer club 2016 blue,4,1,2025-08-03,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,peoria soccer club 2016 black,4,4,2025-09-23,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,chandler soccer club 2016 blue,2,2,2025-04-19,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,cave creek soccer club 2016 white,4,2,2025-04-28,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,peoria soccer club 2016 gold,4,2,2025-04-16,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,tucson youth soccer 2016 red,2,0,2025-02-06,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,rsl-az south 2016 blue,2,3,2025-01-12,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,peoria soccer club 2016 black,0,3,2025-08-13,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,casa grande soccer club 2016 white,2,3,2025-03-29,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,scottsdale soccer club 2016 black,4,3,2025-02-28,League Play,https://rankings.gotsport.com/teams/u10_7
rsl-az west valley 2016 black,rsl-az north 2016 white,2,0,2025-02-26,League Play,https://rankings.gotsport.com/teams/u10_7
buckeye soccer club 2016 black,chandler soccer club 2016 gold,2,2,2025-05-22,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,cave creek soccer club 2016 black,1,0,2025-09-10,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,fountain hills soccer club 2016 red,1,3,2025-08-17,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,az arsenal soccer club 2016 blue,0,1,2025-01-07,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,fountain hills soccer club 2016 blue,3,1,2025-09-24,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,chandler soccer club 2016 blue,2,1,2025-03-23,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,desert 2016 blue,4,1,2024-12-18,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,gilbert soccer club 2016 gold,3,4,2025-03-07,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,queen creek soccer club 2016 blue,4,0,2025-09-07,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,maricopa soccer club 2016 white,2,4,2025-04-16,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,fountain hills soccer club 2016 white,3,0,2025-08-13,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,casa grande soccer club 2016 gold,2,2,2025-02-02,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,casa grande soccer club 2016 red,2,2,2024-12-27,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,desert 2016 white,3,3,2025-10-08,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,az arsenal soccer club 2016 gold,0,2,2025-01-24,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,casa grande soccer club 2016 red,1,0,2025-05-22,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,apache junction soccer club 2016 red,1,2,2025-09-22,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,paradise valley soccer club 2016 white,4,1,2025-09-03,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,rsl-az north 2016 white,1,1,2025-03-05,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,rsl-az north 2016 blue,3,3,2025-03-15,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,queen creek soccer club 2016 gold,0,2,2024-12-25,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,goodyear soccer club 2016 gold,1,4,2025-04-01,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,queen creek soccer club 2016 blue,1,0,2025-04-24,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,rsl-az north 2016 black,3,2,2025-06-02,League Play,https://rankings.gotsport.com/teams/u10_8
buckeye soccer club 2016 black,tempe soccer club 2016 white,3,0,2025-08-24,League Play,https://rankings.gotsport.com/teams/u10_8
rsl-az north 2016 white,scottsdale soccer club 2016 gold,0,1,2025-02-13,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,desert 2016 white,3,1,2025-01-24,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,buckeye soccer club 2016 blue,1,2,2025-09-10,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,buckeye soccer club 2016 black,4,2,2025-05-07,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,chandler soccer club 2016 gold,2,1,2025-06-10,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,rsl-az west valley 2016 white,2,3,2025-07-27,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,az arsenal soccer club 2016 blue,4,4,2024-12-26,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,mesa soccer club 2016 blue,0,3,2025-03-18,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,chandler soccer club 2016 blue,3,2,2025-04-03,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,rsl-az west valley 2016 red,1,1,2025-09-18,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,chandler soccer club 2016 blue,3,3,2025-02-26,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,goodyear soccer club 2016 gold,4,1,2025-03-03,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,gilbert soccer club 2016 white,0,1,2025-07-04,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,phoenix premier 2016 red,1,1,2025-01-05,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,cave creek soccer club 2016 white,3,4,2025-09-27,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,apache junction soccer club 2016 red,2,3,2025-01-23,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,tempe soccer club 2016 white,3,3,2025-02-14,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,rsl-az west valley 2016 red,3,2,2025-01-28,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,peoria soccer club 2016 white,2,0,2025-01-11,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,scottsdale soccer club 2016 blue,1,2,2025-07-06,League Play,https://rankings.gotsport.com/teams/u10_9
rsl-az north 2016 white,buckeye soccer club 2016 black,4,1,2025-06-07,League Play,https://rankings.gotsport.com/teams/u10_9
