Rank,Team,PowerScore,Off_norm,Def_norm,GamesPlayed
98,Vail SC 2015 Boys Blue,0.453,0.6888888888888888,0.9,30
99,Canyon Del Oro Soccer Club 2015 Boys Red,0.447,0.31111111111111106,0.3499999999999999,30
100,Dynamos SC 2015 Boys White,0.447,0.37777777777777777,0.4499999999999999,30
101,FC Sonora 2015 Boys Black,0.44,0.5333333333333332,0.7000000000000001,30
102,Paladin Soccer Club 2015 Boys White,0.437,0.44444444444444436,0.5750000000000002,30
103,Paris Saint-Germain Academy Phoenix 2015 Boys Blue,0.437,0.37777777777777777,0.47500000000000014,30
104,Flagstaff SC 2015 Boys,0.437,0.37777777777777777,0.47500000000000014,30
105,Bala FC 2015 Boys Blue,0.42,0.5333333333333332,0.7499999999999999,30
106,RSL-AZ South 2015 Boys White,0.417,0.5111111111111111,0.725,30
107,Epic Soccer Club 2015 Boys Red,0.413,0.2888888888888889,0.3999999999999999,30
108,United Latinos SC 2015 Boys White,0.41,0.5333333333333332,0.7750000000000001,30
109,Kingman SC 2015 Boys,0.41,0.20000000000000004,0.275,30
110,FBSL 2015 Boys Blue,0.407,0.31111111111111106,0.4499999999999999,30
111,Phoenix Premier FC 2015 Boys Blue,0.4,0.20000000000000004,0.29999999999999993,30
112,Thunderbird FC 2015 Boys Blue,0.4,0.3999999999999999,0.6000000000000001,30
113,FC Batavia 2015 Boys,0.39,0.3999999999999999,0.625,30
114,East Valley/NSFC 2015 Boys,0.383,0.4222222222222222,0.6750000000000002,30
115,AYSO 350 Alliance 2015 Boys Blue,0.367,0.31111111111111106,0.5499999999999999,30
116,CCV STARS 2015 Boys White,0.367,0.5111111111111111,0.8500000000000002,30
117,Scottsdale City FC 2015 Boys Black,0.363,0.35555555555555546,0.625,30
118,RSL-AZ South 2015 Boys Blue,0.363,0.35555555555555546,0.625,30
119,Sun Warriors AZFC 2015 Boys Blue,0.33,0.06666666666666658,0.275,30
120,Spartak Academy 2015 Boys Blue,0.327,0.31111111111111106,0.6499999999999999,30
121,RSL-AZ North 2015 Boys Red,0.323,0.35555555555555546,0.725,30
122,AZ Arsenal Soccer Club 2015 Boys Red,0.303,0.2888888888888889,0.6750000000000002,30
123,Excel Soccer Academy 2015 Boys White,0.287,0.24444444444444446,0.6499999999999999,30
124,Dynamos SC 2015 Boys Blue,0.283,0.2888888888888889,0.725,30
125,Sun Warriors AZFC 2015 Boys Black,0.28,0.1333333333333333,0.5000000000000001,30
126,Epic Soccer Club 2015 Boys White,0.28,0.4666666666666666,1.0,30
127,Thunderbird FC 2015 Boys White,0.277,0.31111111111111106,0.7750000000000001,30
128,Synergy FC AZ 2015 Boys Blue,0.233,0.35555555555555546,0.9500000000000002,30
129,Next Level Soccer (AZ) 2015 Boys,0.2,0.0,0.5000000000000001,30
130,Synergy FC AZ 2015 Boys Black,0.127,0.11111111111111101,0.8500000000000002,30
