Team,Goals For,Opponent,Goals Against,Date
AZ Arsenal 14 Boys Teal SC,1,CCV Stars 14 Boys North Orange,3,2024-10-13
AZ Arsenal 14 Boys Teal SC,4,14B GSA,5,2024-10-13
AZ Arsenal 14 Boys Teal SC,1,14 Boys Navy,3,2024-10-13
AZ Arsenal 14 Boys Teal SC,7,U-12 (2014) Boys Pre Academy Blue,2,2024-10-12
AZ Arsenal 14 Boys Teal SC,10,2014 Rush Boys,0,2024-10-12
AZ Arsenal 14 Boys Teal SC,10,2014 Rush Boys,0,2024-10-12
AZ Arsenal 14 Boys Teal SC,6,PRFC Scottsdale 14B Pre-Academy,3,2024-10-12
AZ Arsenal 14 Boys Teal SC,6,14B Midhaan,4,2024-10-11
AZ Arsenal 14 Boys Teal SC,1,Northwest 2014 Boys,1,2024-09-28
AZ Arsenal 14 Boys Teal SC,3,2014 Rush Boys,2,2024-09-28
AZ Arsenal 14 Boys Teal SC,3,2014 Rush Boys,2,2024-09-28
AZ Arsenal 14 Boys Teal SC,2,Southeast 2014 Boys Red,4,2024-09-28
AZ Arsenal 14 Boys Teal SC,2,Tuzos Royals 2014,2,2024-09-27
AZ Arsenal 14 Boys Teal SC,5,CAC 14/15B (Conroy),0,2024-09-22
AZ Arsenal 14 Boys Teal SC,1,14B NL #2,0,2024-09-22
AZ Arsenal 14 Boys Teal SC,5,CAC 14/15B (Conroy),0,2024-09-22
AZ Arsenal 14 Boys Teal SC,2,CDO 14B Elite,0,2024-09-21
AZ Arsenal 14 Boys Teal SC,2,CDO 14B Elite,0,2024-09-21
AZ Arsenal 14 Boys Teal SC,4,14B Geoff,4,2024-09-21
AZ Arsenal 14 Boys Teal SC,6,PRFC Desert Foothills 14B Predator,3,2024-09-14
AZ Arsenal 14 Boys Teal SC,6,PRFC Desert Foothills 14B Predator,3,2024-09-14
AZ Arsenal 14 Boys Teal SC,5,Madison FC 14 Blue Boys,1,2024-09-13
AZ Arsenal 14 Boys Teal SC,5,Madison FC 14 Blue Boys,1,2024-09-13
AZ Arsenal 14 Boys Teal SC,0,PRFC Desert Foothills 14B Pre-Academy,5,2024-09-07
AZ Arsenal Pre-ECNL B14,3,14B GSA,0,2025-09-28
AZ Arsenal Pre-ECNL B14,3,SCFC - 2014,0,2025-09-28
AZ Arsenal Pre-ECNL B14,2,Southeast 2014 Boys Green,1,2025-09-27
AZ Arsenal Pre-ECNL B14,11,Phoenix Premier FC 14B Black,1,2025-09-27
AZ Arsenal Pre-ECNL B14,6,2014B West,2,2025-09-27
AZ Arsenal Pre-ECNL B14,8,PRFC Scottsdale 14B Pre-Academy,0,2025-08-31
AZ Arsenal Pre-ECNL B14,10,AZ Arsenal 14 Boys Teal CB,1,2025-07-20
AZ Arsenal Pre-ECNL B14,11,AZ Arsenal 14 Boys Teal CB,1,2025-07-19
AZ Arsenal Pre-ECNL B14,12,PRFC Southeast Valley 14B Predator,3,2025-07-19
AZ Arsenal Pre-ECNL B14,1,Legends FC AZ 14B Black,3,2025-05-03
AZ Arsenal Pre-ECNL B14,1,Dynamos SC 14B SC,3,2025-05-03
AZ Arsenal Pre-ECNL B14,1,14B Antunez Pre-MLS Next,0,2025-04-27
AZ Arsenal Pre-ECNL B14,2,AZSC 14B Perez,1,2025-04-26
AZ Arsenal Pre-ECNL B14,3,14B GSA,4,2025-04-13
AZ Arsenal Pre-ECNL B14,1,14B GSA,5,2025-04-13
AZ Arsenal Pre-ECNL B14,4,PRFC West Valley 14B Predator,0,2025-04-13
AZ Arsenal Pre-ECNL B14,4,PSG 14B Blue,2,2025-04-12
AZ Arsenal Pre-ECNL B14,8,PRFC North Valley 14B Copa,1,2025-04-12
AZ Arsenal Pre-ECNL B14,1,2014 Elite,8,2025-04-12
AZ Arsenal Pre-ECNL B14,2,Tuzos Royals 2014,3,2025-04-12
AZ Arsenal Pre-ECNL B14,3,NOS Santos 14 Boys Blue,5,2025-04-11
AZ Arsenal Pre-ECNL B14,3,East Valley NSFC 14 Boys Aguirre,2,2025-04-04
AZ Arsenal Pre-ECNL B14,3,Madison FC 14 Blue Boys,1,2025-03-22
AZ Arsenal Pre-ECNL B14,1,Phoenix Premier FC 14B Black,4,2025-03-22
AZ Arsenal Pre-ECNL B14,0,PRFC North Valley 14B PreAcademy,4,2025-03-02
AZ Arsenal Pre-ECNL B14,3,Playmaker Futbol Academy PRE-ECNL B14,0,2025-03-01
AZ Arsenal Pre-ECNL B14,3,Playmaker Futbol Academy 14B Black,0,2025-03-01
AZ Arsenal Pre-ECNL B14,1,AZSC 14B Perez,7,2025-02-09
AZ Arsenal Pre-ECNL B14,1,U-12 (2014) Boys Yuma Pre Academy,0,2025-02-08
AZ Arsenal Pre-ECNL B14,2,AZSC 14B Perez,2,2025-02-06
AZ Arsenal Pre-ECNL B14,2,14B Rayados Blue AL,2,2025-02-02
AZ Arsenal Pre-ECNL B14,2,CCV Stars 14 Boys South Pre-ECNL,0,2025-02-01
AZ Arsenal Pre-ECNL B14,5,PRFC Southeast Valley 14B Predator-Central,1,2025-02-01
AZ Arsenal Pre-ECNL B14,4,PRFC West Valley 14B Pre-Academy,1,2025-02-01
AZ Arsenal Pre-ECNL B14,4,Southeast 2014 Boys Red,6,2025-01-26
AZ Arsenal Pre-ECNL B14,4,Southeast 2014 Boys Red,6,2025-01-26
AZ Arsenal Pre-ECNL B14,4,U-12 (2014) Boys Yuma Pre Academy,3,2025-01-25
AZ Arsenal Pre-ECNL B14,2,PRFC North Valley 14B Predator,1,2025-01-25
AZ Arsenal Pre-ECNL B14,3,Brazas 2014 Boys Black Marcos,0,2025-01-25
AZ Arsenal Pre-ECNL B14,3,East Valley NSFC 14 Boys Aguirre,5,2025-01-24
AZ Arsenal Pre-ECNL B14,5,PRFC Scottsdale 14B Predator,2,2025-01-11
AZ Arsenal Pre-ECNL B14,3,Phoenix Premier FC 14B Black,2,2025-01-05
AZ Arsenal Pre-ECNL B14,3,AZ Arsenal 14 Boys Teal SC,6,2025-01-04
AZ Arsenal Pre-ECNL B14,7,14 Pre-MLSN #1,1,2024-12-08
AZ Arsenal Pre-ECNL B14,2,Dynamos SC 14B SC,3,2024-12-06
AZ Arsenal Pre-ECNL B14,2,Legends FC AZ 14B Black,3,2024-12-06
AZ Arsenal Pre-ECNL B14,6,State 48 FC Avondale 14 White,1,2024-11-09
AZ Arsenal Pre-ECNL B14,1,14B GSA,4,2024-11-03
AZ Arsenal Pre-ECNL B14,2,Northwest 2014 Boys,1,2024-11-03
AZ Arsenal Pre-ECNL B14,3,Tuzos Academy Mesa 2014,3,2024-11-02
AZ Arsenal Pre-ECNL B14,5,14B Engilman,3,2024-11-01
AZ Arsenal Pre-ECNL B14,5,14B Negrete Pre MLS Next,1,2024-10-26
AZ Arsenal Pre-ECNL B14,7,14 Pre-MLSN #2,2,2024-10-20
AZ Arsenal Pre-ECNL B14,4,Excel Soccer Academy 14B Red,1,2024-10-19
AZ Arsenal Pre-ECNL B14,4,Excel Soccer Academy 14B Red,1,2024-10-19
AZ Arsenal Pre-ECNL B14,6,Brazas 2014 Boys Black Marcos,1,2024-10-13
AZ Arsenal Pre-ECNL B14,7,PRFC North Valley 14B PreAcademy,1,2024-10-12
AZ Arsenal Pre-ECNL B14,13,Northwest 2014 Boys,0,2024-10-11
AZ Arsenal Pre-ECNL B14,13,Northwest 2014 Boys,0,2024-10-11
AZ Arsenal Pre-ECNL B14,5,14B Antunez Pre-MLS Next,1,2024-10-04
AZ Arsenal Pre-ECNL B14,2,Southeast 2014 Boys Red,1,2024-09-28
AZ Arsenal Pre-ECNL B14,2,Southeast 2014 Boys Red,1,2024-09-28
AZ Arsenal Pre-ECNL B14,1,Tuzos Royals 2014,2,2024-09-28
AZ Arsenal Pre-ECNL B14,4,Northwest 2014 Boys,0,2024-09-27
AZ Arsenal Pre-ECNL B14,4,Northwest 2014 Boys,0,2024-09-27
AZ Arsenal Pre-ECNL B14,0,Legends FC AZ 14B Black,5,2024-09-27
AZ Arsenal Pre-ECNL B14,5,CCV Stars 14 Boys West Pre-ECNL,0,2024-09-21
AZ Arsenal Pre-ECNL B14,2,14B JDeutsch Pre-MLS Next,3,2024-09-20
AZ Arsenal Pre-ECNL B14,2,14B Velasco,3,2024-09-20
AZ Inferno 14 Boys Black,2,2014 Rush Boys,1,2025-10-04
AZ Inferno 14 Boys Black,2,PRFC West Valley 14B Predator,1,2025-09-13
AZ Inferno 14 Boys Black,10,Select 14B,4,2025-09-06
AZ Inferno 14 Boys Black,0,PRFC Southeast Valley 14B Pre-Academy,5,2025-08-31
AZ Inferno 14 Boys Black,0,PSG 14B Blue,3,2025-08-30
AZ Inferno 14 Boys Black,0,FC Elite Arizona 2014 Boys - Urbina,1,2025-08-29
AZ Inferno 14 Boys Black,1,Tuzos Royals 2014,4,2025-04-27
AZ Inferno 14 Boys Black,3,Phoenix Premier FC 14B SW Black,2,2025-04-26
AZ Inferno 14 Boys Black,3,Phoenix Premier FC 14B SW Black,2,2025-04-26
AZ Inferno 14 Boys Black,1,Scottsdale 14 Sandsharks Black,2,2025-04-26
AZ Inferno 14 Boys Black,2,Dynamos SC 14B Gold,7,2025-03-29
AZ Inferno 14 Boys Black,2,SFC XOLOS ARIZONA 2014,6,2025-03-29
AZ Inferno 14 Boys Black,6,AZ Arsenal 14 Boys Teal SC,1,2025-03-16
AZ Inferno 14 Boys Black,6,AZ Arsenal 14 Boys Teal SC,1,2025-03-16
AZ Inferno 14 Boys Black,7,CCV Stars 14 Boys North Navy,1,2025-03-15
AZ Inferno 14 Boys Black,3,Playmaker Futbol Academy 14B Gold,6,2025-03-15
AZ Inferno 14 Boys Black,3,AZ Arsenal 14 Boys Teal CB,0,2025-03-01
AZ Inferno 14 Boys Black,17,East Valley NSFC 14 Boys Tiggs,3,2025-02-22
AZ Inferno 14 Boys Black,0,2014 Tuzos Academy FV,3,2025-02-22
AZ Inferno 14 Boys Black,0,AZSC 14B Perez,9,2025-02-08
AZ Inferno 14 Boys Black,1,U-12 (2014) Boys Pre Academy Blue,8,2025-02-06
AZ Inferno 14 Boys Black,5,Real Arizona 2014,2,2025-02-01
AZ Inferno 14 Boys Black,6,Playmaker Futbol Academy 14B Gold,0,2025-01-25
AZ Inferno 14 Boys Black,7,Synergy FC 14 B,4,2025-01-24
AZ Inferno 14 Boys Black,0,PRFC West Valley 14B Pre-Academy,1,2025-01-10
AZ Inferno 14 Boys Black,1,Tuzos Titanes 2014,1,2024-12-15
AZ Inferno 14 Boys Black,4,AZ Arsenal 14 Boys Teal CB,0,2024-12-14
AZ Inferno 14 Boys Black,7,AZ Arsenal 14 Boys Teal CB,0,2024-11-23
AZ Inferno 14 Boys Black,1,PRFC Southeast Valley 14B Predator-Central,3,2024-11-16
AZ Inferno 14 Boys Black,1,U-12 (2014) Boys Pre Academy Blue,7,2024-11-15
AZ Inferno 14 Boys Black,1,Select 14B,1,2024-11-09
AZ Inferno 14 Boys Black,1,AZSC 2014B Pre-NL Premier 2,2,2024-11-02
AZ Inferno 14 Boys Black,0,Phoenix United 2014 Academy,0,2024-10-12
AZ Inferno 14 Boys Black,0,Tuzos Royals 14 Pre-Academy,4,2024-10-12
AZ Inferno 14 Boys Black,3,14 Boys Navy,3,2024-09-28
AZ Inferno 14 Boys Black,3,CCV Stars 14 Boys South Orange,3,2024-09-28
AZ Inferno 14 Boys Black,5,Select 14B Red,0,2024-09-21
AZ Inferno 14 Boys Black,5,Select 14B Red,0,2024-09-21
AZ Inferno 14 Boys Black,1,RSL-AZ Yuma 14 Boys Rodriguez,2,2024-09-14
AZ Inferno 14 Boys Black,0,14B Velasco,3,2024-09-14
AZ Inferno 14 Boys Black,0,East Valley NSFC 14 Boys Aguirre,10,2024-09-13
AZ Inferno 14 Boys Black,0,Phoenix Valley Soccer Club boys 2014,3,2024-09-07
AZ Inferno 14 Boys Blue,4,Spartak Academy 2014 Boys,2,2025-10-04
AZ Inferno 14 Boys Blue,1,Tuzos Halcones 2014,7,2025-09-07
AZ Inferno 14 Boys Blue,3,Synergy FC 14 B,1,2025-09-06
AZ Inferno 14 Boys Blue,3,Spartak Academy 2014 Boys,5,2025-09-06
AZ Inferno 14 Boys Blue,0,PRFC Desert Foothills 14B Predator,2,2025-08-31
AZ Inferno 14 Boys Blue,1,14 Cityzens,3,2025-08-30
AZ Inferno 14 Boys Blue,2,PRFC Scottsdale 14B Copa,7,2025-08-29
AZ Thundercats 2014,3,Playmaker Futbol Academy 14B Black,0,2025-05-24
AZ Thundercats 2014,3,2014B West,1,2025-04-05
AZEV B2014 (NAVY),2,La Academia 14B,1,2025-10-04
AZEV B2014 (NAVY),5,PRFC West Valley 14B Predator,1,2025-09-27
AZEV B2014 (NAVY),2,PSC 2014B,1,2025-09-27
AZEV B2014 (NAVY),0,PSC 2014B,0,2025-09-26
AZEV B2014 (NAVY),8,PRFC West Valley 14B Predator,1,2025-09-24
AZEV B2014 (NAVY),6,Tuzos Chandler 2014 boys,4,2025-09-20
AZEV B2014 (NAVY),0,Phoenix Valley Soccer Club boys 2014,4,2025-09-20
AZEV B2014 (NAVY),1,NOS Santos 14 Boys Blue,4,2025-09-13
AZEV B2014 (NAVY),2,Madison FC 14 Gold Boys,4,2025-09-07
AZEV B2014 (NAVY),4,2014 Boys Blue,0,2025-09-06
AZEV B2014 (NAVY),1,Southeast 2014 Boys Red,2,2025-09-06
AZEV B2014 (NAVY),3,PRFC Desert Foothills 14B Pre-Academy,2,2025-09-06
AZEV B2014 (NAVY),7,RSL-AZ Yuma 14 Boys Rodriguez,1,2025-08-17
AZEV B2014 (NAVY),2,U-12 (2014) Boys Yuma Pre Academy,0,2025-06-15
AZEV B2014 (NAVY),0,Southeast 2014 Boys Red,5,2025-04-19
AZEV B2014 (NAVY),0,Southeast 2014 Boys Red,5,2025-04-19
AZEV B2014 (NAVY),1,AZ Arsenal 14 Boys Teal SC,0,2025-04-16
AZEV B2014 (NAVY),0,East Valley NSFC 14 Boys Aguirre,1,2025-04-14
AZEV B2014 (NAVY),4,AZ Arsenal 14 Boys Teal SC,2,2025-04-13
AZEV B2014 (NAVY),8,PRFC Southeast Valley 14B Predator,1,2025-04-13
AZEV B2014 (NAVY),1,AZ Arsenal 14 Boys Teal SC,1,2025-04-12
AZEV B2014 (NAVY),7,AZ Arsenal 14 Boys Teal SC,2,2025-04-11
AZEV B2014 (NAVY),7,AZ Arsenal 14 Boys Teal SC,2,2025-04-11
AZEV B2014 (NAVY),1,CCV Stars 14 Boys South Pre-ECNL,0,2025-03-09
AZEV B2014 (NAVY),6,East Valley NSFC 14 Boys Aguirre,2,2025-03-05
AZEV B2014 (NAVY),8,14B GSA,4,2025-03-01
AZEV B2014 (NAVY),7,PRFC Southeast Valley 14B Pre-Academy,0,2025-03-01
AZEV B2014 (NAVY),1,14B Velasco,0,2025-02-22
AZEV B2014 (NAVY),4,14B Engilman,0,2025-02-15
AZEV B2014 (NAVY),3,Tuzos Titanes 2014,0,2025-02-01
AZEV B2014 (NAVY),4,Dynamos SC 14B Gold,2,2025-01-25
AZEV B2014 (NAVY),4,CCV Stars 14 Boys North Orange,0,2025-01-12
AZEV B2014 (NAVY),4,14 Boys Navy,0,2025-01-12
AZEV B2014 (NAVY),1,14B Velasco,1,2025-01-11
AZEV B2014 (NAVY),1,Northwest 2014 Boys,0,2025-01-10
AZEV B2014 (NAVY),1,Northwest 2014 Boys,0,2025-01-10
AZEV B2014 (NAVY),6,PRFC Scottsdale 14B Pre-Academy,2,2024-12-15
AZEV B2014 (NAVY),4,PRFC North Valley 14B Predator,0,2024-12-15
AZEV B2014 (NAVY),0,East Valley NSFC 14 Boys Aguirre,0,2024-12-14
AZEV B2014 (NAVY),2,West Valley 2014 Boys Martinez Pre-Elite64,0,2024-12-07
AZEV B2014 (NAVY),8,PRFC North Valley 14B Predator,3,2024-11-24
AZEV B2014 (NAVY),8,CCV Stars 14 Boys South Pre-ECNL,1,2024-11-23
AZEV B2014 (NAVY),5,PRFC Southeast Valley 14B Predator,0,2024-11-22
AZEV B2014 (NAVY),4,PRFC North Valley 14B Predator,0,2024-11-16
AZEV B2014 (NAVY),8,Legends FC AZ 14B Black,0,2024-11-09
AZEV B2014 (NAVY),7,PRFC Southeast Valley 14B Pre-Academy,3,2024-10-26
AZEV B2014 (NAVY),2,PRFC Scottsdale 14B Pre-Academy,1,2024-10-26
AZEV B2014 (NAVY),4,PRFC Southeast Valley 14B Predator,1,2024-10-25
AZEV B2014 (NAVY),2,14B GSA,4,2024-10-19
AZEV B2014 (NAVY),5,Tuzos Halcones 2014,6,2024-10-05
AZEV B2014 (NAVY),2,Phoenix United 2014 Premier,0,2024-09-29
AZEV B2014 (NAVY),4,Phoenix Premier FC 14B SW Black,0,2024-09-28
AZEV B2014 (NAVY),4,Phoenix Premier FC 14B SW Black,0,2024-09-28
AZEV B2014 (NAVY),3,14 Cityzens,1,2024-09-27
AZEV B2014 (NAVY),5,Phoenix Premier FC 14B Black,0,2024-09-21
AZEV B2014 (NAVY),5,CCV Stars 14 Boys North Pre-ECNL,4,2024-09-02
AZEV B2014 (NAVY),1,Tuzos Royals 2014,1,2024-08-10
AZEV B2014 (WHITE),4,PSC 2014B,1,2025-09-27
AZEV B2014 (WHITE),7,PRFC West Valley 14B Predator,2,2025-09-26
AZEV B2014 (WHITE),0,Excel Soccer Academy 14B Black,4,2025-09-20
AZEV B2014 (WHITE),5,14B Rueda,2,2025-09-06
AZEV B2014 (WHITE),5,PRFC Southeast Valley 14B Predator,2,2025-07-14
AZEV B2014 (WHITE),7,La Academia 14B,6,2025-04-12
AZEV B2014 (WHITE),7,AZ Arsenal 14 Boys Teal CB,0,2025-04-12
AZEV B2014 (WHITE),3,Excel Soccer Academy 14B Black,1,2025-03-01
AZEV B2014 (WHITE),4,14B Laroussi,1,2025-02-22
AZEV B2014 (WHITE),8,Tuzos 2014 Nava,3,2025-02-15
AZEV B2014 (WHITE),9,SCUM East Valley 14B Ninjas,1,2025-02-08
AZEV B2014 (WHITE),6,PRFC North Valley 14B Copa,1,2025-02-01
AZEV B2014 (WHITE),3,NOS Santos 14 Boys White,1,2025-01-25
AZEV B2014 (WHITE),5,14B Felix Nogales,2,2025-01-18
AZEV B2014 (WHITE),1,VSC 2014 Boys White,1,2025-01-18
AZEV B2014 (WHITE),1,PSG 14B Blue,6,2025-01-11
AZEV B2014 (WHITE),9,Tuzos 2014 Nava,2,2024-12-17
AZEV B2014 (WHITE),2,FC Deportivo AZ 2014B (Gallegos),2,2024-11-10
AZEV B2014 (WHITE),3,PRFC West Valley 14B Predator,2,2024-11-09
AZEV B2014 (WHITE),2,Madison FC 14 Blue Boys,4,2024-11-02
AZEV B2014 (WHITE),9,PRFC Desert Foothills 14B Predator,0,2024-11-02
AZEV B2014 (WHITE),2,PRFC Southeast Valley 14B Predator,1,2024-10-26
AZEV B2014 (WHITE),4,AZ Arsenal 14 Boys Teal SC,4,2024-10-19
AZEV B2014 (WHITE),4,AZ Arsenal 14 Boys Teal SC,4,2024-10-19
AZEV B2014 (WHITE),1,Phoenix United 2014 Premier,4,2024-09-28
AZEV B2014 (WHITE),3,State 48 FC Avondale 14 Black,2,2024-09-28
AZEV B2014 (WHITE),3,State 48 FC Avondale 14 White,2,2024-09-28
AZEV B2014 (WHITE),6,2014 Rush Boys,2,2024-09-21
AZEV B2014 (WHITE),2,NOS Santos 14 Boys White,2,2024-09-14
AZEV B2014 (WHITE),0,Scottsdale 14 Sandsharks Select,4,2024-09-01
AZEV B2014 (WHITE),0,Scottsdale 14 Sandsharks Select,4,2024-09-01
AZEV B2014 (WHITE),6,AZ Arsenal 14 Boys Teal CB,1,2024-09-01
AZEV B2014 (WHITE),9,PRFC Scottsdale 14B Copa,1,2024-08-31
AZEV B2014 (WHITE),0,Scottsdale 14 Sandsharks Select,6,2024-08-30
AZEV B2014 (WHITE),0,Scottsdale 14 Sandsharks Select,6,2024-08-30
AZSC 14B Perez,4,14 Pre-MLSN #2,1,2025-04-27
AZSC 14B Perez,1,AZ Arsenal Pre-ECNL B14,2,2025-04-26
AZSC 14B Perez,2,Brazas 2014 Boys Black Marcos,2,2025-04-13
AZSC 14B Perez,1,Southeast 2014 Boys Red,3,2025-03-23
AZSC 14B Perez,1,Southeast 2014 Boys Red,3,2025-03-23
AZSC 14B Perez,5,Phoenix Premier FC 14B SW Black,2,2025-03-22
AZSC 14B Perez,5,Phoenix Premier FC 14B SW Black,2,2025-03-22
AZSC 14B Perez,7,Phoenix Premier FC 14B Black,2,2025-03-21
AZSC 14B Perez,4,Brazas 2014 Boys Black Marcos,1,2025-03-01
AZSC 14B Perez,2,NOS Santos 14 Boys Blue,0,2025-03-01
AZSC 14B Perez,2,AZ Arsenal 14 Boys Teal SC,3,2025-02-27
AZSC 14B Perez,1,Southeast 2014 Boys Blue,4,2025-02-23
AZSC 14B Perez,1,Southeast 2014 Boys Blue,4,2025-02-23
AZSC 14B Perez,7,PRFC Scottsdale 14B Predator,2,2025-02-22
AZSC 14B Perez,3,AZ Arsenal 14 Boys Teal SC,5,2025-02-21
AZSC 14B Perez,1,2014B West,6,2025-02-15
AZSC 14B Perez,1,2014B West,6,2025-02-15
AZSC 14B Perez,7,AZ Arsenal Pre-ECNL B14,1,2025-02-09
AZSC 14B Perez,9,AZ Inferno 14 Boys Black,0,2025-02-08
AZSC 14B Perez,5,PRFC Desert Foothills 14B Pre-Academy,2,2025-02-08
AZSC 14B Perez,2,AZ Arsenal Pre-ECNL B14,2,2025-02-06
AZSC 14B Perez,4,PRFC Desert Foothills 14B Pre-Academy,3,2025-01-26
AZSC 14B Perez,4,PRFC North Valley 14B Predator,0,2025-01-26
AZSC 14B Perez,5,East Valley NSFC 14 Boys Aguirre,0,2025-01-25
AZSC 14B Perez,4,U-12 (2014) Boys Pre Academy Blue,0,2025-01-24
AZSC 14B Perez,2,Tuzos Royals 2014,3,2025-01-11
AZSC 14B Perez,6,14B Engilman,1,2024-12-15
AZSC 14B Perez,1,14B Velasco,0,2024-12-15
AZSC 14B Perez,2,14B Velasco,2,2024-12-14
AZSC 14B Perez,5,CDO 14B Premier,2,2024-12-14
AZSC 14B Perez,5,14 Pre-MLSN #2,3,2024-11-24
AZSC 14B Perez,3,14B GSA,6,2024-11-24
AZSC 14B Perez,7,Dynamos SC 14B Gold,1,2024-11-23
AZSC 14B Perez,6,Northwest 2014 Boys,3,2024-11-23
AZSC 14B Perez,6,Northwest 2014 Boys,3,2024-11-23
AZSC 14B Perez,5,Dynamos SC 14B Gold,3,2024-11-17
AZSC 14B Perez,5,Northwest 2014 Boys,0,2024-11-09
AZSC 14B Perez,5,Northwest 2014 Boys,0,2024-11-09
AZSC 14B Perez,3,AZ Arsenal 14 Boys Teal SC,3,2024-10-19
AZSC 14B Perez,1,West Valley 2014 Boys Martinez Pre-Elite64,1,2024-10-13
AZSC 14B Perez,4,Tuzos Royals 14 Pre-Academy,0,2024-10-13
AZSC 14B Perez,10,Synergy FC 14 B,0,2024-10-12
AZSC 14B Perez,2,FC Elite Arizona 2014 Boys (ARCHIVED),0,2024-10-11
AZSC 14B Perez,1,Tuzos Royals 2014,4,2024-10-05
AZSC 14B Perez,1,Brazas 2014 Boys Black Marcos,3,2024-09-21
AZSC 14B Perez,4,PRFC Desert Foothills 14B Pre-Academy,2,2024-09-14
AZSC 2014/2015B Navy,7,PSC 2014/15B,2,2025-09-20
AZSC 2014/2015B Navy,0,CCV Stars 14 Boys South Orange,7,2025-09-13
AZSC 2014/2015B Navy,1,Playmaker Futbol Academy 14B Gold,4,2025-09-13
AZSC 2014/2015B Navy,1,Madison FC 14 White Boys,4,2025-09-12
AZSC 2014B Pre-NL Premier 2,6,Bala FC - 2014B,0,2025-09-13
AZSC 2014B Pre-NL Premier 2,1,Playmaker Futbol Academy 14B Black,1,2025-09-12
AZSC 2014B Pre-NL Premier 2,0,Phoenix Premier FC 14B Black,2,2025-04-26
AZSC 2014B Pre-NL Premier 2,2,Southeast 2014 Boys Green,1,2025-04-19
AZSC 2014B Pre-NL Premier 2,2,14 Cityzens,1,2025-04-17
AZSC 2014B Pre-NL Premier 2,1,Scottsdale 14 Sandsharks Select,3,2025-04-15
AZSC 2014B Pre-NL Premier 2,2,PRFC Scottsdale 14B Copa,1,2025-04-12
AZSC 2014B Pre-NL Premier 2,2,RSL-AZ Yuma 14 Boys Quinonez,1,2025-03-23
AZSC 2014B Pre-NL Premier 2,6,PRFC Scottsdale 14B Copa,2,2025-03-02
AZSC 2014B Pre-NL Premier 2,5,2014 Boys Blue,1,2025-03-01
AZSC 2014B Pre-NL Premier 2,0,PRFC Southeast Valley 14B Pre-Academy,1,2025-02-21
AZSC 2014B Pre-NL Premier 2,1,Phoenix Valley Soccer Club boys 2014,0,2025-02-08
AZSC 2014B Pre-NL Premier 2,7,Select 14B,3,2025-02-01
AZSC 2014B Pre-NL Premier 2,0,Tuzos Academy Mesa 2014,1,2025-01-11
AZSC 2014B Pre-NL Premier 2,0,PSG 14B Blue,0,2024-12-15
AZSC 2014B Pre-NL Premier 2,7,Phoenix Premier FC 14B White,1,2024-12-14
AZSC 2014B Pre-NL Premier 2,1,Real Arizona 2014,1,2024-12-08
AZSC 2014B Pre-NL Premier 2,6,Kingman SC B14 McGill,2,2024-12-07
AZSC 2014B Pre-NL Premier 2,5,PRFC Southeast Valley 14B Pre-Academy,2,2024-11-23
AZSC 2014B Pre-NL Premier 2,10,East Valley NSFC 14 Boys Tiggs,0,2024-11-21
AZSC 2014B Pre-NL Premier 2,4,14 Boys Navy,0,2024-11-16
AZSC 2014B Pre-NL Premier 2,2,14 Boys Navy,3,2024-11-09
AZSC 2014B Pre-NL Premier 2,3,Select 14B Red,0,2024-11-09
AZSC 2014B Pre-NL Premier 2,2,AZ Inferno 14 Boys Black,1,2024-11-02
AZSC 2014B Pre-NL Premier 2,4,Select 14B,0,2024-10-26
AZSC 2014B Pre-NL Premier 2,6,Select 14B Red,2,2024-10-19
AZSC 2014B Pre-NL Premier 2,4,Phoenix Valley Soccer Club boys 2014,2,2024-09-21
America 14b,0,FC Elite Arizona 2014 Boys - Martinez,7,2025-09-28
America 14b,7,FC Sonora 14' B Dynamo,2,2025-09-28
America 14b,12,Milan B,0,2025-09-27
America 14b,2,FC Elite Arizona 2014 Boys - Martinez,5,2025-09-27
America 14b,1,14B Hinds,3,2025-04-06
America 14b,1,Eagles F.C.,2,2025-04-03
America 14b,0,CDO 14B Premier,6,2025-02-16
America 14b,4,Milan,2,2024-10-06
America 14b,1,CDO 14B Elite,3,2024-10-05
America 14b,1,CAC 14/15B (Conroy),2,2024-10-05
Amore 2014 Boys,2,CCV Stars 14 Boys West Orange,2,2025-09-07
Amore 2014 Boys,4,Tuzos Titanes 2014,1,2025-09-07
Amore 2014 Boys,0,PRFC Scottsdale 14B Predator,6,2025-09-06
Amore 2014 Boys,3,CAC 14/15B (Conroy),1,2025-08-31
Amore 2014 Boys,3,PRFC Southeast Valley 14B Predator,3,2025-08-31
Amore 2014 Boys,3,Phoenix United 2014 Premier,5,2025-08-31
Amore 2014 Boys,0,CCV Stars 14 Boys West Pre-ECNL,6,2025-08-30
Amore 2014 Boys,5,AZ Arsenal 14 Boys Teal CB,1,2025-08-30
Amore 2014 Boys,5,NOS Santos 14 Boys White,4,2025-04-19
Amore 2014 Boys,2,PRFC West Valley 14B Predator,4,2025-04-19
Amore 2014 Boys,5,Phoenix Premier FC 14B White,0,2025-04-18
Amore 2014 Boys,3,FC Deportivo AZ 2014B (Gallegos),9,2025-04-05
Amore 2014 Boys,1,FC Elite Arizona 2014 Boys (ARCHIVED),4,2025-04-05
Amore 2014 Boys,1,14B Hinds,3,2025-03-09
Amore 2014 Boys,2,14B Rueda,2,2025-03-07
