Team Name,Club,Team ID,Wins,Losses,Ties,Games Played,State,Win Percentage,State Rank,Goal Ratio,Team URL,Gender,Age Group
Playmaker Futbol Academy 14B Black,Playmaker Futbol Academy,391035,27,25,7,59,AZ,0.457627119,20,1.026143791,https://rankings.gotsport.com/teams/391035,M,U12
Brazas 2014 Boys Black Marcos,Brazas Futebol Club,138967,17,12,4,33,AZ,0.515151515,21,1.352112676,https://rankings.gotsport.com/teams/138967,M,U12
Tuzos Royals 14 Pre-Academy,FBSL,435521,38,18,1,57,AZ,0.666666667,22,1.6,https://rankings.gotsport.com/teams/435521,M,U12
14B Velasco,RSL-AZ South,82310,18,15,5,38,AZ,0.473684211,23,1.211267606,https://rankings.gotsport.com/teams/82310,M,U12
U-12 (2014) Boys Pre Academy Blue,SC del Sol,85988,15,22,4,41,AZ,0.365853659,24,1,https://rankings.gotsport.com/teams/85988,M,U12
Phoenix Premier FC 14B X-Factor,Phoenix Premier FC,250009,23,6,1,30,AZ,0.766666667,25,3.5,https://rankings.gotsport.com/teams/250009,M,U12
Tuzos Halcones 2014,FBSL,273386,15,14,3,32,AZ,0.46875,26,0.981308411,https://rankings.gotsport.com/teams/273386,M,U12
Phoenix United 2014 Premier,Phoenix United Futbol Club,415876,27,23,8,58,AZ,0.465517241,27,1.186206897,https://rankings.gotsport.com/teams/415876,M,U12
PRFC Desert Foothills 14B Pre-Academy,Phoenix Rising Desert Foothills,87271,20,17,4,41,AZ,0.487804878,28,1.425531915,https://rankings.gotsport.com/teams/87271,M,U12
Tuzos Academy Mesa 2014,FBSL,385521,20,12,7,39,AZ,0.512820513,29,1.212389381,https://rankings.gotsport.com/teams/385521,M,U12
FC Elite Arizona 2014 Boys (ARCHIVED),FC Elite Arizona,488139,30,11,2,43,AZ,0.697674419,30,2.777777778,https://rankings.gotsport.com/teams/488139,M,U12
East Valley NSFC 14 Boys Aguirre,East Valley/NSFC,78764,19,16,6,41,AZ,0.463414634,31,0.879310345,https://rankings.gotsport.com/teams/78764,M,U12
Legends FC AZ 14B Black,Dynamos SC,166816,14,22,3,39,AZ,0.358974359,32,0.915254237,https://rankings.gotsport.com/teams/166816,M,U12
Scottsdale 14 Sandsharks Select,North Scottsdale Soccer Club,152739,25,6,3,34,AZ,0.735294118,33,5.631578947,https://rankings.gotsport.com/teams/152739,M,U12
State 48 FC Avondale 14 Black,State 48 FC,399594,15,17,3,35,AZ,0.428571429,34,0.674418605,https://rankings.gotsport.com/teams/399594,M,U12
PSG 14B Blue,Paris Saint-Germain Academy Phoenix,253741,23,9,6,38,AZ,0.605263158,35,2.05,https://rankings.gotsport.com/teams/253741,M,U12
14B Antunez Pre-MLS Next,RSL-AZ North,80225,12,22,4,38,AZ,0.315789474,36,0.63963964,https://rankings.gotsport.com/teams/80225,M,U12
CCV Stars 14 Boys North Orange,CCV STARS,128638,20,16,2,38,AZ,0.526315789,37,1.166666667,https://rankings.gotsport.com/teams/128638,M,U12
14B Engilman,RSL-AZ North,80232,14,20,5,39,AZ,0.358974359,38,0.768115942,https://rankings.gotsport.com/teams/80232,M,U12
PRFC Southeast Valley 14B Pre-Academy,Phoenix Rising FC,260977,11,20,2,33,AZ,0.333333333,39,0.844036697,https://rankings.gotsport.com/teams/260977,M,U12
RSL-AZ Yuma 14 Boys Quinonez,RSL-AZ Yuma,256692,7,11,1,19,AZ,0.368421053,40,0.680555556,https://rankings.gotsport.com/teams/256692,M,U12
West Valley 2014 Boys Martinez Pre-Elite64,RSL-AZ West Valley,385131,23,20,1,44,AZ,0.522727273,41,1.333333333,https://rankings.gotsport.com/teams/385131,M,U12
NOS Santos 14 Boys Blue,NOS Santos SC,85564,11,13,2,26,AZ,0.423076923,42,0.823529412,https://rankings.gotsport.com/teams/85564,M,U12
CCV Stars 14 Boys North Pre-ECNL,CCV STARS,113537,16,15,3,34,AZ,0.470588235,43,1.327586207,https://rankings.gotsport.com/teams/113537,M,U12
14 Cityzens,Scottsdale City FC,505150,23,30,4,57,AZ,0.403508772,44,0.774566474,https://rankings.gotsport.com/teams/505150,M,U12
Playmaker Futbol Academy PRE-ECNL B14,Playmaker Futbol Academy,78337,11,13,4,28,AZ,0.392857143,45,0.935064935,https://rankings.gotsport.com/teams/78337,M,U12
14B Moyer,RSL-AZ South,251057,13,17,5,35,AZ,0.371428571,46,0.857142857,https://rankings.gotsport.com/teams/251057,M,U12
PRFC North Valley 14B Predator,Phoenix Rising FC North Valley,82493,12,24,6,42,AZ,0.285714286,47,0.673913043,https://rankings.gotsport.com/teams/82493,M,U12
U-12 (2014) Boys Yuma Pre Academy,SC del Sol,384230,7,11,2,20,AZ,0.35,48,0.68,https://rankings.gotsport.com/teams/384230,M,U12
CDO 14B Premier,Canyon Del Oro Soccer Club,250765,18,11,1,30,AZ,0.6,49,1.405797101,https://rankings.gotsport.com/teams/250765,M,U12
FC Deportivo AZ 2014B (Gallegos),FC Deportivo Arizona,523920,16,6,4,26,AZ,0.615384615,50,1.592105263,https://rankings.gotsport.com/teams/523920,M,U12
14B Negrete Pre MLS Next,RSL-AZ Southern AZ,178324,12,15,5,32,AZ,0.375,51,1.134146341,https://rankings.gotsport.com/teams/178324,M,U12
Phoenix Premier FC 14B Black,Phoenix Premier FC,57042,7,14,6,27,AZ,0.259259259,52,0.857142857,https://rankings.gotsport.com/teams/57042,M,U12
2014 Boys Yellow,Thunderbird FC,385775,13,12,2,27,AZ,0.481481481,53,1,https://rankings.gotsport.com/teams/385775,M,U12
Madison FC 14 Blue Boys,Madison FC,498236,19,15,1,35,AZ,0.542857143,54,1.117647059,https://rankings.gotsport.com/teams/498236,M,U12
FC ARIZONA PRE ECNL RL B14,FC Arizona,633380,3,0,1,4,AZ,0.75,55,3,https://rankings.gotsport.com/teams/633380,M,U12
PRFC Scottsdale 14B Predator,Phoenix Rising FC,179071,11,14,3,28,AZ,0.392857143,56,0.8125,https://rankings.gotsport.com/teams/179071,M,U12
14 Pre-MLSN #2,FC Tucson Youth Soccer,499128,19,16,2,37,AZ,0.513513514,57,1.558139535,https://rankings.gotsport.com/teams/499128,M,U12
PRFC West Valley 14B Pre-Academy,Phoenix Rising FC,120243,17,27,3,47,AZ,0.361702128,58,0.809859155,https://rankings.gotsport.com/teams/120243,M,U12
Real Arizona 2014,Real Arizona FC,170375,24,8,2,34,AZ,0.705882353,59,1.915662651,https://rankings.gotsport.com/teams/170375,M,U12
Southeast 2014 Boys Green,Next Level Soccer (AZ),514142,19,12,6,37,AZ,0.513513514,60,1.686567164,https://rankings.gotsport.com/teams/514142,M,U12
CCV Stars 14 Boys West Orange,CCV STARS,368675,8,14,5,27,AZ,0.296296296,61,0.675,https://rankings.gotsport.com/teams/368675,M,U12
Pima Surf 2014 B Blue,Pima County Surf Soccer Club,267400,10,8,6,24,AZ,0.416666667,62,1.169811321,https://rankings.gotsport.com/teams/267400,M,U12
14B NL #1,FC Tucson Youth Soccer,515148,11,13,4,28,AZ,0.392857143,63,0.941176471,https://rankings.gotsport.com/teams/515148,M,U12
AZSC 2014B Pre-NL Premier 2,Arizona Soccer Club,79991,31,14,3,48,AZ,0.645833333,64,2,https://rankings.gotsport.com/teams/79991,M,U12
PRFC Southeast Valley 14B Predator,Phoenix Rising FC,260979,15,20,5,40,AZ,0.375,65,0.681034483,https://rankings.gotsport.com/teams/260979,M,U12
CCV Stars 14 Boys West Pre-ECNL,CCV STARS,128680,14,16,5,35,AZ,0.4,66,0.780701754,https://rankings.gotsport.com/teams/128680,M,U12
PRFC Southeast Valley 14B Predator-Central,Phoenix Rising FC,494072,10,25,3,38,AZ,0.263157895,67,0.547826087,https://rankings.gotsport.com/teams/494072,M,U12
AZ Arsenal 14 Boys Teal SC,Arizona Arsenal Soccer Club,163425,21,20,5,46,AZ,0.456521739,68,1.038834951,https://rankings.gotsport.com/teams/163425,M,U12
Verde Valley United FC,,452848,5,7,4,16,AZ,0.3125,69,1.03125,https://rankings.gotsport.com/teams/452848,M,U12
Dynamos SC 14B Gold,Dynamos SC,496617,14,29,5,48,AZ,0.291666667,70,0.649717514,https://rankings.gotsport.com/teams/496617,M,U12
CCV Stars 14 Boys South Pre-ECNL,CCV STARS,128663,14,17,3,34,AZ,0.411764706,71,0.893617021,https://rankings.gotsport.com/teams/128663,M,U12
Northwest 2014 Boys,Next Level Soccer (AZ),506850,11,36,3,50,AZ,0.22,72,0.425287356,https://rankings.gotsport.com/teams/506850,M,U12
VSC 2014 Boys Green,Vail SC,295846,13,18,4,35,AZ,0.371428571,73,1.068376068,https://rankings.gotsport.com/teams/295846,M,U12
14B Hinds,RSL-AZ Southern AZ,373077,26,13,4,43,AZ,0.604651163,74,1.505882353,https://rankings.gotsport.com/teams/373077,M,U12
SFC XOLOS ARIZONA 2014,Spartans FC (AZ),584054,9,1,1,11,AZ,0.818181818,75,2.75,https://rankings.gotsport.com/teams/584054,M,U12
2014 Tuzos Academy FV,FBSL,308708,18,2,1,21,AZ,0.857142857,76,5.625,https://rankings.gotsport.com/teams/308708,M,U12
Amore 2014 Boys,Amore Soccer,296013,15,19,7,41,AZ,0.365853659,77,0.993333333,https://rankings.gotsport.com/teams/296013,M,U12
Kingman SC B14 McGill,Kingman SC,195296,11,8,2,21,AZ,0.523809524,78,1.326923077,https://rankings.gotsport.com/teams/195296,M,U12
2014 Rush Boys,Phoenix Rush,370621,13,15,4,32,AZ,0.40625,79,0.893617021,https://rankings.gotsport.com/teams/370621,M,U12
PRFC West Valley 14B Predator,Phoenix Rising FC,174796,13,14,1,28,AZ,0.464285714,80,1.075,https://rankings.gotsport.com/teams/174796,M,U12
FC Arizona 14B Black GFC Suenaga U12,FC Arizona,371742,21,8,4,33,AZ,0.636363636,81,2.456140351,https://rankings.gotsport.com/teams/371742,M,U12
Phoenix Premier FC 14B SW Black,Phoenix Premier FC,502513,16,12,1,29,AZ,0.551724138,82,1.611111111,https://rankings.gotsport.com/teams/502513,M,U12
AZ Inferno 14 Boys Black,AZ Inferno,130761,15,22,4,41,AZ,0.365853659,83,0.982758621,https://rankings.gotsport.com/teams/130761,M,U12
Playmaker Futbol Academy 14B Gold,Playmaker Futbol Academy,391344,12,29,4,45,AZ,0.266666667,84,0.544444444,https://rankings.gotsport.com/teams/391344,M,U12
14B Hermanson AL,RSL-AZ Southern AZ,390403,26,25,5,56,AZ,0.464285714,85,1.198347107,https://rankings.gotsport.com/teams/390403,M,U12
14 Boys Soul Warriors,FC Tucson Youth Soccer,515160,12,14,4,30,AZ,0.4,86,0.867924528,https://rankings.gotsport.com/teams/515160,M,U12
Deportivo Mexico 14B,Renegades Soccer Club,558128,7,15,8,30,AZ,0.233333333,87,0.675925926,https://rankings.gotsport.com/teams/558128,M,U12
14B Rayados Blue AL,RSL-AZ Southern AZ,513291,3,6,3,12,AZ,0.25,88,0.697674419,https://rankings.gotsport.com/teams/513291,M,U12
Eagles F.C.,Renegades Soccer Club,432207,17,12,6,35,AZ,0.485714286,89,1.457627119,https://rankings.gotsport.com/teams/432207,M,U12
EXCEL25WU11B1Lee,RSL-AZ South,559749,5,2,0,7,AZ,0.714285714,90,0.882352941,https://rankings.gotsport.com/teams/559749,M,U12
14B Rueda,RSL-AZ South,251060,9,17,1,27,AZ,0.333333333,91,0.405660377,https://rankings.gotsport.com/teams/251060,M,U12
AZ Arsenal 14 Boys Teal MC,Arizona Arsenal Soccer Club,505309,10,21,1,32,AZ,0.3125,92,0.567307692,https://rankings.gotsport.com/teams/505309,M,U12
CDO 14B Elite,Canyon Del Oro Soccer Club,250767,16,7,7,30,AZ,0.533333333,93,1.253333333,https://rankings.gotsport.com/teams/250767,M,U12
Tuzos 2014 Nava,FBSL,498283,6,7,3,16,AZ,0.375,94,0.955223881,https://rankings.gotsport.com/teams/498283,M,U12
Milan,AYSO 350 Alliance,413583,15,25,2,42,AZ,0.357142857,95,0.723809524,https://rankings.gotsport.com/teams/413583,M,U12
CCV Stars 14 Boys East Pre-ECNL,CCV STARS,330680,17,13,3,33,AZ,0.515151515,96,1.529411765,https://rankings.gotsport.com/teams/330680,M,U12
Phoenix Valley Soccer Club boys 2014,Phoenix Valley,492657,11,15,2,28,AZ,0.392857143,97,0.70212766,https://rankings.gotsport.com/teams/492657,M,U12
Excel Soccer Academy 14B Black,Excel Soccer Academy,419768,15,5,2,22,AZ,0.681818182,98,2.175,https://rankings.gotsport.com/teams/419768,M,U12
RSL-AZ Yuma 14 Boys Rodriguez,RSL-AZ Yuma,493827,7,4,1,12,AZ,0.583333333,99,1,https://rankings.gotsport.com/teams/493827,M,U12
AZEV B2014 (WHITE),AYSO United (AZ),368573,15,4,5,24,AZ,0.625,100,1.962264151,https://rankings.gotsport.com/teams/368573,M,U12
14B Geoff,RSL-AZ Southern AZ,443374,11,22,6,39,AZ,0.282051282,101,0.628099174,https://rankings.gotsport.com/teams/443374,M,U12
14B NL #2,FC Tucson Youth Soccer,515151,16,9,2,27,AZ,0.592592593,102,1.8,https://rankings.gotsport.com/teams/515151,M,U12
14B Blue #1,FC Tucson Youth Soccer,515152,8,16,0,24,AZ,0.333333333,103,0.621212121,https://rankings.gotsport.com/teams/515152,M,U12
CCV Stars 14 Boys North Navy,CCV STARS,128639,14,17,0,31,AZ,0.451612903,104,0.941860465,https://rankings.gotsport.com/teams/128639,M,U12
14 Boys Navy,FC Batavia,197912,12,10,3,25,AZ,0.48,105,1.105263158,https://rankings.gotsport.com/teams/197912,M,U12
Phoenix Premier FC 14B White,Phoenix Premier FC,320364,10,18,4,32,AZ,0.3125,106,0.561403509,https://rankings.gotsport.com/teams/320364,M,U12
Monsters 2014,United Latinos SC,380328,7,2,1,10,AZ,0.7,107,1.696969697,https://rankings.gotsport.com/teams/380328,M,U12
2014 Boys (Walker),OJB FC,151723,10,5,1,16,AZ,0.625,108,2.066666667,https://rankings.gotsport.com/teams/151723,M,U12
AZ Arsenal 14 Boys Select,Arizona Arsenal Soccer Club,521384,17,14,1,32,AZ,0.53125,109,0.871287129,https://rankings.gotsport.com/teams/521384,M,U12
Select 14B,Yavapai Soccer,208947,9,11,6,26,AZ,0.346153846,110,0.705263158,https://rankings.gotsport.com/teams/208947,M,U12
AZ Arsenal 14 Boys Teal CB,Arizona Arsenal Soccer Club,254487,11,17,4,32,AZ,0.34375,111,0.75862069,https://rankings.gotsport.com/teams/254487,M,U12
Scottsdale 14 Sandsharks Black,North Scottsdale Soccer Club,273169,13,9,5,27,AZ,0.481481481,112,1.549019608,https://rankings.gotsport.com/teams/273169,M,U12
Brazas 2014 Boys Gold Rigo,Brazas Futebol Club,250962,13,12,1,26,AZ,0.5,113,1.106382979,https://rankings.gotsport.com/teams/250962,M,U12
CAC 14/15B (Conroy),Coronado Athletic Club,382297,11,22,5,38,AZ,0.289473684,114,0.548148148,https://rankings.gotsport.com/teams/382297,M,U12
NOS Santos 14 Boys White,NOS Santos SC,136657,12,17,2,31,AZ,0.387096774,115,0.87,https://rankings.gotsport.com/teams/136657,M,U12
Madison FC 14 White Boys,Madison FC,620400,4,2,1,7,AZ,0.571428571,116,1.4375,https://rankings.gotsport.com/teams/620400,M,U12
La Academia 14B,La Academia FC,389989,7,12,2,21,AZ,0.333333333,117,0.762376238,https://rankings.gotsport.com/teams/389989,M,U12
PRFC Desert Foothills 14B Predator,Phoenix Rising Desert Foothills,255975,9,19,4,32,AZ,0.28125,118,0.691666667,https://rankings.gotsport.com/teams/255975,M,U12
2014 Boys Blue,Thunderbird FC,385776,7,12,5,24,AZ,0.291666667,119,0.716216216,https://rankings.gotsport.com/teams/385776,M,U12
FC Elite Arizona 2014 Boys - Urbina,FC Elite Arizona,631457,3,4,2,9,AZ,0.333333333,120,0.428571429,https://rankings.gotsport.com/teams/631457,M,U12
Tuzos Titanes 2014,FBSL,519547,7,15,2,24,AZ,0.291666667,120,0.428571429,https://rankings.gotsport.com/teams/519547,M,U12
Select 14B Red,AZFC ,497273,9,23,3,35,AZ,0.257142857,122,0.72826087,https://rankings.gotsport.com/teams/497273,M,U12
14B Felix Nogales,RSL-AZ Southern AZ,552776,7,9,3,19,AZ,0.368421053,123,0.803571429,https://rankings.gotsport.com/teams/552776,M,U12
2014/15 Boys (Pena),OJB FC,400441,7,11,1,19,AZ,0.368421053,124,0.72,https://rankings.gotsport.com/teams/400441,M,U12
VSC 2014 Boys White,Vail SC,305500,8,16,1,25,AZ,0.32,125,0.790322581,https://rankings.gotsport.com/teams/305500,M,U12
Synergy FC 14 B,Synergy FC AZ,371140,4,26,5,35,AZ,0.114285714,126,0.337349398,https://rankings.gotsport.com/teams/371140,M,U12
PRFC North Valley 14B Copa,Phoenix Rising FC North Valley,405148,5,23,1,29,AZ,0.172413793,127,0.378531073,https://rankings.gotsport.com/teams/405148,M,U12
Hustle Hard 2014- Boys,FBSL,310009,3,19,3,25,AZ,0.12,128,0.220472441,https://rankings.gotsport.com/teams/310009,M,U12
FSC United 14 Boys,Flagstaff SC,121797,10,31,2,43,AZ,0.23255814,129,0.441666667,https://rankings.gotsport.com/teams/121797,M,U12
Excel Soccer Academy 14 White,Excel Soccer Academy,496643,2,7,1,10,AZ,0.2,130,0.31372549,https://rankings.gotsport.com/teams/496643,M,U12
14B Blue #2,FC Tucson Youth Soccer,515153,2,19,2,23,AZ,0.086956522,131,0.170731707,https://rankings.gotsport.com/teams/515153,M,U12
PRFC Scottsdale 14B Copa,Phoenix Rising FC,179070,6,22,2,30,AZ,0.2,132,0.478527607,https://rankings.gotsport.com/teams/179070,M,U12
State 48 FC 14 Archive,State 48 FC,198567,5,5,1,11,AZ,0.454545455,133,1.409090909,https://rankings.gotsport.com/teams/198567,M,U12
Pumas Tucson 14B,Renegades Soccer Club,450534,3,1,0,4,AZ,0.75,134,1.571428571,https://rankings.gotsport.com/teams/450534,M,U12
14B Midhaan,RSL-AZ North,365125,5,21,3,29,AZ,0.172413793,135,0.526946108,https://rankings.gotsport.com/teams/365125,M,U12
Southeast 2014 Boys Pink,Next Level Soccer (AZ),567475,1,1,1,3,AZ,0.333333333,136,0.909090909,https://rankings.gotsport.com/teams/567475,M,U12
Phoenix Premier FC 14B Pre MLS Next AD,Phoenix Premier FC,619879,1,2,0,3,AZ,0.333333333,137,0.454545455,https://rankings.gotsport.com/teams/619879,M,U12
PSC 2014/15B,Paladin Soccer Club,490652,6,11,1,18,AZ,0.333333333,138,0.441558442,https://rankings.gotsport.com/teams/490652,M,U12
CCV Stars 14 Boys South Orange,CCV STARS,128664,4,24,7,35,AZ,0.114285714,139,0.425806452,https://rankings.gotsport.com/teams/128664,M,U12
Gila Valley Ninjas,AYSO 350 Alliance,639388,3,1,0,4,AZ,0.75,139,2.666666667,https://rankings.gotsport.com/teams/639388,M,U12
14B Laroussi,RSL-AZ South,364430,4,17,0,21,AZ,0.19047619,141,0.495575221,https://rankings.gotsport.com/teams/364430,M,U12
FC Elite Arizona 2014 Boys - Martinez,FC Elite Arizona,631446,5,2,0,7,AZ,0.714285714,142,3.5,https://rankings.gotsport.com/teams/631446,M,U12
AZ Thundercats 2014,FBSL,434312,2,3,0,5,AZ,0.4,143,1.047619048,https://rankings.gotsport.com/teams/434312,M,U12
Pima Surf 2014 B White,Pima County Surf Soccer Club,403789,2,17,2,21,AZ,0.095238095,144,0.253521127,https://rankings.gotsport.com/teams/403789,M,U12
America 14b,Renegades Soccer Club,547554,2,7,0,9,AZ,0.222222222,145,0.75,https://rankings.gotsport.com/teams/547554,M,U12
AZ Inferno 14 Boys Blue,AZ Inferno,641417,1,4,0,5,AZ,0.2,146,0.4,https://rankings.gotsport.com/teams/641417,M,U12
Tuzos Chandler 2014 boys,FBSL,615646,1,2,0,3,AZ,0.333333333,147,0.615384615,https://rankings.gotsport.com/teams/615646,M,U12
Bala FC - 2014B,Bala FC,614083,1,1,1,3,AZ,0.333333333,148,0.777777778,https://rankings.gotsport.com/teams/614083,M,U12
Scottsdale 14 Sandsharks White,North Scottsdale Soccer Club,151927,1,6,0,7,AZ,0.142857143,149,0.074626866,https://rankings.gotsport.com/teams/151927,M,U12
Tuzos CR,FBSL,543225,1,4,1,6,AZ,0.166666667,150,0.347826087,https://rankings.gotsport.com/teams/543225,M,U12
Phoenix Rising FC U14B,Phoenix Rising FC,571498,2,2,1,5,AZ,0.4,150,0.8,https://rankings.gotsport.com/teams/571498,M,U12
FC Sonora 14' B Dynamo,FC Sonora,366702,1,22,1,24,AZ,0.041666667,150,0.25862069,https://rankings.gotsport.com/teams/366702,M,U12
East Valley NSFC 14 Boys Tiggs,East Valley/NSFC,370050,0,21,1,22,AZ,0,150,0.173913043,https://rankings.gotsport.com/teams/370050,M,U12
PSC 2014B,Paladin Soccer Club,654997,1,2,0,3,AZ,0.333333333,154,0.8,https://rankings.gotsport.com/teams/654997,M,U12
Spartak Academy 2014 Boys,Spartak Academy,647534,1,2,0,3,AZ,0.333333333,154,0.411764706,https://rankings.gotsport.com/teams/647534,M,U12
Jedi 14B,Renegades Soccer Club,654696,0,2,0,2,AZ,0,154,0.5,https://rankings.gotsport.com/teams/654696,M,U12
ESC - Boys Chandler 15/16,Epic Soccer Club,503477,0,4,1,5,AZ,0,157,0.081632653,https://rankings.gotsport.com/teams/503477,M,U12
14B Moore,,309760,0,24,1,25,AZ,0,157,0.060150376,https://rankings.gotsport.com/teams/309760,M,U12
ASA 014B Magic,Arizona Soccer Academy,526726,0,13,0,13,AZ,0,159,0.065217391,https://rankings.gotsport.com/teams/526726,M,U12
Milan B,AYSO 350 Alliance,663478,0,3,0,3,AZ,0,159,0.029411765,https://rankings.gotsport.com/teams/663478,M,U12
PFC Danger B2014 Blue,Paris United FC,638992,0,0,0,0,AZ,0,159,0,https://rankings.gotsport.com/teams/638992,M,U12
Gilbert United FC,G.Y.S.A.,568313,0,2,0,2,AZ,0,159,0.130434783,https://rankings.gotsport.com/teams/568313,M,U12
Cobre Mountain Roadrunners 4,,568181,0,6,0,6,AZ,0,159,0.012820513,https://rankings.gotsport.com/teams/568181,M,U12
EXCEL25WU11B2Eggleston,RSL-AZ South,559750,0,5,0,5,AZ,0,159,0.034482759,https://rankings.gotsport.com/teams/559750,M,U12
PFC Danger B2014,Paris United FC,681670,0,0,0,0,AZ,0,159,0,https://rankings.gotsport.com/teams/681670,M,U12
SCUM East Valley 14B Ninjas,SC Union Maricopa Academy,492537,0,8,0,8,AZ,0,159,0.010309278,https://rankings.gotsport.com/teams/492537,M,U12
State 48 FC Avondale 14 White,State 48 FC,614163,0,3,0,3,AZ,0,159,0.333333333,https://rankings.gotsport.com/teams/614163,M,U12
Sun Warriors 15/16 Boys,Sun Warriors AZFC,126086,0,3,0,3,AZ,0,159,0.027027027,https://rankings.gotsport.com/teams/126086,M,U12
Tuzos Nogales 2014,FBSL,314990,0,2,0,2,AZ,0,159,0.285714286,https://rankings.gotsport.com/teams/314990,M,U12
AZSC 2014/2015B Navy,Arizona Soccer Club,621422,0,3,0,3,AZ,0,159,0.133333333,https://rankings.gotsport.com/teams/621422,M,U12
