Team Name,Club,Team ID,Wins,Losses,Ties,Games Played,State,Win Percentage,State Rank,Goal Ratio,Team URL,Gender,Age Group
Phoenix United Futbol Club 2015 Boys,Phoenix United Futbol Club,u11_22,26,21,10,57,AZ,0.45614035087719296,22,1.018181818181818,https://rankings.gotsport.com/teams/u11_22,M,U11
AZ Arsenal Soccer Club 2015 Boys Blue,AZ Arsenal Soccer Club,u11_23,21,17,10,48,AZ,0.4375,23,0.989247311827957,https://rankings.gotsport.com/teams/u11_23,M,U11
AZ Arsenal Soccer Club 2015 Boys White,AZ Arsenal Soccer Club,u11_24,27,31,11,69,AZ,0.391304347826087,24,0.9178082191780822,https://rankings.gotsport.com/teams/u11_24,M,U11
AZ Arsenal Soccer Club 2015 Boys Red,AZ Arsenal Soccer Club,u11_25,23,29,16,68,AZ,0.3382352941176471,25,0.8843537414965986,https://rankings.gotsport.com/teams/u11_25,M,U11
AZ Arsenal Soccer Club 2015 Boys Black,AZ Arsenal Soccer Club,u11_26,17,23,10,50,AZ,0.34,26,0.853448275862069,https://rankings.gotsport.com/teams/u11_26,M,U11
FBSL 2015 Boys Blue,FBSL,u11_27,16,26,11,53,AZ,0.3018867924528302,27,0.8508771929824561,https://rankings.gotsport.com/teams/u11_27,M,U11
FBSL 2015 Boys White,FBSL,u11_28,22,16,4,42,AZ,0.5238095238095238,28,1.0789473684210527,https://rankings.gotsport.com/teams/u11_28,M,U11
FBSL 2015 Boys Red,FBSL,u11_29,27,29,13,69,AZ,0.391304347826087,29,1.0,https://rankings.gotsport.com/teams/u11_29,M,U11
Next Level Soccer (AZ) 2015 Boys,Next Level Soccer (AZ),u11_30,13,26,11,50,AZ,0.26,30,0.6792452830188679,https://rankings.gotsport.com/teams/u11_30,M,U11
North Scottsdale Soccer Club 2015 Boys,North Scottsdale Soccer Club,u11_31,21,21,13,55,AZ,0.38181818181818183,31,0.9831932773109243,https://rankings.gotsport.com/teams/u11_31,M,U11
Excel Soccer Academy 2015 Boys Blue,Excel Soccer Academy,u11_32,30,27,12,69,AZ,0.43478260869565216,32,1.152,https://rankings.gotsport.com/teams/u11_32,M,U11
Excel Soccer Academy 2015 Boys White,Excel Soccer Academy,u11_33,14,21,11,46,AZ,0.30434782608695654,33,0.711340206185567,https://rankings.gotsport.com/teams/u11_33,M,U11
Madison FC 2015 Boys Blue,Madison FC,u11_34,17,21,16,54,AZ,0.3148148148148148,34,0.9626168224299065,https://rankings.gotsport.com/teams/u11_34,M,U11
Madison FC 2015 Boys White,Madison FC,u11_35,35,24,13,72,AZ,0.4861111111111111,35,1.0875912408759123,https://rankings.gotsport.com/teams/u11_35,M,U11
Dynamos SC 2015 Boys Blue,Dynamos SC,u11_36,24,31,12,67,AZ,0.3582089552238806,36,0.8686131386861314,https://rankings.gotsport.com/teams/u11_36,M,U11
Dynamos SC 2015 Boys White,Dynamos SC,u11_37,19,22,9,50,AZ,0.38,37,1.0217391304347827,https://rankings.gotsport.com/teams/u11_37,M,U11
Dynamos SC 2015 Boys Red,Dynamos SC,u11_38,19,28,16,63,AZ,0.30158730158730157,38,0.781021897810219,https://rankings.gotsport.com/teams/u11_38,M,U11
CCV STARS 2015 Boys Blue,CCV STARS,u11_39,22,17,11,50,AZ,0.44,39,1.2873563218390804,https://rankings.gotsport.com/teams/u11_39,M,U11
CCV STARS 2015 Boys White,CCV STARS,u11_40,16,21,18,55,AZ,0.2909090909090909,40,0.9137931034482759,https://rankings.gotsport.com/teams/u11_40,M,U11
CCV STARS 2015 Boys Red,CCV STARS,u11_41,27,23,14,64,AZ,0.421875,41,1.131578947368421,https://rankings.gotsport.com/teams/u11_41,M,U11
FC Tucson Youth Soccer 2015 Boys Blue,FC Tucson Youth Soccer,u11_42,29,24,17,70,AZ,0.4142857142857143,42,1.069767441860465,https://rankings.gotsport.com/teams/u11_42,M,U11
FC Tucson Youth Soccer 2015 Boys White,FC Tucson Youth Soccer,u11_43,18,18,6,42,AZ,0.42857142857142855,43,1.0,https://rankings.gotsport.com/teams/u11_43,M,U11
Phoenix Rising FC 2015 Boys Blue,Phoenix Rising FC,u11_44,29,23,13,65,AZ,0.4461538461538462,44,1.1384615384615384,https://rankings.gotsport.com/teams/u11_44,M,U11
Phoenix Rising FC 2015 Boys White,Phoenix Rising FC,u11_45,21,32,6,59,AZ,0.3559322033898305,45,0.7727272727272727,https://rankings.gotsport.com/teams/u11_45,M,U11
Phoenix Rising FC 2015 Boys Red,Phoenix Rising FC,u11_46,22,24,13,59,AZ,0.3728813559322034,46,0.9212598425196851,https://rankings.gotsport.com/teams/u11_46,M,U11
Playmaker Futbol Academy 2015 Boys,Playmaker Futbol Academy,u11_47,19,11,12,42,AZ,0.4523809523809524,47,1.1590909090909092,https://rankings.gotsport.com/teams/u11_47,M,U11
Brazas Futebol Club 2015 Boys,Brazas Futebol Club,u11_48,21,21,17,59,AZ,0.3559322033898305,48,0.9469026548672567,https://rankings.gotsport.com/teams/u11_48,M,U11
Scottsdale City FC 2015 Boys Blue,Scottsdale City FC,u11_49,23,18,14,55,AZ,0.41818181818181815,49,1.0990990990990992,https://rankings.gotsport.com/teams/u11_49,M,U11
Scottsdale City FC 2015 Boys White,Scottsdale City FC,u11_50,15,18,9,42,AZ,0.35714285714285715,50,0.8958333333333334,https://rankings.gotsport.com/teams/u11_50,M,U11
Scottsdale City FC 2015 Boys Red,Scottsdale City FC,u11_51,17,33,13,63,AZ,0.2698412698412698,51,0.8142857142857143,https://rankings.gotsport.com/teams/u11_51,M,U11
Scottsdale City FC 2015 Boys Black,Scottsdale City FC,u11_52,23,26,11,60,AZ,0.38333333333333336,52,0.9090909090909091,https://rankings.gotsport.com/teams/u11_52,M,U11
Real Arizona FC 2015 Boys Blue,Real Arizona FC,u11_53,30,21,13,64,AZ,0.46875,53,1.1764705882352942,https://rankings.gotsport.com/teams/u11_53,M,U11
Real Arizona FC 2015 Boys White,Real Arizona FC,u11_54,21,12,12,45,AZ,0.4666666666666667,54,1.0941176470588236,https://rankings.gotsport.com/teams/u11_54,M,U11
Real Arizona FC 2015 Boys Red,Real Arizona FC,u11_55,23,27,11,61,AZ,0.3770491803278688,55,0.896551724137931,https://rankings.gotsport.com/teams/u11_55,M,U11
Thunderbird FC 2015 Boys Blue,Thunderbird FC,u11_56,21,27,11,59,AZ,0.3559322033898305,56,0.889763779527559,https://rankings.gotsport.com/teams/u11_56,M,U11
Thunderbird FC 2015 Boys White,Thunderbird FC,u11_57,23,27,20,70,AZ,0.32857142857142857,57,0.8791946308724832,https://rankings.gotsport.com/teams/u11_57,M,U11
Canyon Del Oro Soccer Club 2015 Boys Blue,Canyon Del Oro Soccer Club,u11_58,27,30,11,68,AZ,0.39705882352941174,58,0.9103448275862069,https://rankings.gotsport.com/teams/u11_58,M,U11
Canyon Del Oro Soccer Club 2015 Boys White,Canyon Del Oro Soccer Club,u11_59,24,28,10,62,AZ,0.3870967741935484,59,0.9185185185185185,https://rankings.gotsport.com/teams/u11_59,M,U11
Canyon Del Oro Soccer Club 2015 Boys Red,Canyon Del Oro Soccer Club,u11_60,26,27,13,66,AZ,0.3939393939393939,60,1.043103448275862,https://rankings.gotsport.com/teams/u11_60,M,U11
Canyon Del Oro Soccer Club 2015 Boys Black,Canyon Del Oro Soccer Club,u11_61,26,24,11,61,AZ,0.4262295081967213,61,1.0434782608695652,https://rankings.gotsport.com/teams/u11_61,M,U11
FC Deportivo Arizona 2015 Boys Blue,FC Deportivo Arizona,u11_62,28,18,6,52,AZ,0.5384615384615384,62,1.2365591397849462,https://rankings.gotsport.com/teams/u11_62,M,U11
FC Deportivo Arizona 2015 Boys White,FC Deportivo Arizona,u11_63,16,16,5,37,AZ,0.43243243243243246,63,0.9436619718309859,https://rankings.gotsport.com/teams/u11_63,M,U11
Vail SC 2015 Boys Blue,Vail SC,u11_64,26,23,12,61,AZ,0.4262295081967213,64,0.9776119402985075,https://rankings.gotsport.com/teams/u11_64,M,U11
Vail SC 2015 Boys White,Vail SC,u11_65,22,20,14,56,AZ,0.39285714285714285,65,1.0086206896551724,https://rankings.gotsport.com/teams/u11_65,M,U11
Kingman SC 2015 Boys,Kingman SC,u11_66,23,24,11,58,AZ,0.39655172413793105,66,0.972972972972973,https://rankings.gotsport.com/teams/u11_66,M,U11
Phoenix Rush 2015 Boys Blue,Phoenix Rush,u11_67,24,21,7,52,AZ,0.46153846153846156,67,1.0792079207920793,https://rankings.gotsport.com/teams/u11_67,M,U11
Phoenix Rush 2015 Boys White,Phoenix Rush,u11_68,19,34,13,66,AZ,0.2878787878787879,68,0.8486842105263158,https://rankings.gotsport.com/teams/u11_68,M,U11
Amore Soccer 2015 Boys,Amore Soccer,u11_69,22,24,10,56,AZ,0.39285714285714285,69,0.9834710743801653,https://rankings.gotsport.com/teams/u11_69,M,U11
AZ Inferno 2015 Boys,AZ Inferno,u11_70,20,15,10,45,AZ,0.4444444444444444,70,1.188235294117647,https://rankings.gotsport.com/teams/u11_70,M,U11
Renegades Soccer Club 2015 Boys,Renegades Soccer Club,u11_71,19,22,15,56,AZ,0.3392857142857143,71,1.0,https://rankings.gotsport.com/teams/u11_71,M,U11
AYSO United (AZ) 2015 Boys Blue,AYSO United (AZ),u11_72,25,18,22,65,AZ,0.38461538461538464,72,1.1785714285714286,https://rankings.gotsport.com/teams/u11_72,M,U11
AYSO United (AZ) 2015 Boys White,AYSO United (AZ),u11_73,17,14,8,39,AZ,0.4358974358974359,73,0.9318181818181818,https://rankings.gotsport.com/teams/u11_73,M,U11
AYSO United (AZ) 2015 Boys Red,AYSO United (AZ),u11_74,20,19,10,49,AZ,0.40816326530612246,74,0.9642857142857143,https://rankings.gotsport.com/teams/u11_74,M,U11
AYSO United (AZ) 2015 Boys Black,AYSO United (AZ),u11_75,28,20,12,60,AZ,0.4666666666666667,75,1.194915254237288,https://rankings.gotsport.com/teams/u11_75,M,U11
Spartans FC (AZ) 2015 Boys Blue,Spartans FC (AZ),u11_76,18,24,12,54,AZ,0.3333333333333333,76,0.911504424778761,https://rankings.gotsport.com/teams/u11_76,M,U11
Spartans FC (AZ) 2015 Boys White,Spartans FC (AZ),u11_77,22,12,4,38,AZ,0.5789473684210527,77,1.1666666666666667,https://rankings.gotsport.com/teams/u11_77,M,U11
Spartans FC (AZ) 2015 Boys Red,Spartans FC (AZ),u11_78,29,19,9,57,AZ,0.5087719298245614,78,1.3061224489795917,https://rankings.gotsport.com/teams/u11_78,M,U11
Paris Saint-Germain Academy Phoenix 2015 Boys Blue,Paris Saint-Germain Academy Phoenix,u11_79,18,24,16,58,AZ,0.3103448275862069,79,0.954954954954955,https://rankings.gotsport.com/teams/u11_79,M,U11
Paris Saint-Germain Academy Phoenix 2015 Boys White,Paris Saint-Germain Academy Phoenix,u11_80,26,30,17,73,AZ,0.3561643835616438,80,0.967948717948718,https://rankings.gotsport.com/teams/u11_80,M,U11
FC Arizona 2015 Boys Blue,FC Arizona,u11_81,20,15,11,46,AZ,0.43478260869565216,81,1.1704545454545454,https://rankings.gotsport.com/teams/u11_81,M,U11
FC Arizona 2015 Boys White,FC Arizona,u11_82,33,28,9,70,AZ,0.4714285714285714,82,1.0769230769230769,https://rankings.gotsport.com/teams/u11_82,M,U11
FC Arizona 2015 Boys Red,FC Arizona,u11_83,19,20,13,52,AZ,0.36538461538461536,83,1.0192307692307692,https://rankings.gotsport.com/teams/u11_83,M,U11
FC Arizona 2015 Boys Black,FC Arizona,u11_84,35,19,10,64,AZ,0.546875,84,1.2796610169491525,https://rankings.gotsport.com/teams/u11_84,M,U11
United Latinos SC 2015 Boys Blue,United Latinos SC,u11_85,18,23,14,55,AZ,0.32727272727272727,85,0.7678571428571429,https://rankings.gotsport.com/teams/u11_85,M,U11
United Latinos SC 2015 Boys White,United Latinos SC,u11_86,16,22,10,48,AZ,0.3333333333333333,86,0.8695652173913043,https://rankings.gotsport.com/teams/u11_86,M,U11
United Latinos SC 2015 Boys Red,United Latinos SC,u11_87,24,21,10,55,AZ,0.43636363636363634,87,0.9801980198019802,https://rankings.gotsport.com/teams/u11_87,M,U11
United Latinos SC 2015 Boys Black,United Latinos SC,u11_88,13,11,11,35,AZ,0.37142857142857144,88,0.9859154929577465,https://rankings.gotsport.com/teams/u11_88,M,U11
Pima County Surf Soccer Club 2015 Boys,Pima County Surf Soccer Club,u11_89,29,22,15,66,AZ,0.4393939393939394,89,1.1181102362204725,https://rankings.gotsport.com/teams/u11_89,M,U11
Flagstaff SC 2015 Boys,Flagstaff SC,u11_90,15,29,13,57,AZ,0.2631578947368421,90,0.8524590163934426,https://rankings.gotsport.com/teams/u11_90,M,U11
Synergy FC AZ 2015 Boys Blue,Synergy FC AZ,u11_91,17,22,15,54,AZ,0.3148148148148148,91,0.8699186991869918,https://rankings.gotsport.com/teams/u11_91,M,U11
Synergy FC AZ 2015 Boys White,Synergy FC AZ,u11_92,24,25,16,65,AZ,0.36923076923076925,92,1.0071428571428571,https://rankings.gotsport.com/teams/u11_92,M,U11
Synergy FC AZ 2015 Boys Red,Synergy FC AZ,u11_93,19,15,12,46,AZ,0.41304347826086957,93,1.1111111111111112,https://rankings.gotsport.com/teams/u11_93,M,U11
Synergy FC AZ 2015 Boys Black,Synergy FC AZ,u11_94,7,26,12,45,AZ,0.15555555555555556,94,0.6371681415929203,https://rankings.gotsport.com/teams/u11_94,M,U11
Paladin Soccer Club 2015 Boys Blue,Paladin Soccer Club,u11_95,25,18,10,53,AZ,0.4716981132075472,95,1.0721649484536082,https://rankings.gotsport.com/teams/u11_95,M,U11
Paladin Soccer Club 2015 Boys White,Paladin Soccer Club,u11_96,18,17,7,42,AZ,0.42857142857142855,96,0.9651162790697675,https://rankings.gotsport.com/teams/u11_96,M,U11
Paladin Soccer Club 2015 Boys Red,Paladin Soccer Club,u11_97,13,28,12,53,AZ,0.24528301886792453,97,0.8,https://rankings.gotsport.com/teams/u11_97,M,U11
Arizona Soccer Club 2015 Boys Blue,Arizona Soccer Club,u11_98,25,19,14,58,AZ,0.43103448275862066,98,1.1470588235294117,https://rankings.gotsport.com/teams/u11_98,M,U11
Arizona Soccer Club 2015 Boys White,Arizona Soccer Club,u11_99,25,27,9,61,AZ,0.4098360655737705,99,1.0714285714285714,https://rankings.gotsport.com/teams/u11_99,M,U11
Arizona Soccer Club 2015 Boys Red,Arizona Soccer Club,u11_100,27,23,10,60,AZ,0.45,100,1.0220588235294117,https://rankings.gotsport.com/teams/u11_100,M,U11
Arizona Soccer Club 2015 Boys Black,Arizona Soccer Club,u11_101,33,11,7,51,AZ,0.6470588235294118,101,1.620253164556962,https://rankings.gotsport.com/teams/u11_101,M,U11
East Valley/NSFC 2015 Boys,East Valley/NSFC,u11_102,20,26,9,55,AZ,0.36363636363636365,102,0.940677966101695,https://rankings.gotsport.com/teams/u11_102,M,U11
State 48 FC 2015 Boys,State 48 FC,u11_103,25,18,5,48,AZ,0.5208333333333334,103,1.445945945945946,https://rankings.gotsport.com/teams/u11_103,M,U11
AYSO 350 Alliance 2015 Boys Blue,AYSO 350 Alliance,u11_104,20,32,7,59,AZ,0.3389830508474576,104,0.8916666666666667,https://rankings.gotsport.com/teams/u11_104,M,U11
AYSO 350 Alliance 2015 Boys White,AYSO 350 Alliance,u11_105,25,24,7,56,AZ,0.44642857142857145,105,1.0603448275862069,https://rankings.gotsport.com/teams/u11_105,M,U11
La Academia FC 2015 Boys Blue,La Academia FC,u11_106,21,15,11,47,AZ,0.44680851063829785,106,1.0943396226415094,https://rankings.gotsport.com/teams/u11_106,M,U11
La Academia FC 2015 Boys White,La Academia FC,u11_107,15,20,9,44,AZ,0.3409090909090909,107,0.9560439560439561,https://rankings.gotsport.com/teams/u11_107,M,U11
La Academia FC 2015 Boys Red,La Academia FC,u11_108,22,26,12,60,AZ,0.36666666666666664,108,0.9090909090909091,https://rankings.gotsport.com/teams/u11_108,M,U11
La Academia FC 2015 Boys Black,La Academia FC,u11_109,15,14,10,39,AZ,0.38461538461538464,109,0.9066666666666666,https://rankings.gotsport.com/teams/u11_109,M,U11
FC Batavia 2015 Boys,FC Batavia,u11_110,14,20,9,43,AZ,0.32558139534883723,110,0.8804347826086957,https://rankings.gotsport.com/teams/u11_110,M,U11
Epic Soccer Club 2015 Boys Blue,Epic Soccer Club,u11_111,25,18,5,48,AZ,0.5208333333333334,111,1.175,https://rankings.gotsport.com/teams/u11_111,M,U11
Epic Soccer Club 2015 Boys White,Epic Soccer Club,u11_112,12,25,6,43,AZ,0.27906976744186046,112,0.8130841121495327,https://rankings.gotsport.com/teams/u11_112,M,U11
Epic Soccer Club 2015 Boys Red,Epic Soccer Club,u11_113,34,23,14,71,AZ,0.4788732394366197,113,1.1879699248120301,https://rankings.gotsport.com/teams/u11_113,M,U11
Arizona Soccer Academy 2015 Boys,Arizona Soccer Academy,u11_114,16,19,8,43,AZ,0.37209302325581395,114,0.9887640449438202,https://rankings.gotsport.com/teams/u11_114,M,U11
SC Union Maricopa Academy 2015 Boys Blue,SC Union Maricopa Academy,u11_115,14,17,13,44,AZ,0.3181818181818182,115,0.8735632183908046,https://rankings.gotsport.com/teams/u11_115,M,U11
SC Union Maricopa Academy 2015 Boys White,SC Union Maricopa Academy,u11_116,14,11,10,35,AZ,0.4,116,0.9692307692307692,https://rankings.gotsport.com/teams/u11_116,M,U11
SC Union Maricopa Academy 2015 Boys Red,SC Union Maricopa Academy,u11_117,23,19,13,55,AZ,0.41818181818181815,117,1.065934065934066,https://rankings.gotsport.com/teams/u11_117,M,U11
SC Union Maricopa Academy 2015 Boys Black,SC Union Maricopa Academy,u11_118,31,13,7,51,AZ,0.6078431372549019,118,1.3636363636363635,https://rankings.gotsport.com/teams/u11_118,M,U11
Sun Warriors AZFC 2015 Boys Blue,Sun Warriors AZFC,u11_119,23,25,14,62,AZ,0.3709677419354839,119,0.9396551724137931,https://rankings.gotsport.com/teams/u11_119,M,U11
Sun Warriors AZFC 2015 Boys White,Sun Warriors AZFC,u11_120,22,16,8,46,AZ,0.4782608695652174,120,1.1123595505617978,https://rankings.gotsport.com/teams/u11_120,M,U11
Sun Warriors AZFC 2015 Boys Red,Sun Warriors AZFC,u11_121,17,13,10,40,AZ,0.425,121,0.9868421052631579,https://rankings.gotsport.com/teams/u11_121,M,U11
Sun Warriors AZFC 2015 Boys Black,Sun Warriors AZFC,u11_122,12,24,6,42,AZ,0.2857142857142857,122,0.723404255319149,https://rankings.gotsport.com/teams/u11_122,M,U11
FC Sonora 2015 Boys Blue,FC Sonora,u11_123,24,32,15,71,AZ,0.3380281690140845,123,0.9602649006622517,https://rankings.gotsport.com/teams/u11_123,M,U11
FC Sonora 2015 Boys White,FC Sonora,u11_124,18,21,10,49,AZ,0.3673469387755102,124,0.9122807017543859,https://rankings.gotsport.com/teams/u11_124,M,U11
FC Sonora 2015 Boys Red,FC Sonora,u11_125,27,32,10,69,AZ,0.391304347826087,125,0.9635036496350365,https://rankings.gotsport.com/teams/u11_125,M,U11
FC Sonora 2015 Boys Black,FC Sonora,u11_126,20,28,19,67,AZ,0.29850746268656714,126,0.8851351351351351,https://rankings.gotsport.com/teams/u11_126,M,U11
Bala FC 2015 Boys Blue,Bala FC,u11_127,15,19,15,49,AZ,0.30612244897959184,127,0.8392857142857143,https://rankings.gotsport.com/teams/u11_127,M,U11
Bala FC 2015 Boys White,Bala FC,u11_128,18,30,15,63,AZ,0.2857142857142857,128,0.9436619718309859,https://rankings.gotsport.com/teams/u11_128,M,U11
Spartak Academy 2015 Boys Blue,Spartak Academy,u11_129,19,25,9,53,AZ,0.3584905660377358,129,0.8813559322033898,https://rankings.gotsport.com/teams/u11_129,M,U11
Spartak Academy 2015 Boys White,Spartak Academy,u11_130,14,10,12,36,AZ,0.3888888888888889,130,1.0746268656716418,https://rankings.gotsport.com/teams/u11_130,M,U11
