Team,ComponentID,ComponentSize,Degree
Phoenix United 14 Elite,0,330,7
Juventus,0,330,7
Phoenix Premier FC 14B Black,0,330,37
14B Jimmy,0,330,22
Pumas Tucson 14B,0,330,3
AZEV B2014 (NAVY),0,330,38
Phoenix United 2015 Elite,0,330,16
AZ Arsenal 14 Boys Teal MC,0,330,20
PRFC WV 13B NL Premier 2 AZ,0,330,1
PSG 14B Red,0,330,3
Next Level Soccer Southeast 2014 Boys Green,0,330,18
PSG 15B Blue,0,330,5
AZSC 15B White,0,330,11
AZ Arsenal 13 Boys Teal 2 Don,0,330,2
AZ Arsenal 15 Boys Teal 1 JZ,0,330,22
Las Vegas Sports Academy U11 Boys Black 2014,0,330,2
13 Boys Navy,0,330,4
NOS Santos 15 Boys Blue,0,330,8
Playmaker Futbol Academy 14B White,0,330,22
CCV Stars 14 Boys North Navy,0,330,22
XOLOS ARIZONA 2014B,0,330,7
Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,0,330,3
AZ Arsenal 13 Boys Flagstaff,0,330,4
Dallas Texans Pre ECNL B14 Salazar,0,330,1
CDO 14B Premier,0,330,21
AZSC 2015B Navy,0,330,2
B2014 Academy,0,330,2
Borussia Del Mar Soccer Club Boys 2014,0,330,1
PRFC Southeast Valley 14B Copa,0,330,2
AZ Arsenal 14 Boys Select,0,330,22
FSC United 14 Boys,0,330,38
Atletico Tuzos Guerrero 2014,0,330,3
PRFC Desert Foothills 14B Pre-Academy,0,330,37
SFC XOLOS ARIZONA 2014,0,330,11
PRFC Desert Foothills 14B Predator,0,330,28
United SoCal Redlands B2014 White,0,330,1
PRFC North Valley 13B PreAcademy,0,330,3
AZ Arsenal Pre-ECNL B15,0,330,32
PRFC Scottsdale 15B Pre-Academy,0,330,1
B2014,0,330,4
14 Pre-MLSN #1,0,330,26
East Valley NSFC 14 Boys Tiggs,0,330,27
Tuzos Academy 2013,0,330,1
Rebels FC 2014,0,330,2
CCV STARS 14 Boys Orange LAV,0,330,25
Tuzos Halcones 2014,0,330,34
PSC 2014/15B,0,330,6
AZ Arsenal 14 Boys Teal 2 PJ,0,330,20
Havasu Lions 13B Moran,0,330,1
FC Sonora 14' B Dynamo,0,330,11
South County B2013 White,0,330,1
AZSC 14B Perez,0,330,39
CITY SC SW B14 Premier MUR,0,330,2
CCV STARS 14 Boys Orange PEO,0,330,8
CCV Stars 14 Boys South Pre-ECNL,0,330,30
Southeast 2014 Boys Blue,0,330,29
B2014 Yee,0,330,1
AZ Arsenal 14 Boys Teal 2 SC,0,330,32
14B Rueda,0,330,23
Pima Surf 2014 B White,0,330,4
AZ Arsenal 14 Boys Teal CJB,0,330,2
City SC Central Valley AV-B2014,0,330,1
B2014 Blue,0,330,1
AZEV B2014 (WHITE),0,330,35
Next Level Soccer Southeast 2014 Boys Blue,0,330,23
AZVV B2014 (NAVY),0,330,5
Phoenix United FC 2014 Premier,0,330,18
PRFC North Valley 14B Predator,0,330,40
Phoenix Premier FC 14B SW Black,0,330,26
Milan B,0,330,3
Phoenix United 2015 Academy,0,330,28
CCV STARS 14 Boys Navy PEO,0,330,24
14B Negrete Pre MLS Next,0,330,24
Southeast 2015 Boys Red,0,330,7
Phoenix Premier FC 15B Black,0,330,2
BRAZAS FC 2014 Boys Black,0,330,5
Phoenix Premier FC 14B Pre MLS ACADEMY,0,330,2
14B JCFresquez Pre-MLS Next,0,330,18
B14 EA,0,330,1
14,0,330,42
AZSC 13B Vargas Pre-E64RL,0,330,1
America 14b,0,330,10
Phoenix Valley Soccer Club boys 2014,0,330,30
FC Tucson Youth 13B NL,0,330,2
